Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-27,1.0,10.0,6230.0,623.0,623.0,623.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,10.0,6230.0,623.0,623.0,623.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,5.0,50.0,29980.0,623.0,588.0,588.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,5.0,50.0,29980.0,611.0,588.0,588.0,588.0,0.0,0.0,593.83333,0.0,0.0,0.0,0.0,0.0
2010-05-09,2.0,20.0,11430.0,588.0,566.0,566.0,588.0,0.0,0.0,589.55128,0.0,0.0,0.0,0.0,0.0
2010-05-10,2.0,20.0,11430.0,577.0,566.0,566.0,566.0,589.85714,589.85714,585.92801,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,10.0,5660.0,566.0,566.0,566.0,566.0,585.78571,586.67619,582.86216,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,10.0,5660.0,566.0,566.0,566.0,566.0,581.71429,583.91937,580.26798,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,10.0,5660.0,566.0,566.0,566.0,566.0,580.14286,581.53012,578.07291,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,10.0,5660.0,566.0,566.0,566.0,566.0,578.57143,579.45943,576.21554,0.0,0.0,0.0,0.0,0.0
2010-05-15,1.0,10.0,5660.0,566.0,566.0,566.0,566.0,577.0,577.66484,574.64392,0.0,0.0,0.0,0.0,0.0
2010-05-16,1.0,10.0,5660.0,566.0,566.0,566.0,566.0,575.42857,576.10953,573.31408,0.0,0.0,0.0,0.0,0.0
2010-05-17,3.0,30.0,16340.0,566.0,535.0,535.0,566.0,571.64286,570.62826,567.41961,0.0,0.0,0.0,0.0,0.0
2010-05-18,9.0,570.0,303600.0,540.0,530.0,540.0,535.0,568.21429,566.54449,563.20121,0.0,0.0,0.0,0.0,7.99285
2010-05-19,9.0,570.0,303600.0,540.0,530.0,540.0,540.0,564.78571,563.00523,559.63179,0.0,0.0,0.0,0.0,7.99285
2010-05-20,3.0,110.0,59050.0,540.0,530.0,535.0,540.0,561.0,559.2712,555.84228,0.0,0.0,0.0,0.0,7.34555
2010-05-21,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,557.21429,556.03504,552.63578,0.0,0.0,0.0,0.0,7.34555
2010-05-22,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,553.42857,553.23037,549.92258,572.07692,-22.15434,-4.43087,-17.72347,7.34555
2010-05-23,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,551.21429,550.79965,547.6268,569.33048,-21.70368,-7.88543,-13.81825,7.34555
2010-05-24,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,549.0,548.69303,545.68422,566.78749,-21.10327,-10.529,-10.57427,7.34555
2010-05-25,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,546.78571,546.86729,544.04049,564.43286,-20.39237,-12.50167,-7.89069,7.34555
2010-05-26,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,544.57143,545.28499,542.64965,562.25265,-19.603,-13.92194,-5.68106,7.34555
2010-05-27,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,542.35714,543.91366,541.47278,560.23393,-18.76115,-14.88978,-3.87137,7.34555
2010-05-28,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,540.14286,542.72517,540.47697,558.36475,-17.88779,-15.48938,-2.3984,7.34555
2010-05-29,3.0,110.0,59050.0,540.0,530.0,535.0,535.0,537.92857,541.69515,539.63436,556.63403,-16.99967,-15.79144,-1.20823,7.34555
2010-05-30,2.0,20.0,10900.0,545.0,535.0,545.0,535.0,536.42857,542.13579,540.45984,555.77225,-15.31241,-15.69563,0.38322,26.68764
2010-05-31,2.0,20.0,10900.0,545.0,545.0,545.0,545.0,537.14286,542.51769,541.15833,554.9743,-13.81598,-15.3197,1.50372,26.68764
2010-06-01,1.0,50.0,27750.0,555.0,545.0,555.0,545.0,538.21429,544.182,543.28781,554.97621,-11.68839,-14.59344,2.90505,40.40384
