Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-10-14,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-15,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-16,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-17,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-18,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-19,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-20,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-21,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-22,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-23,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-24,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-25,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0
2014-10-26,1.0,41.0,12587.0,307.0,307.0,307.0,307.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,0.0
2014-10-27,32.0,320.0,107240.0,337.0,307.0,337.0,307.0,309.14286,309.14286,311.61538,0.0,0.0,0.0,0.0,100.0
2014-10-28,32.0,320.0,107240.0,337.0,313.0,337.0,337.0,311.28571,312.85714,315.52071,0.0,0.0,0.0,0.0,100.0
2014-10-29,32.0,320.0,107240.0,337.0,313.0,337.0,337.0,313.42857,316.07619,318.82522,0.0,0.0,0.0,0.0,100.0
2014-10-30,32.0,320.0,107240.0,337.0,313.0,337.0,337.0,315.57143,318.86603,321.62134,0.0,0.0,0.0,0.0,100.0
2014-10-31,32.0,320.0,107240.0,337.0,313.0,337.0,337.0,317.71429,321.28389,323.98728,0.0,0.0,0.0,0.0,100.0
2014-11-01,32.0,320.0,107240.0,337.0,313.0,337.0,337.0,319.85714,323.37937,325.98924,0.0,0.0,0.0,0.0,100.0
2014-11-02,2.0,20.0,7060.0,353.0,337.0,353.0,337.0,323.14286,327.32879,330.14474,0.0,0.0,0.0,0.0,100.0
2014-11-03,2.0,30.0,10940.0,367.0,353.0,367.0,353.0,327.42857,332.61829,335.81478,0.0,0.0,0.0,0.0,100.0
2014-11-04,2.0,30.0,10940.0,367.0,360.0,367.0,367.0,331.71429,337.20251,340.61251,0.0,0.0,0.0,0.0,100.0
2014-11-05,2.0,30.0,10940.0,367.0,360.0,367.0,367.0,336.0,341.17551,344.67212,0.0,0.0,0.0,0.0,100.0
2014-11-06,2.0,30.0,10940.0,367.0,360.0,367.0,367.0,340.28571,344.61878,348.10718,0.0,0.0,0.0,0.0,100.0
2014-11-07,2.0,30.0,10940.0,367.0,360.0,367.0,367.0,344.57143,347.60294,351.01377,0.0,0.0,0.0,0.0,100.0
2014-11-08,2.0,30.0,10940.0,367.0,360.0,367.0,367.0,348.85714,350.18922,353.47319,329.53846,23.93473,4.78695,19.14778,100.0
2014-11-09,2.0,30.0,10940.0,367.0,360.0,367.0,367.0,353.14286,352.43065,355.55424,332.31339,23.24085,8.47773,14.76312,100.0
2014-11-10,2.0,30.0,10940.0,367.0,360.0,367.0,367.0,355.28571,354.37323,357.31512,334.88277,22.43235,11.26865,11.1637,100.0
2014-11-11,4.0,40.0,15380.0,395.0,367.0,395.0,367.0,359.42857,359.79014,363.1128,339.3359,23.7769,13.7703,10.0066,100.0
2014-11-12,4.0,40.0,15380.0,395.0,374.0,395.0,395.0,363.57143,364.48478,368.01852,343.45916,24.55936,15.92811,8.63124,100.0
2014-11-13,4.0,40.0,15380.0,395.0,374.0,395.0,395.0,367.71429,368.55348,372.16952,347.277,24.89251,17.72099,7.17152,100.0
2014-11-14,4.0,40.0,15380.0,395.0,374.0,395.0,395.0,371.85714,372.07968,375.6819,350.81204,24.86986,19.15077,5.71909,100.0
2014-11-15,4.0,40.0,15380.0,395.0,374.0,395.0,395.0,376.0,375.13572,378.65391,354.08522,24.56869,20.23435,4.33434,100.0
2014-11-16,4.0,40.0,15380.0,395.0,374.0,395.0,395.0,379.0,377.78429,381.1687,357.11595,24.05275,20.99803,3.05472,100.0
2014-11-17,1.0,10.0,4050.0,405.0,395.0,405.0,395.0,381.71429,381.41306,384.83505,360.66291,24.17214,21.63285,2.53929,100.0
2014-11-18,7.0,163.0,71735.0,445.0,405.0,445.0,405.0,387.28571,389.89131,394.0912,366.91011,27.18109,22.7425,4.43859,100.0
2014-11-19,5.0,51.0,24039.0,489.0,445.0,489.0,445.0,396.0,403.10581,408.69255,375.9538,32.73875,24.74175,7.997,100.0
2014-11-20,4.0,120.0,61450.0,527.0,489.0,527.0,489.0,407.42857,419.62503,426.8937,387.14241,39.75129,27.74366,12.00763,100.0
2014-11-21,4.0,120.0,61450.0,527.0,498.0,527.0,527.0,418.85714,433.94169,442.29467,397.50223,44.79244,31.15341,13.63902,100.0
2014-11-22,4.0,120.0,61450.0,527.0,498.0,527.0,527.0,430.28571,446.34947,455.32626,407.09466,48.2316,34.56905,13.66255,100.0
2014-11-23,5.0,51.0,28417.0,579.0,527.0,579.0,527.0,445.42857,464.03621,474.35299,419.82839,54.5246,38.56016,15.96444,100.0
2014-11-24,9.0,152.0,94437.0,636.0,579.0,636.0,579.0,464.64286,486.96471,499.22176,435.8411,63.38066,43.52426,19.8564,100.0
2014-11-25,142.0,3404.0,2377820.0,699.0,636.0,699.0,636.0,486.35714,515.23608,529.95687,455.33435,74.62252,49.74391,24.87861,100.0
2014-11-26,142.0,3404.0,2377820.0,699.0,648.0,699.0,699.0,508.07143,539.73794,555.96351,473.38366,82.57985,56.3111,26.26875,100.0
2014-11-27,142.0,3404.0,2377820.0,699.0,648.0,699.0,699.0,529.78571,560.97288,577.96912,490.09598,87.87314,62.62351,25.24963,100.0
2014-11-28,142.0,3404.0,2377820.0,699.0,648.0,699.0,699.0,551.5,579.3765,596.58926,505.57035,91.0189,68.30259,22.71632,100.0
2014-11-29,142.0,3404.0,2377820.0,699.0,648.0,699.0,699.0,573.21429,595.3263,612.34476,519.89847,92.44628,73.13133,19.31496,100.0
2014-11-30,349.0,8526.0,5669045.0,730.0,638.0,659.0,699.0,592.07143,603.81612,619.52249,530.20229,89.3202,76.3691,12.95109,85.19098
2014-12-01,247.0,3619.0,2253085.0,659.0,618.0,623.0,659.0,607.64286,606.37397,620.05749,537.07619,82.98129,77.69154,5.28975,74.73253
2014-12-02,101.0,1721.0,1030375.0,623.0,593.0,596.0,623.0,618.42857,604.99078,616.35634,541.44092,74.91541,77.13631,-2.2209,68.1445
2014-12-03,58.0,1176.0,700063.0,600.0,585.0,585.0,596.0,625.28571,602.32534,611.53228,544.66752,66.86476,75.082,-8.21724,65.66811
2014-12-04,71.0,938.0,557270.0,607.0,585.0,590.0,585.0,629.78571,600.68196,608.21962,548.02548,60.19414,72.10443,-11.91029,66.25342
2014-12-05,71.0,938.0,557270.0,607.0,589.0,590.0,590.0,634.28571,599.2577,605.41661,551.1347,54.2819,68.53993,-14.25802,66.25342
2014-12-06,71.0,938.0,557270.0,607.0,589.0,590.0,590.0,638.78571,598.02334,603.04482,554.01362,49.0312,64.63818,-15.60698,66.25342
2014-12-07,55.0,639.0,380230.0,600.0,585.0,600.0,590.0,640.28571,598.28689,602.57639,557.42001,45.15637,60.74182,-15.58545,67.53487
2014-12-08,57.0,672.0,397448.0,610.0,580.0,581.0,600.0,636.35714,595.98198,599.25694,559.16668,40.09026,56.61151,-16.52125,62.77901
2014-12-09,55.0,718.0,410417.0,585.0,566.0,580.0,581.0,627.85714,593.85105,596.29434,560.70989,35.58445,52.4061,-16.82165,62.53564
2014-12-10,85.0,1625.0,951268.0,595.0,578.0,580.0,580.0,619.35714,592.00424,593.78751,562.13879,31.64873,48.25462,-16.60589,62.53564
2014-12-11,64.0,824.0,479980.0,590.0,578.0,590.0,580.0,611.57143,591.73701,593.20482,564.20258,29.00224,44.40415,-15.40191,64.07122
2014-12-12,64.0,824.0,479980.0,590.0,578.0,590.0,590.0,603.78571,591.50541,592.71177,566.1135,26.59827,40.84297,-14.2447,64.07122
2014-12-13,64.0,824.0,479980.0,590.0,578.0,590.0,590.0,596.0,591.30469,592.29458,567.88287,24.41171,37.55672,-13.14501,64.07122
2014-12-14,50.0,1044.0,636605.0,624.0,590.0,615.0,590.0,592.85714,594.46406,595.78772,571.37303,24.41469,34.92831,-10.51362,67.88117
2014-12-15,52.0,913.0,558171.0,620.0,600.0,620.0,615.0,592.64286,597.86885,599.51268,574.97503,24.53766,32.85018,-8.31252,68.58084
2014-12-16,35.0,567.0,340682.0,620.0,582.0,598.0,620.0,592.78571,597.88634,599.27996,576.68058,22.59938,30.80002,-8.20064,62.30992
2014-12-17,57.0,1116.0,675531.0,620.0,595.0,600.0,598.0,593.85714,598.16816,599.39074,578.40794,20.98279,28.83658,-7.85378,62.63604
2014-12-18,11.0,154.0,91520.0,600.0,581.0,600.0,600.0,594.57143,598.41241,599.48447,580.00736,19.47712,26.96468,-7.48757,62.63604
2014-12-19,11.0,154.0,91520.0,600.0,581.0,600.0,600.0,595.28571,598.62409,599.56378,581.48829,18.07549,25.18685,-7.11135,62.63604
2014-12-20,11.0,154.0,91520.0,600.0,581.0,600.0,600.0,596.0,598.80754,599.63089,582.85953,16.77136,23.50375,-6.73239,62.63604
2014-12-21,53.0,605.0,359180.0,608.0,589.0,608.0,600.0,596.57143,600.0332,600.91845,584.72179,16.19666,22.04233,-5.84567,64.14447
2014-12-22,47.0,478.0,285394.0,611.0,588.0,590.0,608.0,597.21429,598.69544,599.23869,585.11277,14.12592,20.45905,-6.33313,58.55927
2014-12-23,129.0,1667.0,961563.0,590.0,570.0,575.0,590.0,596.85714,595.53605,595.50966,584.36367,11.14599,18.59644,-7.45045,54.4136
2014-12-24,100.0,1124.0,647990.0,580.0,570.0,580.0,575.0,596.85714,593.46458,593.12356,584.04044,9.08312,16.69377,-7.61065,55.51583
2014-12-25,100.0,1124.0,647990.0,580.0,570.0,580.0,580.0,596.14286,591.6693,591.10455,583.74115,7.3634,14.8277,-7.4643,55.51583
2014-12-26,100.0,1124.0,647990.0,580.0,570.0,580.0,580.0,595.42857,590.11339,589.39616,583.46402,5.93213,13.04859,-7.11645,55.51583
2014-12-27,100.0,1124.0,647990.0,580.0,570.0,580.0,580.0,594.71429,588.76494,587.95059,583.20743,4.74316,11.3875,-6.64434,55.51583
2014-12-28,95.0,1836.0,1084095.0,601.0,572.0,600.0,580.0,593.64286,590.26295,589.80435,584.45132,5.35303,10.18061,-4.82758,60.19523
2014-12-29,26.0,414.0,244900.0,600.0,590.0,591.0,600.0,591.57143,590.36122,589.98829,584.93641,5.05188,9.15486,-4.10298,57.34499
2014-12-30,26.0,414.0,244900.0,600.0,590.0,591.0,591.0,591.07143,590.44639,590.14394,585.38557,4.75838,8.27557,-3.51719,57.34499
2014-12-31,194.0,3374.0,2059966.0,639.0,591.0,639.0,591.0,593.85714,596.92021,597.66026,589.357,8.30325,8.2811,0.02215,66.63453
2015-01-01,86.0,2297.0,1511048.0,685.0,628.0,669.0,639.0,598.78571,606.53085,608.6356,595.25649,13.37912,9.30071,4.07841,70.80682
2015-01-02,86.0,2297.0,1511048.0,685.0,628.0,669.0,669.0,603.71429,614.86007,617.92243,600.71897,17.20347,10.88126,6.32221,70.80682
2015-01-03,86.0,2297.0,1511048.0,685.0,628.0,669.0,669.0,608.64286,622.07872,625.78052,605.77682,20.0037,12.70575,7.29795,70.80682
2015-01-04,77.0,2597.0,1762423.0,700.0,656.0,698.0,669.0,615.07143,632.20156,636.89121,612.60817,24.28304,15.0212,9.26184,74.39046
2015-01-05,131.0,3742.0,2657427.0,728.0,680.0,717.0,698.0,624.14286,643.50802,649.21564,620.3409,28.87474,17.79191,11.08283,76.38471
2015-01-06,122.0,3056.0,2189534.0,726.0,706.0,720.0,717.0,634.5,653.70695,660.10554,627.72305,32.38249,20.71003,11.67246,76.68571
2015-01-07,98.0,4161.0,3122135.0,769.0,692.0,769.0,720.0,648.0,669.07936,676.85853,638.18801,38.67052,24.30213,14.3684,80.8678
2015-01-08,119.0,3941.0,3252901.0,845.0,760.0,845.0,769.0,666.92857,692.53544,702.72645,653.50742,49.21903,29.28551,19.93353,85.1933
2015-01-09,119.0,3941.0,3252901.0,845.0,760.0,845.0,845.0,685.85714,712.86405,724.61469,667.69205,56.92264,34.81293,22.1097,85.1933
2015-01-10,119.0,3941.0,3252901.0,845.0,760.0,845.0,845.0,704.78571,730.48218,743.13551,680.82598,62.30953,40.31225,21.99728,85.1933
2015-01-11,84.0,3515.0,2988825.0,920.0,776.0,851.0,845.0,722.71429,746.55122,759.73004,693.43146,66.29859,45.50952,20.78907,85.49305
2015-01-12,89.0,4090.0,3323460.0,851.0,790.0,818.0,851.0,738.92857,756.07772,768.69465,702.65876,66.03589,49.61479,16.4211,76.54434
2015-01-13,44.0,1141.0,925589.0,840.0,801.0,840.0,818.0,756.71429,767.26736,779.66471,712.83218,66.83252,53.05834,13.77418,78.14562
2015-01-14,52.0,1433.0,1198089.0,855.0,820.0,823.0,840.0,769.85714,774.69838,786.33167,720.99276,65.33891,55.51445,9.82446,74.04428
2015-01-15,52.0,1433.0,1198089.0,855.0,820.0,823.0,823.0,780.85714,781.1386,791.97296,728.54885,63.4241,57.09638,6.32772,74.04428
2015-01-16,52.0,1433.0,1198089.0,855.0,820.0,823.0,823.0,791.85714,786.72012,796.74635,735.54524,61.20111,57.91733,3.28378,74.04428
2015-01-17,52.0,1433.0,1198089.0,855.0,820.0,823.0,823.0,802.85714,791.55743,800.78537,742.02337,58.762,58.08626,0.67574,74.04428
2015-01-18,30.0,1064.0,850324.0,823.0,790.0,806.0,823.0,810.57143,793.48311,801.58762,746.76238,54.82524,57.43406,-2.60882,69.60398
2015-01-19,34.0,996.0,809804.0,838.0,795.0,795.0,806.0,816.14286,793.68536,800.57414,750.33553,50.23861,55.99497,-5.75636,66.87912
2015-01-20,37.0,466.0,371820.0,816.0,776.0,791.0,795.0,821.21429,793.32731,799.1012,753.34772,45.75348,53.94667,-8.19319,65.89417
2015-01-21,37.0,466.0,371820.0,816.0,776.0,791.0,791.0,822.78571,793.017,797.85486,756.13677,41.71808,51.50095,-9.78287,65.89417
2015-01-22,34.0,987.0,771764.0,791.0,775.0,775.0,791.0,817.78571,790.61474,794.33873,757.53405,36.80468,48.5617,-11.75702,61.87552
2015-01-23,34.0,987.0,771764.0,790.0,775.0,775.0,775.0,812.78571,788.53277,791.36354,758.82782,32.53571,45.3565,-12.82079,61.87552
2015-01-24,34.0,987.0,771764.0,790.0,775.0,775.0,775.0,807.78571,786.7284,788.84607,760.02576,28.82031,42.04926,-13.22896,61.87552
2015-01-25,24.0,501.0,394470.0,805.0,760.0,800.0,775.0,804.14286,788.49795,790.56206,762.98682,27.57524,39.15446,-11.57922,65.66326
2015-01-26,45.0,1924.0,1542341.0,816.0,795.0,801.0,800.0,802.92857,790.16489,792.1679,765.80261,26.36529,36.59662,-10.23134,65.80595
2015-01-27,26.0,656.0,524863.0,803.0,791.0,800.0,801.0,800.07143,791.47624,793.37284,768.33575,25.03709,34.28472,-9.24763,65.52007
2015-01-28,41.0,719.0,576347.0,805.0,800.0,801.0,800.0,798.5,792.74607,794.54625,770.75532,23.79092,32.18596,-8.39504,65.67663
2015-01-29,22.0,375.0,300267.0,805.0,799.0,799.0,801.0,796.78571,793.57993,795.23144,772.84752,22.38392,30.22555,-7.84163,65.05628
2015-01-30,22.0,375.0,300267.0,805.0,799.0,799.0,799.0,795.07143,794.30261,795.81122,774.78474,21.02647,28.38573,-7.35926,65.05628
2015-01-31,22.0,375.0,300267.0,805.0,799.0,799.0,799.0,793.35714,794.92892,796.3018,776.57847,19.72333,26.65325,-6.92992,65.05628
2015-02-01,10.0,246.0,194256.0,799.0,787.0,790.0,799.0,792.21429,794.27173,795.33229,777.57265,17.75964,24.87453,-7.11489,62.00533
2015-02-02,52.0,1883.0,1503859.0,800.0,790.0,800.0,790.0,792.57143,795.0355,796.0504,779.23394,16.81646,23.26292,-6.44645,63.9763
2015-02-03,45.0,989.0,805035.0,823.0,800.0,817.0,800.0,794.42857,797.9641,799.27342,782.03142,17.24199,22.05873,-4.81674,67.02929
2015-02-04,86.0,1802.0,1492513.0,865.0,812.0,860.0,817.0,799.35714,806.23556,808.61597,787.80687,20.80909,21.8088,-0.99971,73.087
