Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-06-24,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-25,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-26,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-27,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-28,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-29,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-02,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-03,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-04,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-05,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0
2015-07-06,2.0,16080.0,164016.0,10.2,10.2,10.2,10.2,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0
2015-07-07,3.0,15000.0,150000.0,10.2,10.0,10.0,10.2,10.18571,10.18571,10.16923,0.0,0.0,0.0,0.0,0.0
2015-07-08,1.0,5000.0,50000.0,10.0,10.0,10.0,10.0,10.17143,10.16095,10.1432,0.0,0.0,0.0,0.0,0.0
2015-07-09,3.0,10000.0,100000.0,10.0,10.0,10.0,10.0,10.15714,10.13949,10.12117,0.0,0.0,0.0,0.0,0.0
2015-07-10,3.0,10000.0,100000.0,10.0,10.0,10.0,10.0,10.14286,10.12089,10.10252,0.0,0.0,0.0,0.0,0.0
2015-07-11,3.0,10000.0,100000.0,10.0,10.0,10.0,10.0,10.12857,10.10477,10.08675,0.0,0.0,0.0,0.0,0.0
2015-07-12,4.0,12500.0,125500.0,10.1,10.0,10.0,10.0,10.11429,10.0908,10.07341,0.0,0.0,0.0,0.0,0.0
2015-07-13,1.0,5000.0,50000.0,10.0,10.0,10.0,10.0,10.1,10.0787,10.06211,0.0,0.0,0.0,0.0,0.0
2015-07-14,1.0,5000.0,50000.0,10.0,10.0,10.0,10.0,10.08571,10.0682,10.05256,0.0,0.0,0.0,0.0,0.0
2015-07-15,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.07143,10.05911,10.04447,0.0,0.0,0.0,0.0,0.0
2015-07-16,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.05714,10.05123,10.03763,0.0,0.0,0.0,0.0,0.0
2015-07-17,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.04286,10.0444,10.03184,0.0,0.0,0.0,0.0,0.0
2015-07-18,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.02857,10.03848,10.02694,0.0,0.0,0.0,0.0,0.0
2015-07-19,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.01429,10.03335,10.0228,10.1,-0.0772,-0.01544,-0.06176,0.0
2015-07-20,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.0,10.0289,10.01929,10.09259,-0.0733,-0.02701,-0.04629,0.0
2015-07-21,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.0,10.02505,10.01632,10.08573,-0.06941,-0.03549,-0.03392,0.0
2015-07-22,1.0,1000.0,10000.0,10.0,10.0,10.0,10.0,10.0,10.02171,10.01381,10.07938,-0.06557,-0.04151,-0.02406,0.0
2015-07-23,1.0,5000.0,51000.0,10.2,10.0,10.2,10.0,10.01429,10.04548,10.04246,10.08832,-0.04586,-0.04238,-0.00348,68.58186
2015-07-24,1.0,5000.0,51000.0,10.2,10.2,10.2,10.2,10.02857,10.06608,10.06669,10.09659,-0.0299,-0.03988,0.00999,68.58186
2015-07-25,1.0,5000.0,51000.0,10.2,10.2,10.2,10.2,10.04286,10.08394,10.0872,10.10425,-0.01705,-0.03532,0.01827,68.58186
2015-07-26,1.0,5000.0,51000.0,10.2,10.2,10.2,10.2,10.05714,10.09941,10.10456,10.11134,-0.00679,-0.02961,0.02282,68.58186
2015-07-27,1.0,5000.0,51000.0,10.2,10.2,10.2,10.2,10.07143,10.11283,10.11924,10.11791,0.00133,-0.02342,0.02475,68.58186
2015-07-28,1.0,5000.0,51000.0,10.2,10.2,10.2,10.2,10.08571,10.12445,10.13166,10.12399,0.00767,-0.0172,0.02488,68.58186
2015-07-29,4.0,8900.0,90860.0,10.4,10.2,10.2,10.2,10.1,10.13452,10.14218,10.12962,0.01256,-0.01125,0.02381,68.58186
2015-07-30,4.0,13716.0,140824.8,10.4,10.2,10.3,10.2,10.12143,10.15659,10.16646,10.14224,0.02422,-0.00416,0.02837,78.80744
2015-07-31,4.0,13716.0,140824.8,10.4,10.2,10.3,10.3,10.14286,10.17571,10.187,10.15393,0.03307,0.00329,0.02979,78.80744
2015-08-01,4.0,13716.0,140824.8,10.4,10.2,10.3,10.3,10.16429,10.19228,10.20439,10.16475,0.03964,0.01056,0.02908,78.80744
2015-08-02,3.0,8000.0,82400.0,10.3,10.3,10.3,10.3,10.18571,10.20664,10.2191,10.17477,0.04433,0.01731,0.02702,78.80744
