Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,5.0,480.0,126254.0,265.0,260.0,264.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,5.0,480.0,126254.0,265.0,260.0,264.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,100.0,26000.0,264.0,260.0,260.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,6.0,855.0,217283.0,260.0,251.0,251.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,6.0,855.0,217283.0,255.0,251.0,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,6.0,855.0,217283.0,255.0,251.0,251.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,3.0,2844.0,677900.0,251.0,238.0,238.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,60.0,14160.0,238.0,236.0,236.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,3.0,600.0,138830.0,236.0,231.0,231.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,579.0,132012.0,231.0,228.0,228.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,4.0,440.0,104720.0,244.0,228.0,244.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.62
2010-04-30,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,0.0,0.0,246.83333,0.0,0.0,0.0,0.0,35.62
2010-05-01,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,0.0,0.0,246.39744,0.0,0.0,0.0,0.0,35.62
2010-05-02,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,246.42857,246.42857,246.0286,0.0,0.0,0.0,0.0,35.62
2010-05-03,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,245.0,246.10476,245.71651,0.0,0.0,0.0,0.0,35.62
2010-05-04,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,243.57143,245.82413,245.45243,0.0,0.0,0.0,0.0,35.62
2010-05-05,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,242.42857,245.58091,245.22898,0.0,0.0,0.0,0.0,35.62
2010-05-06,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,241.92857,245.37012,245.03991,0.0,0.0,0.0,0.0,35.62
2010-05-07,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,241.42857,245.18744,244.87992,0.0,0.0,0.0,0.0,35.62
2010-05-08,4.0,440.0,104720.0,244.0,232.0,244.0,244.0,240.92857,245.02911,244.74455,0.0,0.0,0.0,0.0,35.62
2010-05-09,1.0,50.0,12250.0,245.0,244.0,245.0,244.0,241.42857,245.02523,244.78385,0.0,0.0,0.0,0.0,37.87293
