Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-09-08,490.0,44339.0,8061987.0,188.0,178.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-09,626.0,63530.0,11463333.0,183.0,175.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-10,612.0,35018.0,6313429.0,182.0,179.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-11,706.0,39660.0,7141354.0,181.0,179.0,180.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-12,400.0,31083.0,5602536.0,183.0,179.0,182.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.74194
2013-09-13,400.0,31083.0,5602536.0,183.0,179.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.74194
2013-09-14,400.0,31083.0,5602536.0,183.0,179.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.74194
2013-09-15,417.0,23167.0,4199434.0,182.0,180.0,181.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.66173
2013-09-16,343.0,29516.0,5330273.0,182.0,179.0,180.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.55507
2013-09-17,356.0,18344.0,3299788.0,181.0,177.0,179.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2948
2013-09-18,356.0,18344.0,3299788.0,181.0,177.0,179.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2948
2013-09-19,297.0,16703.0,2973813.0,180.0,176.0,178.0,179.0,0.0,0.0,180.5,0.0,0.0,0.0,0.0,24.97224
2013-09-20,297.0,16703.0,2973813.0,180.0,176.0,178.0,178.0,0.0,0.0,180.11538,0.0,0.0,0.0,0.0,24.97224
2013-09-21,297.0,16703.0,2973813.0,180.0,176.0,178.0,178.0,180.14286,180.14286,179.78994,0.0,0.0,0.0,0.0,24.97224
2013-09-22,375.0,25713.0,4482759.0,178.0,170.0,172.0,178.0,179.5,179.05714,178.59149,0.0,0.0,0.0,0.0,11.24716
2013-09-23,250.0,14340.0,2480650.0,174.0,171.0,173.0,172.0,178.92857,178.24952,177.73126,0.0,0.0,0.0,0.0,19.0346
2013-09-24,315.0,13037.0,2271889.0,179.0,172.0,176.0,173.0,178.57143,177.94959,177.46491,0.0,0.0,0.0,0.0,36.56691
2013-09-25,230.0,11867.0,2100822.0,179.0,175.0,178.0,176.0,178.42857,177.95631,177.54723,0.0,0.0,0.0,0.0,44.91639
2013-09-26,317.0,16191.0,2862251.0,179.0,175.0,177.0,178.0,178.07143,177.8288,177.46304,0.0,0.0,0.0,0.0,42.01312
2013-09-27,317.0,16191.0,2862251.0,179.0,175.0,177.0,177.0,177.71429,177.71829,177.39181,0.0,0.0,0.0,0.0,42.01312
2013-09-28,317.0,16191.0,2862251.0,179.0,175.0,177.0,177.0,177.35714,177.62252,177.33153,0.0,0.0,0.0,0.0,42.01312
2013-09-29,306.0,14539.0,2571542.0,178.0,176.0,177.0,177.0,177.07143,177.53952,177.28052,0.0,0.0,0.0,0.0,42.01312
2013-09-30,267.0,11224.0,1987407.0,179.0,176.0,176.0,177.0,176.78571,177.33425,177.08352,0.0,0.0,0.0,0.0,38.95272
2013-10-01,315.0,13501.0,2378186.0,177.0,174.0,177.0,176.0,176.64286,177.28968,177.07067,0.0,0.0,0.0,0.0,43.29023
2013-10-02,266.0,22389.0,3949048.0,178.0,175.0,177.0,177.0,176.5,177.25106,177.0598,0.0,0.0,0.0,0.0,43.29023
2013-10-03,219.0,12343.0,2170516.0,177.0,173.0,176.0,177.0,176.35714,177.08425,176.89675,178.26923,-1.37248,-0.2745,-1.09798,40.14546
2013-10-04,219.0,12343.0,2170516.0,177.0,173.0,176.0,176.0,176.21429,176.93968,176.75879,178.10114,-1.34235,-0.48807,-0.85428,40.14546
2013-10-05,219.0,12343.0,2170516.0,177.0,173.0,176.0,176.0,176.07143,176.81439,176.64205,177.9455,-1.30345,-0.65114,-0.6523,40.14546
2013-10-06,254.0,31043.0,5533089.0,179.0,175.0,178.0,176.0,176.5,176.97247,176.85097,177.94954,-1.09857,-0.74063,-0.35794,48.76296
2013-10-07,366.0,23385.0,4201516.0,180.0,177.0,180.0,178.0,177.0,177.37614,177.33543,178.10142,-0.76599,-0.7457,-0.02029,55.49144
