Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-11-08,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-09,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-10,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-11,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-12,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-13,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-14,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-15,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-16,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-17,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-18,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-19,1.0,50.0,7500.0,150.0,150.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
2012-11-20,1.0,50.0,7650.0,153.0,150.0,153.0,150.0,0.0,0.0,150.46154,0.0,0.0,0.0,0.0,100.0
2012-11-21,1.0,50.0,7650.0,153.0,153.0,153.0,153.0,150.42857,150.42857,150.85207,0.0,0.0,0.0,0.0,100.0
2012-11-22,1.0,50.0,7650.0,153.0,153.0,153.0,153.0,150.64286,150.77143,151.18252,0.0,0.0,0.0,0.0,100.0
2012-11-23,1.0,50.0,7650.0,153.0,153.0,153.0,153.0,150.85714,151.06857,151.46213,0.0,0.0,0.0,0.0,100.0
2012-11-24,1.0,50.0,7650.0,153.0,153.0,153.0,153.0,151.07143,151.3261,151.69873,0.0,0.0,0.0,0.0,100.0
2012-11-25,1.0,50.0,7650.0,153.0,153.0,153.0,153.0,151.28571,151.54928,151.89892,0.0,0.0,0.0,0.0,100.0
2012-11-26,1.0,100.0,15600.0,156.0,153.0,156.0,153.0,151.71429,152.14271,152.52986,0.0,0.0,0.0,0.0,100.0
2012-11-27,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,152.14286,152.65702,153.06373,0.0,0.0,0.0,0.0,100.0
2012-11-28,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,152.57143,153.10275,153.51546,0.0,0.0,0.0,0.0,100.0
2012-11-29,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,153.0,153.48905,153.8977,0.0,0.0,0.0,0.0,100.0
2012-11-30,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,153.42857,153.82384,154.22113,0.0,0.0,0.0,0.0,100.0
2012-12-01,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,153.85714,154.114,154.4948,0.0,0.0,0.0,0.0,100.0
2012-12-02,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,154.28571,154.36546,154.72637,0.0,0.0,0.0,0.0,100.0
2012-12-03,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,154.71429,154.5834,154.92231,152.53846,2.38385,0.47677,1.90708,100.0
2012-12-04,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,154.92857,154.77228,155.08811,152.79487,2.29324,0.84006,1.45318,100.0
2012-12-05,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,155.14286,154.93598,155.2284,153.03229,2.19611,1.11127,1.08484,100.0
2012-12-06,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,155.35714,155.07785,155.34711,153.25212,2.09499,1.30802,0.78697,100.0
2012-12-07,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,155.57143,155.2008,155.44755,153.45567,1.99189,1.44479,0.5471,100.0
2012-12-08,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,155.78571,155.30736,155.53255,153.64414,1.88841,1.53352,0.3549,100.0
2012-12-09,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,156.0,155.39971,155.60446,153.81864,1.78582,1.58398,0.20184,100.0
2012-12-10,1.0,100.0,15600.0,156.0,156.0,156.0,156.0,156.0,155.47975,155.66531,153.98023,1.68509,1.6042,0.08089,100.0
