Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-03-04,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-05,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-06,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-07,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-08,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-09,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-10,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-11,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-12,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-13,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-14,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-15,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-16,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-17,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-18,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-19,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-20,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-21,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-22,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-23,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-24,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-25,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-26,1.0,447.0,45594.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0
2014-03-27,3.0,798.0,85178.0,108.0,102.0,108.0,102.0,102.42857,102.8,102.92308,0.0,0.0,0.0,0.0,100.0
