Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-06-26,1.0,123.0,46248.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-27,1.0,123.0,46248.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-28,1.0,123.0,46248.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-29,1.0,123.0,46248.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-30,1.0,123.0,46248.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,1.0,123.0,46248.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-02,1.0,123.0,46248.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-03,3.0,49.0,18875.0,386.0,376.0,386.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-04,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-05,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-06,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-07,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,0.0,0.0,380.16667,0.0,0.0,0.0,0.0,100.0
2014-07-08,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,0.0,0.0,381.0641,0.0,0.0,0.0,0.0,100.0
2014-07-09,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,381.0,381.0,381.82347,0.0,0.0,0.0,0.0,100.0
2014-07-10,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,381.71429,381.66667,382.46601,0.0,0.0,0.0,0.0,100.0
2014-07-11,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,382.42857,382.24444,383.0097,0.0,0.0,0.0,0.0,100.0
2014-07-12,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,383.14286,382.74519,383.46975,0.0,0.0,0.0,0.0,100.0
2014-07-13,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,383.85714,383.17916,383.85902,0.0,0.0,0.0,0.0,100.0
2014-07-14,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,384.57143,383.55527,384.1884,0.0,0.0,0.0,0.0,100.0
2014-07-15,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,385.28571,383.88124,384.46711,0.0,0.0,0.0,0.0,100.0
2014-07-16,3.0,49.0,18875.0,386.0,383.0,386.0,386.0,386.0,384.16374,384.70294,0.0,0.0,0.0,0.0,100.0
2014-07-17,2.0,20.0,7720.0,386.0,386.0,386.0,386.0,386.0,384.40857,384.90249,0.0,0.0,0.0,0.0,100.0
2014-07-18,2.0,20.0,7720.0,386.0,386.0,386.0,386.0,386.0,384.62076,385.07133,0.0,0.0,0.0,0.0,100.0
2014-07-19,2.0,20.0,7720.0,386.0,386.0,386.0,386.0,386.0,384.80466,385.21421,0.0,0.0,0.0,0.0,100.0
2014-07-20,2.0,20.0,7720.0,386.0,386.0,386.0,386.0,386.0,384.96404,385.3351,0.0,0.0,0.0,0.0,100.0
2014-07-21,2.0,20.0,7720.0,386.0,386.0,386.0,386.0,386.0,385.10217,385.43739,383.30769,2.1297,0.42594,1.70376,100.0
2014-07-22,2.0,20.0,7720.0,386.0,386.0,386.0,386.0,386.0,385.22188,385.52395,383.50712,2.01682,0.74412,1.27271,100.0
2014-07-23,1.0,10.0,3930.0,393.0,386.0,393.0,386.0,386.5,386.25896,386.67411,384.2103,2.46381,1.08805,1.37575,100.0
2014-07-24,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,387.0,387.15777,387.64732,384.86139,2.78593,1.42763,1.3583,100.0
2014-07-25,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,387.5,387.93673,388.47081,385.46425,3.00656,1.74342,1.26315,100.0
2014-07-26,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,388.0,388.61183,389.16761,386.02245,3.14516,2.02377,1.12139,100.0
2014-07-27,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,388.5,389.19692,389.75721,386.53931,3.2179,2.26259,0.95531,100.0
2014-07-28,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,389.0,389.704,390.2561,387.01788,3.23822,2.45772,0.7805,100.0
2014-07-29,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,389.5,390.14347,390.67824,387.461,3.21724,2.60962,0.60762,100.0
2014-07-30,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,390.0,390.52434,391.03543,387.87129,3.16414,2.72053,0.44361,100.0
2014-07-31,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,390.5,390.85443,391.33767,388.2512,3.08648,2.79372,0.29276,100.0
2014-08-01,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,391.0,391.1405,391.59342,388.60296,2.99045,2.83306,0.15739,100.0
2014-08-02,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,391.5,391.38844,391.80981,388.92867,2.88115,2.84268,0.03847,100.0
2014-08-03,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,392.0,391.60331,391.99292,389.23025,2.76267,2.82668,-0.06401,100.0
2014-08-04,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,392.5,391.78954,392.14785,389.50949,2.63837,2.78902,-0.15065,100.0
2014-08-05,1.0,10.0,3930.0,393.0,393.0,393.0,393.0,393.0,391.95093,392.27895,389.76805,2.51091,2.73339,-0.22249,100.0
2014-08-06,1.0,10.0,4000.0,400.0,393.0,400.0,393.0,393.5,393.02414,393.46681,390.52597,2.94084,2.77488,0.16596,100.0
2014-08-07,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,394.0,393.95425,394.47191,391.22775,3.24417,2.86874,0.37543,100.0
2014-08-08,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,394.5,394.76035,395.32239,391.87754,3.44484,2.98396,0.46088,100.0
2014-08-09,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,395.0,395.45897,396.04202,392.47921,3.56281,3.09973,0.46308,100.0
2014-08-10,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,395.5,396.06444,396.65094,393.0363,3.61464,3.20271,0.41193,100.0
2014-08-11,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,396.0,396.58918,397.16618,393.55213,3.61405,3.28498,0.32907,100.0
2014-08-12,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,396.5,397.04396,397.60215,394.02975,3.5724,3.34246,0.22994,100.0
2014-08-13,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,397.0,397.4381,397.97105,394.47199,3.49906,3.37378,0.12528,100.0
2014-08-14,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,397.5,397.77969,398.2832,394.88148,3.40172,3.37937,0.02235,100.0
2014-08-15,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,398.0,398.07573,398.54732,395.26063,3.2867,3.36084,-0.07414,100.0
2014-08-16,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,398.5,398.3323,398.77081,395.61169,3.15912,3.32049,-0.16137,100.0
2014-08-17,1.0,10.0,4000.0,400.0,400.0,400.0,400.0,399.0,398.55466,398.95992,395.93675,3.02317,3.26103,-0.23786,100.0
2014-08-18,2.0,20.0,8240.0,416.0,400.0,416.0,400.0,400.64286,400.8807,401.58147,397.42292,4.15855,3.44053,0.71802,100.0
2014-08-19,2.0,20.0,8240.0,416.0,408.0,416.0,416.0,402.28571,402.89661,403.7997,398.799,5.00071,3.75257,1.24814,100.0
2014-08-20,2.0,20.0,8240.0,416.0,408.0,416.0,416.0,403.42857,404.64373,405.67667,400.07315,5.60353,4.12276,1.48077,100.0
2014-08-21,3.0,30.0,12990.0,441.0,416.0,441.0,416.0,406.35714,409.49123,411.11103,403.10476,8.00627,4.89946,3.10681,100.0
2014-08-22,3.0,30.0,12990.0,441.0,425.0,441.0,441.0,409.28571,413.6924,415.70933,405.91182,9.79751,5.87907,3.91844,100.0
2014-08-23,3.0,30.0,12990.0,441.0,425.0,441.0,441.0,412.21429,417.33341,419.60021,408.51094,11.08926,6.92111,4.16815,100.0
2014-08-24,2.0,20.0,9060.0,457.0,441.0,457.0,441.0,416.28571,422.62229,425.35402,412.10273,13.25129,8.18715,5.06415,100.0
