Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-09-02,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-03,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-04,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-05,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-06,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-07,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-08,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-09,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-10,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-11,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-12,2.0,30.0,5130.0,172.0,169.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-13,2.0,30.0,4920.0,169.0,163.0,163.0,169.0,0.0,0.0,168.5,0.0,0.0,0.0,0.0,0.0
2010-09-14,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,0.0,0.0,167.65385,0.0,0.0,0.0,0.0,0.0
2010-09-15,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,167.71429,167.71429,166.93787,0.0,0.0,0.0,0.0,0.0
2010-09-16,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,167.28571,167.08571,166.33204,0.0,0.0,0.0,0.0,0.0
2010-09-17,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,166.85714,166.54095,165.81942,0.0,0.0,0.0,0.0,0.0
2010-09-18,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,166.42857,166.06883,165.38566,0.0,0.0,0.0,0.0,0.0
2010-09-19,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,166.0,165.65965,165.01864,0.0,0.0,0.0,0.0,0.0
2010-09-20,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,165.57143,165.30503,164.70808,0.0,0.0,0.0,0.0,0.0
2010-09-21,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,165.14286,164.99769,164.4453,0.0,0.0,0.0,0.0,0.0
2010-09-22,2.0,30.0,4920.0,166.0,163.0,163.0,163.0,164.71429,164.73133,164.22294,0.0,0.0,0.0,0.0,0.0
