Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-09-07,1.0,10.0,2500.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-08,1.0,10.0,2500.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-09,1.0,10.0,2500.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-10,1.0,10.0,2500.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-11,13.0,130.0,34050.0,275.0,250.0,275.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-12,13.0,130.0,34050.0,275.0,255.0,275.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-13,13.0,130.0,34050.0,275.0,255.0,275.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-14,13.0,130.0,34050.0,275.0,255.0,275.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-15,29.0,290.0,86980.0,302.0,275.0,302.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-16,4.0,40.0,12140.0,308.0,296.0,296.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.30465
2014-09-17,7.0,96.0,28325.0,300.0,290.0,291.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.10696
2014-09-18,27.0,270.0,80000.0,300.0,291.0,295.0,291.0,0.0,0.0,273.66667,0.0,0.0,0.0,0.0,81.54601
2014-09-19,27.0,270.0,80000.0,300.0,291.0,295.0,295.0,0.0,0.0,276.94872,0.0,0.0,0.0,0.0,81.54601
2014-09-20,27.0,270.0,80000.0,300.0,291.0,295.0,295.0,276.71429,276.71429,279.72584,0.0,0.0,0.0,0.0,81.54601
2014-09-21,52.0,564.0,159645.0,295.0,271.0,271.0,295.0,278.21429,275.95238,278.3834,0.0,0.0,0.0,0.0,54.27525
2014-09-22,13.0,143.0,39258.0,276.0,271.0,273.0,271.0,279.85714,275.55873,277.55519,0.0,0.0,0.0,0.0,55.57521
2014-09-23,16.0,253.0,68753.0,275.0,270.0,270.0,273.0,281.28571,274.81757,276.39285,0.0,0.0,0.0,0.0,53.19336
2014-09-24,12.0,120.0,32490.0,275.0,268.0,275.0,270.0,283.07143,274.84189,276.17857,0.0,0.0,0.0,0.0,56.45901
2014-09-25,12.0,120.0,32490.0,275.0,268.0,275.0,275.0,283.07143,274.86297,275.99725,0.0,0.0,0.0,0.0,56.45901
2014-09-26,12.0,120.0,32490.0,275.0,268.0,275.0,275.0,283.07143,274.88124,275.84382,0.0,0.0,0.0,0.0,56.45901
2014-09-27,12.0,120.0,32490.0,275.0,268.0,275.0,275.0,283.07143,274.89708,275.71401,0.0,0.0,0.0,0.0,56.45901
2014-09-28,1.0,10.0,2780.0,278.0,275.0,278.0,275.0,283.28571,275.3108,276.0657,0.0,0.0,0.0,0.0,58.56722
2014-09-29,4.0,60.0,16380.0,278.0,273.0,273.0,278.0,281.21429,275.00269,275.59405,0.0,0.0,0.0,0.0,53.99227
2014-09-30,7.0,83.0,23360.0,286.0,273.0,286.0,273.0,280.5,276.469,277.19497,0.0,0.0,0.0,0.0,62.07902
2014-10-01,7.0,83.0,23360.0,286.0,278.0,286.0,286.0,280.14286,277.7398,278.54959,0.0,0.0,0.0,0.0,62.07902
2014-10-02,7.0,83.0,23360.0,286.0,278.0,286.0,286.0,279.5,278.84116,279.6958,276.80769,2.88811,0.57762,2.31049,62.07902
2014-10-03,7.0,83.0,23360.0,286.0,278.0,286.0,286.0,278.85714,279.79567,280.66568,277.4886,3.17708,1.09751,2.07956,62.07902
2014-10-04,7.0,83.0,23360.0,286.0,278.0,286.0,286.0,278.21429,280.62292,281.48635,278.11908,3.36727,1.55146,1.8158,62.07902
2014-10-05,7.0,83.0,23360.0,286.0,278.0,286.0,286.0,279.28571,281.33986,282.18075,278.70285,3.4779,1.93675,1.54115,62.07902
2014-10-06,7.0,83.0,23360.0,286.0,278.0,286.0,286.0,280.21429,281.96121,282.76833,279.24338,3.52495,2.25439,1.27056,62.07902
2014-10-07,7.0,83.0,23360.0,286.0,278.0,286.0,286.0,281.35714,282.49972,283.26551,279.74387,3.52164,2.50784,1.0138,62.07902
2014-10-08,7.0,75.0,21135.0,286.0,281.0,286.0,286.0,282.14286,282.96642,283.6862,280.20729,3.47891,2.70206,0.77686,62.07902
2014-10-09,4.0,66.0,18886.0,288.0,285.0,288.0,286.0,283.07143,283.63757,284.34986,280.78452,3.56534,2.87471,0.69063,63.60576
2014-10-10,4.0,66.0,18886.0,288.0,285.0,288.0,288.0,284.0,284.21922,284.91142,281.319,3.59242,3.01825,0.57416,63.60576
2014-10-11,4.0,66.0,18886.0,288.0,285.0,288.0,288.0,284.92857,284.72333,285.38659,281.81389,3.57269,3.12914,0.44355,63.60576
2014-10-12,4.0,65.0,18405.0,288.0,283.0,284.0,288.0,285.35714,284.62688,285.17327,281.97583,3.19744,3.1428,0.05464,58.18232
2014-10-13,3.0,30.0,8500.0,285.0,280.0,285.0,284.0,286.21429,284.67663,285.14661,282.19984,2.94677,3.10359,-0.15682,59.09781
2014-10-14,150.0,2544.0,777466.0,313.0,284.0,313.0,285.0,288.14286,288.45308,289.43175,284.48133,4.95041,3.47296,1.47746,75.11485
2014-10-15,45.0,552.0,174920.0,335.0,307.0,307.0,313.0,289.64286,290.926,292.13456,286.14938,5.98517,3.9754,2.00977,69.0325
2014-10-16,29.0,530.0,166395.0,321.0,301.0,316.0,307.0,291.78571,294.2692,295.80616,288.36054,7.44562,4.66945,2.77618,72.5352
2014-10-17,29.0,530.0,166395.0,321.0,301.0,316.0,316.0,293.92857,297.16664,298.91291,290.40791,8.505,5.43656,3.06844,72.5352
2014-10-18,29.0,530.0,166395.0,321.0,301.0,316.0,316.0,296.07143,299.67776,301.54169,292.30362,9.23807,6.19686,3.04121,72.5352
2014-10-19,12.0,220.0,73779.0,347.0,316.0,347.0,316.0,300.42857,305.98739,308.53528,296.3552,12.18007,7.3935,4.78657,81.07191
2014-10-20,17.0,235.0,81156.0,351.0,340.0,351.0,347.0,305.07143,311.98907,315.06831,300.40296,14.66535,8.84787,5.81747,81.83679
2014-10-21,31.0,419.0,152910.0,375.0,351.0,375.0,351.0,311.42857,320.39053,324.28857,305.92867,18.3599,10.75028,7.60962,85.52251
2014-10-22,12.0,315.0,121931.0,397.0,375.0,397.0,375.0,319.35714,330.60512,335.47494,312.67469,22.80025,13.16027,9.63998,87.88811
2014-10-23,12.0,315.0,121931.0,397.0,382.0,397.0,397.0,327.14286,339.45777,344.94034,318.92101,26.01932,15.73208,10.28724,87.88811
2014-10-24,12.0,315.0,121931.0,397.0,382.0,397.0,397.0,334.92857,347.13007,352.94952,324.70464,28.24487,18.23464,10.01023,87.88811
