Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-08-25,1.0,500.0,199500.0,399.0,399.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-26,1.0,500.0,199500.0,399.0,399.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-27,2.0,20.0,8200.0,414.0,399.0,414.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-08-28,2.0,20.0,8200.0,414.0,406.0,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-08-29,2.0,20.0,8200.0,414.0,406.0,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-08-30,2.0,20.0,8200.0,414.0,406.0,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-08-31,2.0,20.0,8200.0,414.0,406.0,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-09-01,1.0,10.0,4340.0,434.0,414.0,434.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-09-02,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-09-03,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-09-04,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-09-05,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,0.0,0.0,419.83333,0.0,0.0,0.0,0.0,100.0
2015-09-06,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,0.0,0.0,422.01282,0.0,0.0,0.0,0.0,100.0
2015-09-07,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,421.85714,421.85714,423.857,0.0,0.0,0.0,0.0,100.0
2015-09-08,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,424.35714,423.47619,425.41746,0.0,0.0,0.0,0.0,100.0
2015-09-09,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,426.85714,424.87937,426.73785,0.0,0.0,0.0,0.0,100.0
2015-09-10,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,428.28571,426.09545,427.85511,0.0,0.0,0.0,0.0,100.0
2015-09-11,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,429.71429,427.14939,428.80047,0.0,0.0,0.0,0.0,100.0
2015-09-12,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,431.14286,428.0628,429.6004,0.0,0.0,0.0,0.0,100.0
2015-09-13,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,432.57143,428.85443,430.27726,0.0,0.0,0.0,0.0,100.0
2015-09-14,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,429.54051,430.84999,0.0,0.0,0.0,0.0,100.0
2015-09-15,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,430.13511,431.33461,0.0,0.0,0.0,0.0,100.0
2015-09-16,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,430.65042,431.74467,0.0,0.0,0.0,0.0,100.0
2015-09-17,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,431.09703,432.09164,0.0,0.0,0.0,0.0,100.0
2015-09-18,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,431.4841,432.38524,0.0,0.0,0.0,0.0,100.0
2015-09-19,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,431.81955,432.63366,427.46154,5.17212,1.03442,4.1377,100.0
2015-09-20,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,432.11028,432.84387,427.94587,4.898,1.80714,3.09086,100.0
2015-09-21,1.0,10.0,4340.0,434.0,434.0,434.0,434.0,434.0,432.36224,433.02173,428.39432,4.62741,2.37119,2.25622,100.0
2015-09-22,6.0,60.0,27730.0,477.0,434.0,477.0,434.0,437.07143,438.31394,439.78762,431.99474,7.79288,3.45553,4.33735,100.0
2015-09-23,3.0,30.0,14850.0,504.0,477.0,504.0,477.0,442.07143,447.07208,449.66645,437.32847,12.33798,5.23202,7.10596,100.0
2015-09-24,1.0,10.0,5290.0,529.0,504.0,529.0,504.0,448.85714,457.9958,461.87161,444.11895,17.75266,7.73615,10.01651,100.0
2015-09-25,1.0,10.0,5290.0,529.0,529.0,529.0,529.0,455.64286,467.46303,472.19905,450.40644,21.79262,10.54744,11.24518,100.0
2015-09-26,1.0,10.0,5290.0,529.0,529.0,529.0,529.0,462.42857,475.66796,480.93766,456.22818,24.70948,13.37985,11.32963,100.0
