Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-11-03,4.0,60.0,19260.0,330.0,312.0,312.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-04,4.0,60.0,19260.0,330.0,312.0,312.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-05,4.0,60.0,19260.0,330.0,312.0,312.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-06,4.0,70.0,20720.0,312.0,289.0,289.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-07,4.0,70.0,20720.0,306.0,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-08,4.0,50.0,13850.0,289.0,274.0,274.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-09,4.0,50.0,13850.0,284.0,274.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-10,4.0,50.0,13850.0,284.0,274.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-11,4.0,50.0,13850.0,284.0,274.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-12,4.0,50.0,13850.0,284.0,274.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-13,5.0,90.0,23210.0,274.0,249.0,249.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-14,4.0,130.0,30890.0,249.0,233.0,233.0,249.0,0.0,0.0,280.5,0.0,0.0,0.0,0.0,0.0
2011-11-15,6.0,150.0,32570.0,233.0,210.0,210.0,233.0,0.0,0.0,269.65385,0.0,0.0,0.0,0.0,0.0
2011-11-16,6.0,100.0,19560.0,210.0,189.0,189.0,210.0,268.92857,268.92857,257.24556,0.0,0.0,0.0,0.0,0.0
2011-11-17,6.0,90.0,16110.0,189.0,171.0,171.0,189.0,258.85714,255.87143,243.97701,0.0,0.0,0.0,0.0,0.0
2011-11-18,6.0,90.0,16110.0,186.0,171.0,171.0,171.0,248.78571,244.55524,232.74978,0.0,0.0,0.0,0.0,0.0
2011-11-19,6.0,90.0,16110.0,186.0,171.0,171.0,171.0,238.71429,234.74787,223.24981,0.0,0.0,0.0,0.0,0.0
2011-11-20,218.0,8140.0,1254380.0,171.0,154.0,154.0,171.0,229.07143,223.98149,212.596,0.0,0.0,0.0,0.0,0.0
2011-11-21,210.0,7170.0,1038660.0,154.0,142.0,146.0,154.0,218.85714,213.58396,202.35046,0.0,0.0,0.0,0.0,0.0
2011-11-22,381.0,17060.0,2695700.0,160.0,144.0,160.0,146.0,210.71429,206.43943,195.835,0.0,0.0,0.0,0.0,10.91912
2011-11-23,268.0,10630.0,1675330.0,161.0,151.0,153.0,160.0,202.07143,199.31417,189.245,0.0,0.0,0.0,0.0,10.32712
2011-11-24,348.0,10850.0,1713130.0,160.0,153.0,158.0,153.0,193.78571,193.80562,184.43808,0.0,0.0,0.0,0.0,13.83101
2011-11-25,348.0,10850.0,1713130.0,160.0,156.0,158.0,158.0,185.5,189.03153,180.37068,0.0,0.0,0.0,0.0,13.83101
2011-11-26,348.0,10850.0,1713130.0,160.0,156.0,158.0,158.0,177.21429,184.894,176.92904,0.0,0.0,0.0,0.0,13.83101
2011-11-27,604.0,18790.0,3002510.0,162.0,156.0,162.0,158.0,171.0,181.84146,174.63226,0.0,0.0,0.0,0.0,16.84027
2011-11-28,298.0,8150.0,1306440.0,163.0,155.0,160.0,162.0,165.78571,178.92927,172.38115,218.73077,-46.34962,-9.26992,-37.0797,16.53707
2011-11-29,456.0,13200.0,2108540.0,162.0,156.0,160.0,160.0,162.21429,176.40537,170.47635,214.38034,-43.90399,-16.19674,-27.70725,16.53707
2011-11-30,589.0,18900.0,3087250.0,169.0,157.0,169.0,160.0,160.78571,175.41798,170.24922,211.01884,-40.76961,-21.11131,-19.6583,23.38101
2011-12-01,565.0,19450.0,3127560.0,169.0,157.0,162.0,169.0,160.14286,173.62892,168.98011,207.38781,-38.4077,-24.57059,-13.83711,21.91354
2011-12-02,565.0,19450.0,3127560.0,166.0,157.0,162.0,162.0,159.5,172.0784,167.90625,204.02575,-36.1195,-26.88037,-9.23913,21.91354
2011-12-03,565.0,19450.0,3127560.0,166.0,157.0,162.0,162.0,158.85714,170.73461,166.99759,200.91273,-33.91514,-28.28732,-5.62781,21.91354
2011-12-04,5.0,80.0,12560.0,162.0,152.0,152.0,162.0,158.71429,168.23666,164.69027,197.28957,-32.59929,-29.14972,-3.44958,19.8529
2011-12-05,5.0,80.0,12560.0,159.0,152.0,152.0,152.0,159.14286,166.07177,162.73792,193.93478,-31.19686,-29.55915,-1.63771,19.8529
2011-12-06,5.0,80.0,12560.0,159.0,152.0,152.0,152.0,158.57143,164.19554,161.08593,190.8285,-29.74257,-29.59583,-0.14674,19.8529
2011-12-07,5.0,80.0,12560.0,159.0,152.0,152.0,152.0,158.5,162.56947,159.6881,187.95232,-28.26422,-29.32951,1.06529,19.8529
2011-12-08,5.0,80.0,12560.0,159.0,152.0,152.0,152.0,158.07143,161.1602,158.50531,185.28918,-26.78387,-28.82038,2.03651,19.8529
2011-12-09,5.0,80.0,12560.0,159.0,152.0,152.0,152.0,157.64286,159.93884,157.5045,182.82332,-25.31882,-28.12007,2.80125,19.8529
2011-12-10,5.0,80.0,12560.0,159.0,152.0,152.0,152.0,157.21429,158.88033,156.65765,180.54011,-23.88246,-27.27255,3.39009,19.8529
2011-12-11,7.0,100.0,14480.0,152.0,137.0,137.0,152.0,155.42857,155.96295,153.6334,177.31492,-23.68152,-26.55434,2.87282,16.56515
2011-12-12,31.0,1370.0,182750.0,140.0,128.0,140.0,137.0,154.0,153.83456,151.53595,174.55085,-23.0149,-25.84645,2.83156,19.36926
2011-12-13,50.0,1600.0,219580.0,144.0,134.0,135.0,140.0,152.21429,151.32328,148.99196,171.62116,-22.6292,-25.203,2.5738,18.29334
2011-12-14,24.0,1000.0,139860.0,142.0,135.0,142.0,135.0,150.28571,150.08018,147.91627,169.427,-21.51072,-24.46455,2.95382,24.46145
2011-12-15,14.0,790.0,111250.0,142.0,139.0,141.0,142.0,148.78571,148.86949,146.85223,167.32129,-20.46906,-23.66545,3.19639,24.18756
2011-12-16,14.0,790.0,111250.0,141.0,139.0,141.0,141.0,147.28571,147.82022,145.95189,165.37157,-19.41968,-22.81629,3.39662,24.18756
2011-12-17,14.0,790.0,111250.0,141.0,139.0,141.0,141.0,145.78571,146.91086,145.19006,163.56627,-18.37621,-21.92828,3.55207,24.18756
2011-12-18,3.0,60.0,8640.0,145.0,141.0,145.0,141.0,145.28571,146.65608,145.16082,162.19099,-17.03017,-20.94866,3.91849,27.92446
2011-12-19,15.0,570.0,82730.0,149.0,143.0,149.0,145.0,145.07143,146.9686,145.75146,161.21388,-15.46241,-19.85141,4.38899,31.47123
2011-12-20,8.0,220.0,32890.0,151.0,149.0,151.0,149.0,145.0,147.50612,146.55893,160.45729,-13.89836,-18.6608,4.76243,33.19707
2011-12-21,12.0,190.0,27920.0,151.0,146.0,146.0,151.0,144.57143,147.30531,146.47294,159.38638,-12.91344,-17.51133,4.59789,31.13855
2011-12-22,3.0,130.0,19060.0,148.0,146.0,146.0,146.0,144.14286,147.13126,146.40018,158.3948,-11.99462,-16.40799,4.41337,31.13855
