Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-02-12,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-13,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-16,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-17,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-18,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-19,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-20,1.0,10.0,4150.0,415.0,415.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-21,3.0,30.0,11840.0,415.0,392.0,392.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-22,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-23,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,0.0,0.0,409.25,0.0,0.0,0.0,0.0,0.0
2012-02-24,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,0.0,0.0,406.59615,0.0,0.0,0.0,0.0,0.0
2012-02-25,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,406.78571,406.78571,404.35059,0.0,0.0,0.0,0.0,0.0
2012-02-26,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,405.14286,404.81429,402.4505,0.0,0.0,0.0,0.0,0.0
2012-02-27,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,403.5,403.10571,400.84273,0.0,0.0,0.0,0.0,0.0
2012-02-28,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,401.85714,401.62495,399.48231,0.0,0.0,0.0,0.0,0.0
2012-02-29,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,400.21429,400.34163,398.33119,0.0,0.0,0.0,0.0,0.0
2012-03-01,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,398.57143,399.22941,397.35716,0.0,0.0,0.0,0.0,0.0
2012-03-02,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,396.92857,398.26549,396.53298,0.0,0.0,0.0,0.0,0.0
2012-03-03,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,395.28571,397.43009,395.8356,0.0,0.0,0.0,0.0,0.0
2012-03-04,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,393.64286,396.70608,395.24551,0.0,0.0,0.0,0.0,0.0
2012-03-05,3.0,30.0,11840.0,400.0,392.0,392.0,392.0,392.0,396.0786,394.7462,0.0,0.0,0.0,0.0,0.0
2012-03-06,1.0,10.0,3750.0,392.0,375.0,375.0,392.0,390.78571,393.26812,391.70832,0.0,0.0,0.0,0.0,0.0
2012-03-07,1.0,10.0,3750.0,375.0,375.0,375.0,375.0,389.57143,390.83237,389.13781,0.0,0.0,0.0,0.0,0.0
2012-03-08,1.0,10.0,3750.0,375.0,375.0,375.0,375.0,388.35714,388.72139,386.96276,398.0,-11.03724,-2.20745,-8.82979,0.0
2012-03-09,1.0,10.0,3750.0,375.0,375.0,375.0,375.0,387.14286,386.89187,385.12234,396.2963,-11.17396,-4.00075,-7.17321,0.0
2012-03-10,1.0,10.0,3750.0,375.0,375.0,375.0,375.0,385.92857,385.30629,383.56505,394.71879,-11.15374,-5.43135,-5.72239,0.0
2012-03-11,1.0,10.0,3750.0,375.0,375.0,375.0,375.0,384.71429,383.93212,382.24735,393.25814,-11.01079,-6.54724,-4.46355,0.0
2012-03-12,1.0,10.0,3750.0,375.0,375.0,375.0,375.0,383.5,382.74117,381.13238,391.90569,-10.77331,-7.39245,-3.38086,0.0
2012-03-13,1.0,10.0,3750.0,375.0,375.0,375.0,375.0,382.28571,381.70901,380.18893,390.65341,-10.46448,-8.00686,-2.45762,0.0
