Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-12-08,4.0,40.0,12720.0,327.0,309.0,327.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-09,4.0,40.0,13680.0,351.0,327.0,351.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-10,4.0,40.0,13680.0,351.0,333.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-11,4.0,40.0,13680.0,351.0,333.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-12,4.0,40.0,13680.0,351.0,333.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-13,4.0,40.0,13680.0,351.0,333.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-14,4.0,40.0,13680.0,351.0,333.0,351.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-15,5.0,240.0,87950.0,386.0,351.0,386.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-16,5.0,240.0,87950.0,386.0,358.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-17,5.0,240.0,87950.0,386.0,358.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-18,5.0,240.0,87950.0,386.0,358.0,386.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-19,5.0,240.0,87950.0,386.0,358.0,386.0,386.0,0.0,0.0,363.58333,0.0,0.0,0.0,0.0,100.0
2015-12-20,5.0,240.0,87950.0,386.0,358.0,386.0,386.0,0.0,0.0,367.03205,0.0,0.0,0.0,0.0,100.0
2015-12-21,6.0,120.0,49300.0,424.0,386.0,424.0,386.0,369.5,369.5,375.79635,0.0,0.0,0.0,0.0,100.0
2015-12-22,6.0,120.0,49300.0,424.0,393.0,424.0,424.0,376.42857,376.76667,383.2123,0.0,0.0,0.0,0.0,100.0
2015-12-23,6.0,120.0,49300.0,424.0,393.0,424.0,424.0,381.64286,383.06444,389.48733,0.0,0.0,0.0,0.0,100.0
2015-12-24,6.0,60.0,27070.0,466.0,424.0,466.0,424.0,389.85714,394.12252,401.25851,0.0,0.0,0.0,0.0,100.0
2015-12-25,6.0,60.0,27070.0,466.0,432.0,466.0,466.0,398.07143,403.70618,411.21874,0.0,0.0,0.0,0.0,100.0
