Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-07-12,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-13,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-14,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-15,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-16,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-17,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-18,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-19,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-20,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-21,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-22,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-23,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-24,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-25,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-26,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-27,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-28,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-29,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-30,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-07-31,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-08-02,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-08-03,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-08-04,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-08-05,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0
2010-08-06,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-07,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-08,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-09,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-10,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-11,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-12,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-13,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
2010-08-14,2.0,538.0,203674.0,383.0,376.0,376.0,376.0,376.0,376.0,376.0,376.0,0.0,0.0,0.0,0.0
