Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,40.0,3464.0,6935470.0,2040.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,18.0,1774.0,3549542.0,2039.0,2000.0,2001.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-20,18.0,1212.0,2369304.0,2001.0,1945.0,1945.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67224
2010-04-21,35.0,1916.0,3531917.0,1945.0,1800.0,1810.0,1945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4793
2010-04-22,17.0,1197.0,2156607.0,1831.0,1775.0,1831.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86516
2010-04-23,17.0,1197.0,2156607.0,1831.0,1775.0,1831.0,1831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86516
2010-04-24,17.0,1197.0,2156607.0,1831.0,1775.0,1831.0,1831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86516
2010-04-25,16.0,1365.0,2440702.0,1831.0,1770.0,1786.0,1831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.63085
2010-04-26,14.0,920.0,1625754.0,1786.0,1750.0,1760.0,1786.0,0.0,0.0,1899.58333,0.0,0.0,0.0,0.0,7.67354
2010-04-27,17.0,1418.0,2413719.0,1760.0,1695.0,1696.0,1760.0,0.0,0.0,1868.26282,0.0,0.0,0.0,0.0,5.96383
2010-04-28,5.0,293.0,491761.0,1729.0,1665.0,1671.0,1696.0,1868.71429,1868.71429,1837.91469,0.0,0.0,0.0,0.0,5.46446
2010-04-29,12.0,622.0,1132280.0,1838.0,1671.0,1838.0,1671.0,1857.14286,1864.61905,1837.92782,0.0,0.0,0.0,0.0,40.44268
2010-04-30,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1845.57143,1861.06984,1837.93892,0.0,0.0,0.0,0.0,40.44268
2010-05-01,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1834.0,1857.99386,1837.94832,0.0,0.0,0.0,0.0,40.44268
2010-05-02,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1822.42857,1855.32801,1837.95627,0.0,0.0,0.0,0.0,40.44268
2010-05-03,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1810.78571,1853.01761,1837.963,0.0,0.0,0.0,0.0,40.44268
2010-05-04,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1803.14286,1851.01526,1837.96869,0.0,0.0,0.0,0.0,40.44268
2010-05-05,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1805.14286,1849.2799,1837.97351,0.0,0.0,0.0,0.0,40.44268
2010-05-06,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1805.64286,1847.77591,1837.97758,0.0,0.0,0.0,0.0,40.44268
2010-05-07,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1806.14286,1846.47245,1837.98103,0.0,0.0,0.0,0.0,40.44268
2010-05-08,12.0,622.0,1132280.0,1838.0,1704.0,1838.0,1838.0,1806.64286,1845.34279,1837.98395,0.0,0.0,0.0,0.0,40.44268
2010-05-09,1.0,60.0,110400.0,1840.0,1838.0,1840.0,1838.0,1810.5,1844.63042,1838.29411,0.0,0.0,0.0,0.0,40.86948
2010-05-10,7.0,208.0,395608.0,1930.0,1840.0,1927.0,1840.0,1822.42857,1855.61303,1851.94117,1858.03846,-6.09729,-1.21946,-4.87783,55.45098
2010-05-11,15.0,826.0,1617502.0,2005.0,1900.0,2005.0,1927.0,1844.5,1875.53129,1875.48868,1868.9245,6.56418,0.33727,6.22691,63.84428
2010-05-12,20.0,953.0,1987601.0,2150.0,2005.0,2100.0,2005.0,1875.14286,1905.46046,1910.02889,1886.04121,23.98768,5.06735,18.92033,70.86429
2010-05-13,27.0,1750.0,3878050.0,2310.0,2100.0,2200.0,2100.0,1901.0,1944.73239,1954.63983,1909.29741,45.34241,13.12236,32.22005,76.01207
2010-05-14,27.0,1750.0,3878050.0,2310.0,2142.0,2200.0,2200.0,1926.85714,1978.76808,1992.38755,1930.83094,61.55661,22.80921,38.7474,76.01207
2010-05-15,27.0,1750.0,3878050.0,2310.0,2142.0,2200.0,2200.0,1952.71429,2008.26567,2024.32792,1950.76939,73.55854,32.95908,40.59946,76.01207
2010-05-16,24.0,1664.0,3492793.0,2200.0,2039.0,2075.0,2200.0,1969.64286,2017.16358,2032.12363,1959.97165,72.15197,40.79766,31.35432,60.53529
2010-05-17,16.0,1032.0,2071515.0,2075.0,2000.0,2040.0,2075.0,1984.07143,2020.20843,2033.33538,1965.89968,67.4357,46.12527,21.31043,57.11624
2010-05-18,14.0,840.0,1756506.0,2140.0,2000.0,2100.0,2040.0,2002.78571,2030.84731,2043.59147,1975.83304,67.75844,50.4519,17.30654,61.07367
2010-05-19,19.0,1278.0,2708832.0,2172.0,2100.0,2172.0,2100.0,2026.64286,2049.66767,2063.34663,1990.36392,72.98271,54.95806,18.02465,65.1284
