Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,7.0,800.0,173400.0,218.0,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,7.0,800.0,173400.0,218.0,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,7.0,800.0,173400.0,218.0,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,7.0,800.0,173400.0,218.0,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,9.0,2120.0,440800.0,216.0,206.0,210.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,23.0,3515.0,708840.0,210.0,198.0,200.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,25.0,4356.0,850518.0,200.0,189.0,197.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,11.0,1895.0,377190.0,204.0,192.0,204.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.03304
2010-04-23,11.0,1895.0,377190.0,204.0,192.0,204.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.03304
2010-04-24,11.0,1895.0,377190.0,204.0,192.0,204.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.03304
2010-04-25,9.0,1740.0,343670.0,204.0,195.0,200.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.35548
2010-04-26,14.0,1540.0,311190.0,206.0,199.0,206.0,200.0,0.0,0.0,207.41667,0.0,0.0,0.0,0.0,39.66542
2010-04-27,10.0,1775.0,348700.0,206.0,193.0,193.0,206.0,0.0,0.0,205.19872,0.0,0.0,0.0,0.0,27.15983
2010-04-28,13.0,6556.0,1272088.0,201.0,192.0,200.0,193.0,205.85714,205.85714,204.39892,0.0,0.0,0.0,0.0,38.1795
2010-04-29,7.0,705.0,148340.0,216.0,200.0,213.0,200.0,205.64286,206.80952,205.72216,0.0,0.0,0.0,0.0,52.26242
2010-04-30,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,205.42857,207.63492,206.84183,0.0,0.0,0.0,0.0,52.26242
2010-05-01,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,205.21429,208.35026,207.78924,0.0,0.0,0.0,0.0,52.26242
2010-05-02,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,205.0,208.97023,208.59089,0.0,0.0,0.0,0.0,52.26242
2010-05-03,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,205.21429,209.50753,209.26922,0.0,0.0,0.0,0.0,52.26242
2010-05-04,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,206.14286,209.97319,209.84318,0.0,0.0,0.0,0.0,52.26242
2010-05-05,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,207.28571,210.37677,210.32885,0.0,0.0,0.0,0.0,52.26242
2010-05-06,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,207.92857,210.72653,210.73979,0.0,0.0,0.0,0.0,52.26242
2010-05-07,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,208.57143,211.02966,211.08752,0.0,0.0,0.0,0.0,52.26242
2010-05-08,7.0,705.0,148340.0,216.0,204.0,213.0,213.0,209.21429,211.29237,211.38175,0.0,0.0,0.0,0.0,52.26242
2010-05-09,12.0,1685.0,339795.0,216.0,197.0,208.0,213.0,209.78571,210.85339,210.86148,0.0,0.0,0.0,0.0,45.73517
2010-05-10,8.0,290.0,63470.0,226.0,208.0,217.0,208.0,210.57143,211.67294,211.80587,209.11538,2.69048,0.5381,2.15238,56.09817
2010-05-11,16.0,2415.0,540185.0,230.0,217.0,222.0,217.0,212.64286,213.04988,213.37419,210.0698,3.30439,1.09136,2.21304,60.4986
2010-05-12,29.0,6896.0,1588977.0,234.0,222.0,231.0,222.0,214.85714,215.44323,216.08586,211.62019,4.46567,1.76622,2.69945,66.78996
2010-05-13,20.0,4040.0,955600.0,243.0,231.0,231.0,231.0,216.14286,217.51747,218.38034,213.05573,5.32461,2.4779,2.84672,66.78996
2010-05-14,20.0,4040.0,955600.0,243.0,231.0,231.0,231.0,217.42857,219.31514,220.32183,214.38493,5.93689,3.1697,2.7672,66.78996
2010-05-15,20.0,4040.0,955600.0,243.0,231.0,231.0,231.0,218.71429,220.87312,221.96462,215.61568,6.34894,3.80555,2.5434,66.78996
2010-05-16,9.0,1945.0,428620.0,231.0,212.0,212.0,231.0,218.64286,219.69004,220.4316,215.34785,5.08375,4.06119,1.02257,47.41262
2010-05-17,24.0,3010.0,636140.0,216.0,210.0,210.0,212.0,218.42857,218.39803,218.82674,214.95171,3.87503,4.02396,-0.14893,45.93951
2010-05-18,5.0,2180.0,459420.0,218.0,210.0,218.0,210.0,218.78571,218.34496,218.69955,215.17751,3.52204,3.92357,-0.40153,52.17976
2010-05-19,5.0,240.0,54320.0,233.0,218.0,229.0,218.0,219.92857,219.76563,220.28423,216.2014,4.08283,3.95542,0.12741,59.01076
2010-05-20,24.0,5940.0,1390540.0,240.0,229.0,235.0,229.0,221.5,221.79688,222.5482,217.59389,4.95431,4.1552,0.79911,62.11059
2010-05-21,24.0,5940.0,1390540.0,240.0,230.0,235.0,235.0,223.07143,223.5573,224.46386,218.88323,5.58063,4.44029,1.14034,62.11059
2010-05-22,24.0,5940.0,1390540.0,240.0,230.0,235.0,235.0,224.64286,225.08299,226.08481,220.07707,6.00774,4.75378,1.25396,62.11059
2010-05-23,6.0,2000.0,468300.0,236.0,231.0,235.0,235.0,226.57143,226.40526,227.45637,221.18247,6.27391,5.0578,1.2161,62.11059
2010-05-24,16.0,4500.0,1063260.0,242.0,231.0,242.0,235.0,228.35714,228.48456,229.69385,222.72451,6.96935,5.44011,1.52924,65.78043
2010-05-25,11.0,1410.0,355300.0,259.0,242.0,255.0,242.0,230.71429,232.01995,233.58711,225.11528,8.47182,6.04645,2.42537,71.21673
2010-05-26,12.0,2725.0,696055.0,264.0,243.0,245.0,255.0,231.71429,233.75062,235.34294,226.58823,8.75471,6.58811,2.16661,63.11781
2010-05-27,12.0,2725.0,696055.0,264.0,243.0,245.0,245.0,232.71429,235.25054,236.82864,227.95206,8.87658,7.0458,1.83078,63.11781
2010-05-28,12.0,2725.0,696055.0,264.0,243.0,245.0,245.0,233.71429,236.55047,238.08577,229.21487,8.8709,7.41082,1.46008,63.11781
2010-05-29,12.0,2725.0,696055.0,264.0,243.0,245.0,245.0,234.71429,237.67707,239.1495,230.38414,8.76536,7.68173,1.08363,63.11781
2010-05-30,8.0,2495.0,667755.0,269.0,245.0,269.0,245.0,238.78571,241.85346,243.74188,233.24457,10.49731,8.24484,2.25247,72.30551
2010-05-31,17.0,1790.0,486530.0,288.0,260.0,260.0,269.0,242.35714,244.273,246.24313,235.22646,11.01667,8.79921,2.21746,65.84681
2010-06-01,6.0,1030.0,257650.0,260.0,250.0,250.0,260.0,244.64286,245.0366,246.82111,236.32079,10.50032,9.13943,1.36089,59.63236
