Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-04-30,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-02,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-03,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-04,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-05,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-06,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-07,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-09,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-10,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-11,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0
2014-05-12,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0
2014-05-13,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,449.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0
2014-05-14,2.0,22.0,9790.0,449.0,441.0,449.0,449.0,449.0,449.0,449.0,0.0,0.0,0.0,0.0,0.0
2014-05-15,1.0,10.0,4570.0,457.0,449.0,457.0,449.0,449.57143,450.06667,450.23077,0.0,0.0,0.0,0.0,100.0
2014-05-16,1.0,10.0,4570.0,457.0,457.0,457.0,457.0,450.14286,450.99111,451.27219,0.0,0.0,0.0,0.0,100.0
2014-05-17,1.0,10.0,4570.0,457.0,457.0,457.0,457.0,450.71429,451.7923,452.15339,0.0,0.0,0.0,0.0,100.0
