Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-12-17,3.0,30.0,11620.0,395.0,380.0,395.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-18,1.0,10.0,4140.0,414.0,395.0,414.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-19,4.0,40.0,17600.0,450.0,414.0,450.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-20,3.0,31.0,14911.0,490.0,450.0,490.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-21,3.0,31.0,14911.0,490.0,472.0,490.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-22,3.0,31.0,14911.0,490.0,472.0,490.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-23,3.0,40.0,20960.0,534.0,490.0,534.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-24,7.0,1292.0,771064.0,609.0,534.0,609.0,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-25,7.0,1292.0,771064.0,609.0,544.0,609.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-26,6.0,91.0,57505.0,645.0,598.0,645.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-27,4.0,1260.0,869590.0,709.0,645.0,709.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-12-28,4.0,1260.0,869590.0,709.0,677.0,709.0,709.0,0.0,0.0,545.33333,0.0,0.0,0.0,0.0,100.0
2012-12-29,4.0,1260.0,869590.0,709.0,677.0,709.0,709.0,0.0,0.0,570.51282,0.0,0.0,0.0,0.0,100.0
2012-12-30,4.0,1260.0,869590.0,709.0,677.0,709.0,709.0,568.71429,568.71429,591.81854,0.0,0.0,0.0,0.0,100.0
2012-12-31,14.0,6361.0,4806717.0,779.0,709.0,779.0,709.0,596.14286,596.75238,620.61569,0.0,0.0,0.0,0.0,100.0
2013-01-01,4.0,40.0,33550.0,856.0,779.0,856.0,779.0,627.71429,631.31873,656.82866,0.0,0.0,0.0,0.0,100.0
2013-01-02,11.0,26591.0,12660384.0,941.0,260.0,941.0,856.0,662.78571,672.60957,700.54733,0.0,0.0,0.0,0.0,100.0
2013-01-03,15.0,1573.0,1598092.0,1035.0,941.0,1035.0,941.0,701.71429,720.92829,752.00158,0.0,0.0,0.0,0.0,100.0
2013-01-04,15.0,1573.0,1598092.0,1035.0,959.0,1035.0,1035.0,740.64286,762.80452,795.5398,0.0,0.0,0.0,0.0,100.0
2013-01-05,15.0,1573.0,1598092.0,1035.0,959.0,1035.0,1035.0,779.57143,799.09725,832.37983,0.0,0.0,0.0,0.0,100.0
2013-01-06,15.0,1573.0,1598092.0,1035.0,959.0,1035.0,1035.0,815.35714,830.55095,863.55217,0.0,0.0,0.0,0.0,100.0
2013-01-07,98.0,11538.0,14413998.0,1251.0,1035.0,1251.0,1035.0,861.21429,886.61082,923.15953,0.0,0.0,0.0,0.0,100.0
2013-01-08,104.0,8462.0,10966741.0,1321.0,1251.0,1295.0,1251.0,910.21429,941.06271,980.36575,0.0,0.0,0.0,0.0,100.0
2013-01-09,95.0,5575.0,6740564.0,1295.0,1166.0,1166.0,1295.0,947.42857,971.05435,1008.92487,0.0,0.0,0.0,0.0,85.08133
2013-01-10,49.0,2609.0,2742956.0,1166.0,1050.0,1050.0,1166.0,971.78571,981.58044,1015.24412,0.0,0.0,0.0,0.0,74.57649
2013-01-11,49.0,2609.0,2742956.0,1143.0,1050.0,1050.0,1050.0,996.14286,990.70305,1020.59118,788.07692,232.51425,46.50285,186.0114,74.57649
2013-01-12,49.0,2609.0,2742956.0,1143.0,1050.0,1050.0,1050.0,1020.5,998.60931,1025.11561,807.47863,217.63698,80.72968,136.9073,74.57649
2013-01-13,52.0,8816.0,8818154.0,1050.0,990.0,1000.0,1050.0,1041.28571,998.79473,1021.25167,821.73947,199.5122,104.48618,95.02602,70.24863
2013-01-14,52.0,8816.0,8818154.0,1029.0,990.0,1000.0,1000.0,1057.07143,998.95543,1017.98218,834.94396,183.03823,120.19659,62.84164,70.24863
2013-01-15,65.0,4209.0,4021313.0,1000.0,948.0,950.0,1000.0,1063.78571,992.42804,1007.52339,843.46663,164.05676,128.96862,35.08813,66.02434
2013-01-16,27.0,1956.0,1816815.0,950.0,919.0,931.0,950.0,1063.07143,984.23764,995.75056,849.95058,145.79998,132.33489,13.46508,64.47732
2013-01-17,38.0,3713.0,3421899.0,932.0,915.0,926.0,931.0,1055.28571,976.47262,985.0197,855.58387,129.43583,131.75508,-2.31925,64.06256
2013-01-18,38.0,3713.0,3421899.0,932.0,915.0,926.0,926.0,1047.5,969.74294,975.93975,860.79988,115.13987,128.43204,-13.29217,64.06256
2013-01-19,38.0,3713.0,3421899.0,932.0,915.0,926.0,926.0,1039.71429,963.91055,968.25671,865.62952,102.62719,123.27107,-20.64388,64.06256
