Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-10-07,1.0,163.0,45640.0,280.0,280.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-08,12.0,594.0,155890.0,280.0,252.0,252.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-09,5.0,265.0,62943.0,252.0,231.0,231.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-10,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-11,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-13,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-14,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-15,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-16,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-17,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-18,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,236.83333,0.0,0.0,0.0,0.0,0.0
2013-10-19,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,0.0,0.0,235.9359,0.0,0.0,0.0,0.0,0.0
2013-10-20,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,236.0,236.0,235.17653,0.0,0.0,0.0,0.0,0.0
2013-10-21,5.0,265.0,62943.0,247.0,231.0,231.0,231.0,232.5,235.33333,234.53399,0.0,0.0,0.0,0.0,0.0
2013-10-22,3.0,30.0,6690.0,231.0,219.0,219.0,231.0,230.14286,233.15556,232.14414,0.0,0.0,0.0,0.0,0.0
2013-10-23,5.0,50.0,10350.0,219.0,199.0,199.0,219.0,227.85714,228.60148,227.04504,0.0,0.0,0.0,0.0,0.0
2013-10-24,13.0,844.0,156181.0,199.0,181.0,186.0,199.0,224.64286,222.92128,220.73042,0.0,0.0,0.0,0.0,0.0
2013-10-25,13.0,844.0,156181.0,196.0,181.0,186.0,186.0,221.42857,217.99845,215.38728,0.0,0.0,0.0,0.0,0.0
2013-10-26,13.0,844.0,156181.0,196.0,181.0,186.0,186.0,218.21429,213.73199,210.86616,0.0,0.0,0.0,0.0,0.0
2013-10-27,19.0,770.0,143554.0,187.0,185.0,185.0,186.0,214.92857,209.90106,206.88675,0.0,0.0,0.0,0.0,0.0
2013-10-28,12.0,1745.0,324390.0,192.0,181.0,192.0,185.0,212.14286,207.51425,204.59648,0.0,0.0,0.0,0.0,2.56228
2013-10-29,6.0,363.0,70635.0,195.0,189.0,189.0,192.0,209.14286,205.04568,202.19702,0.0,0.0,0.0,0.0,2.53307
2013-10-30,10.0,1087.0,212544.0,198.0,189.0,194.0,189.0,206.5,203.57292,200.93594,0.0,0.0,0.0,0.0,4.43931
2013-10-31,1.0,163.0,32111.0,197.0,194.0,197.0,194.0,204.07143,202.69653,200.33041,0.0,0.0,0.0,0.0,5.60243
2013-11-01,1.0,163.0,32111.0,197.0,197.0,197.0,197.0,201.64286,201.937,199.81804,217.88462,-18.06657,-3.61331,-14.45326,5.60243
2013-11-02,1.0,163.0,32111.0,197.0,197.0,197.0,197.0,199.21429,201.27873,199.3845,216.33761,-16.95311,-6.28127,-10.67184,5.60243
