Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-09,1.0,50.0,14100.0,282.0,282.0,282.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,11.0,710.0,185150.0,282.0,254.0,254.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,20.0,1470.0,338050.0,254.0,229.0,229.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,15.0,1370.0,302740.0,242.0,214.0,242.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28013
2010-05-13,14.0,2510.0,634000.0,255.0,242.0,250.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69895
2010-05-14,14.0,2510.0,634000.0,255.0,242.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69895
2010-05-15,14.0,2510.0,634000.0,255.0,242.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69895
2010-05-16,2.0,200.0,49000.0,250.0,245.0,245.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66049
2010-05-17,18.0,1580.0,365690.0,245.0,224.0,241.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62881
2010-05-18,9.0,2700.0,617150.0,241.0,224.0,230.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54031
2010-05-19,11.0,1890.0,436270.0,245.0,225.0,245.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79481
2010-05-20,5.0,290.0,71670.0,252.0,241.0,252.0,245.0,0.0,0.0,247.5,0.0,0.0,0.0,0.0,8.31065
2010-05-21,5.0,290.0,71670.0,252.0,241.0,252.0,252.0,0.0,0.0,248.19231,0.0,0.0,0.0,0.0,8.31065
2010-05-22,5.0,290.0,71670.0,252.0,241.0,252.0,252.0,248.14286,248.14286,248.77811,0.0,0.0,0.0,0.0,8.31065
2010-05-23,3.0,120.0,29640.0,252.0,247.0,247.0,252.0,245.64286,247.99048,248.50455,0.0,0.0,0.0,0.0,8.20037
2010-05-24,3.0,120.0,28840.0,247.0,239.0,239.0,247.0,244.57143,246.79175,247.04231,0.0,0.0,0.0,0.0,8.02155
2010-05-25,22.0,6130.0,1533820.0,256.0,239.0,255.0,239.0,246.42857,247.88618,248.26657,0.0,0.0,0.0,0.0,12.04914
2010-05-26,20.0,3760.0,956060.0,264.0,236.0,236.0,255.0,246.0,246.30136,246.37941,0.0,0.0,0.0,0.0,11.42533
2010-05-27,20.0,3760.0,956060.0,264.0,236.0,236.0,236.0,245.0,244.92784,244.78258,0.0,0.0,0.0,0.0,11.42533
2010-05-28,20.0,3760.0,956060.0,264.0,236.0,236.0,236.0,244.0,243.73746,243.43141,0.0,0.0,0.0,0.0,11.42533
2010-05-29,20.0,3760.0,956060.0,264.0,236.0,236.0,236.0,243.0,242.7058,242.28812,0.0,0.0,0.0,0.0,11.42533
2010-05-30,9.0,1800.0,442980.0,259.0,236.0,259.0,236.0,244.0,244.87836,244.85918,0.0,0.0,0.0,0.0,17.69511
2010-05-31,8.0,2090.0,528640.0,264.0,245.0,251.0,259.0,244.71429,245.69458,245.80392,0.0,0.0,0.0,0.0,17.24918
2010-06-01,8.0,2090.0,528640.0,264.0,245.0,251.0,251.0,246.21429,246.40197,246.60331,0.0,0.0,0.0,0.0,17.24918
2010-06-02,8.0,2090.0,528640.0,264.0,245.0,251.0,251.0,246.64286,247.01504,247.27973,0.0,0.0,0.0,0.0,17.24918
2010-06-03,16.0,2970.0,720540.0,251.0,238.0,240.0,251.0,245.78571,246.0797,246.15977,246.57692,-0.41715,-0.08343,-0.33372,16.58396
2010-06-04,16.0,2970.0,720540.0,246.0,238.0,240.0,240.0,244.92857,245.26907,245.21211,246.08974,-0.87763,-0.24227,-0.63536,16.58396
2010-06-05,16.0,2970.0,720540.0,246.0,238.0,240.0,240.0,244.07143,244.56653,244.41025,245.63865,-1.2284,-0.4395,-0.78891,16.58396
2010-06-06,4.0,920.0,217320.0,240.0,235.0,235.0,240.0,243.21429,243.29099,242.96252,244.8506,-1.88808,-0.72921,-1.15887,16.25411
2010-06-07,3.0,700.0,160960.0,235.0,229.0,229.0,235.0,242.5,241.38553,240.81444,243.67648,-2.86205,-1.15578,-1.70626,15.85673
2010-06-08,9.0,880.0,209540.0,246.0,229.0,246.0,229.0,241.85714,242.00079,241.61222,243.8486,-2.23638,-1.3719,-0.86448,21.56173
2010-06-09,3.0,300.0,73660.0,249.0,245.0,245.0,246.0,242.5,242.40069,242.13341,243.93389,-1.80047,-1.45761,-0.34286,21.47182
2010-06-10,11.0,1600.0,388300.0,250.0,240.0,250.0,245.0,243.5,243.41393,243.34366,244.38323,-1.03957,-1.37401,0.33444,23.15426
2010-06-11,11.0,1600.0,388300.0,250.0,240.0,250.0,250.0,244.5,244.29207,244.36771,244.79928,-0.43157,-1.18552,0.75395,23.15426
2010-06-12,11.0,1600.0,388300.0,250.0,240.0,250.0,250.0,245.5,245.05313,245.23422,245.18452,0.04969,-0.93848,0.98817,23.15426
2010-06-13,2.0,300.0,74000.0,250.0,246.0,246.0,250.0,244.57143,245.17938,245.35203,245.24493,0.1071,-0.72936,0.83646,22.70379
2010-06-14,1.0,100.0,24200.0,246.0,242.0,242.0,246.0,243.92857,244.75546,244.83633,245.00456,-0.16823,-0.61713,0.4489,22.24927
2010-06-15,9.0,2900.0,697480.0,242.0,234.0,242.0,242.0,243.28571,244.38807,244.39997,244.782,-0.38203,-0.57011,0.18808,22.24927
2010-06-16,5.0,420.0,102900.0,255.0,242.0,255.0,242.0,243.57143,245.80299,246.03075,245.53889,0.49186,-0.35772,0.84958,27.45316
2010-06-17,5.0,420.0,102900.0,255.0,242.0,255.0,255.0,244.64286,247.02926,247.41063,246.23971,1.17092,-0.05199,1.22291,27.45316
2010-06-18,5.0,420.0,102900.0,255.0,242.0,255.0,255.0,245.71429,248.09202,248.57823,246.88862,1.6896,0.29633,1.39328,27.45316
2010-06-19,5.0,420.0,102900.0,255.0,242.0,255.0,255.0,246.78571,249.01309,249.56619,247.48947,2.07672,0.65241,1.42432,27.45316
2010-06-20,3.0,80.0,21040.0,267.0,255.0,267.0,255.0,249.07143,251.41134,252.24832,248.93469,3.31362,1.18465,2.12897,32.52061
2010-06-21,1.0,40.0,10720.0,268.0,267.0,268.0,267.0,251.85714,253.62316,254.67165,250.34694,4.32472,1.81266,2.51205,32.93054
2010-06-22,1.0,40.0,10720.0,268.0,268.0,268.0,268.0,253.42857,255.54007,256.72217,251.65457,5.0676,2.46365,2.60395,32.93054
2010-06-23,2.0,420.0,109960.0,268.0,258.0,258.0,268.0,254.35714,255.86806,256.91876,252.1246,4.79415,2.92975,1.8644,30.86346
2010-06-24,2.0,420.0,109960.0,263.0,258.0,258.0,258.0,254.92857,256.15232,257.0851,252.55982,4.52528,3.24886,1.27643,30.86346
2010-06-25,2.0,420.0,109960.0,263.0,258.0,258.0,258.0,255.5,256.39868,257.22586,252.96279,4.26306,3.4517,0.81136,30.86346
2010-06-26,2.0,420.0,109960.0,263.0,258.0,258.0,258.0,256.07143,256.61219,257.34495,253.33592,4.00903,3.56317,0.44587,30.86346
2010-06-27,2.0,420.0,109960.0,263.0,258.0,258.0,258.0,256.92857,256.79723,257.44573,253.68141,3.76432,3.6034,0.16093,30.86346
2010-06-28,2.0,420.0,109960.0,263.0,258.0,258.0,258.0,258.07143,256.9576,257.531,254.0013,3.5297,3.58866,-0.05896,30.86346
2010-06-29,2.0,320.0,82560.0,258.0,258.0,258.0,258.0,259.21429,257.09659,257.60316,254.2975,3.30565,3.53206,-0.2264,30.86346
2010-06-30,2.0,320.0,82560.0,258.0,258.0,258.0,258.0,259.42857,257.21704,257.66421,254.57176,3.09245,3.44413,-0.35169,30.86346
2010-07-01,27.0,3390.0,841360.0,262.0,244.0,262.0,258.0,259.92857,257.85477,258.33125,255.122,3.20925,3.39716,-0.18791,33.33644
2010-07-02,27.0,3390.0,841360.0,262.0,244.0,262.0,262.0,260.42857,258.40747,258.89568,255.63148,3.26419,3.37057,-0.10637,33.33644
2010-07-03,27.0,3390.0,841360.0,262.0,244.0,262.0,262.0,260.92857,258.88647,259.37326,256.10323,3.27004,3.35046,-0.08042,33.33644
2010-07-04,27.0,3390.0,841360.0,262.0,244.0,262.0,262.0,260.57143,259.30161,259.77738,256.54002,3.23735,3.32784,-0.09048,33.33644
2010-07-05,27.0,3390.0,841360.0,262.0,244.0,262.0,262.0,260.14286,259.66139,260.11932,256.94447,3.17485,3.29724,-0.12239,33.33644
2010-07-06,27.0,3390.0,841360.0,262.0,244.0,262.0,262.0,259.71429,259.97321,260.40866,257.31895,3.0897,3.25573,-0.16603,33.33644
2010-07-07,27.0,3390.0,841360.0,262.0,244.0,262.0,262.0,260.0,260.24345,260.65348,257.66569,2.98778,3.20214,-0.21436,33.33644
2010-07-08,1.0,20.0,5140.0,262.0,257.0,257.0,262.0,259.92857,259.81099,260.0914,257.61638,2.47502,3.05672,-0.5817,31.36325
2010-07-09,1.0,20.0,5140.0,257.0,257.0,257.0,257.0,259.85714,259.43619,259.6158,257.57073,2.04508,2.85439,-0.80931,31.36325
2010-07-10,1.0,20.0,5140.0,257.0,257.0,257.0,257.0,259.78571,259.11136,259.21337,257.52845,1.68492,2.6205,-0.93557,31.36325
2010-07-11,5.0,310.0,79270.0,262.0,252.0,257.0,257.0,259.71429,258.82985,258.87285,257.48931,1.38355,2.37311,-0.98956,31.36325
2010-07-12,22.0,3800.0,918480.0,257.0,237.0,252.0,257.0,259.28571,257.9192,257.81549,257.08269,0.7328,2.04505,-1.31225,29.25824
2010-07-13,22.0,3800.0,918480.0,252.0,237.0,252.0,252.0,258.85714,257.12998,256.9208,256.70619,0.21461,1.67896,-1.46435,29.25824
2010-07-14,6.0,2060.0,514120.0,257.0,247.0,257.0,252.0,258.78571,257.11265,256.93298,256.72796,0.20503,1.38417,-1.17914,34.13223
2010-07-15,14.0,1660.0,441400.0,280.0,257.0,275.0,257.0,259.71429,259.49763,259.71253,258.08144,1.63108,1.43355,0.19753,47.74208
2010-07-16,14.0,1660.0,441400.0,280.0,257.0,275.0,275.0,260.64286,261.56461,262.06444,259.33467,2.72978,1.6928,1.03698,47.74208
2010-07-17,14.0,1660.0,441400.0,280.0,257.0,275.0,275.0,261.57143,263.35599,264.05453,260.49506,3.55947,2.06613,1.49333,47.74208
2010-07-18,3.0,60.0,15900.0,275.0,260.0,260.0,275.0,261.42857,262.90853,263.43076,260.45839,2.97236,2.24738,0.72499,39.80738
2010-07-19,11.0,1380.0,331900.0,260.0,234.0,240.0,260.0,259.85714,259.85406,259.82602,258.94296,0.88307,1.97452,-1.09145,32.29339
2010-07-20,7.0,2350.0,561250.0,240.0,236.0,240.0,240.0,258.28571,257.20685,256.77587,257.53977,-0.76391,1.42683,-2.19074,32.29339
2010-07-21,7.0,890.0,213310.0,243.0,237.0,241.0,240.0,256.78571,255.04594,254.34881,256.31461,-1.9658,0.74831,-2.7141,32.99064
2010-07-22,13.0,1610.0,385750.0,245.0,237.0,240.0,241.0,255.57143,253.03981,252.1413,255.10612,-2.96482,0.00568,-2.9705,32.63773
2010-07-23,13.0,1610.0,385750.0,245.0,237.0,240.0,240.0,254.35714,251.30117,250.27341,253.98714,-3.71374,-0.7382,-2.97553,32.63773
2010-07-24,13.0,1610.0,385750.0,245.0,237.0,240.0,240.0,253.14286,249.79435,248.69288,252.95106,-4.25818,-1.4422,-2.81598,32.63773
2010-07-25,2.0,500.0,118800.0,240.0,237.0,237.0,240.0,251.71429,248.08843,246.89398,251.7695,-4.87552,-2.12886,-2.74666,31.46864
2010-07-26,7.0,2280.0,546680.0,249.0,233.0,241.0,237.0,250.92857,247.14331,245.98721,250.97176,-4.98455,-2.7,-2.28455,34.74124
2010-07-27,3.0,3460.0,829850.0,241.0,237.0,237.0,241.0,249.85714,245.79087,244.60456,249.93681,-5.33225,-3.22645,-2.1058,33.08245
2010-07-28,2.0,140.0,32880.0,237.0,234.0,235.0,237.0,248.28571,244.35209,243.12694,248.83038,-5.70344,-3.72185,-1.9816,32.27345
2010-07-29,5.0,680.0,159900.0,239.0,234.0,239.0,235.0,245.71429,243.63847,242.49203,248.10221,-5.61018,-4.09951,-1.51067,35.58157
