Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-03-17,1.0,115.0,18975.0,165.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-18,5.0,364.0,61887.0,174.0,165.0,174.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-19,5.0,364.0,61887.0,174.0,168.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-20,5.0,364.0,61887.0,174.0,168.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-21,5.0,364.0,61887.0,174.0,168.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-22,5.0,364.0,61887.0,174.0,168.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-23,5.0,364.0,61887.0,174.0,168.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-24,5.0,364.0,61887.0,174.0,168.0,174.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-25,3.0,98.0,16350.0,174.0,165.0,165.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.72029
2014-03-26,3.0,98.0,16350.0,171.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.72029
2014-03-27,3.0,98.0,16350.0,171.0,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.72029
2014-03-28,3.0,98.0,16350.0,171.0,165.0,165.0,165.0,0.0,0.0,170.25,0.0,0.0,0.0,0.0,93.72029
2014-03-29,3.0,98.0,16350.0,171.0,165.0,165.0,165.0,0.0,0.0,169.44231,0.0,0.0,0.0,0.0,93.72029
