Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-12-15,9.0,2387.0,93093.0,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-16,6.0,1561.0,59663.0,39.0,38.22,38.22,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-17,6.0,1561.0,59663.0,38.22,38.22,38.22,38.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-18,6.0,1561.0,59663.0,38.22,38.22,38.22,38.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-19,1.0,100.0,3750.0,38.22,37.5,37.5,38.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-20,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-21,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-22,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-23,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-24,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-25,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-26,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,37.805,0.0,0.0,0.0,0.0,0.0
2010-12-27,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,0.0,0.0,37.75808,0.0,0.0,0.0,0.0,0.0
2010-12-28,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,37.76143,37.76143,37.71837,0.0,0.0,0.0,0.0,0.0
2010-12-29,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,37.65429,37.72657,37.68478,0.0,0.0,0.0,0.0,0.0
2010-12-30,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,37.60286,37.69636,37.65635,0.0,0.0,0.0,0.0,0.0
2010-12-31,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,37.55143,37.67018,37.6323,0.0,0.0,0.0,0.0,0.0
2011-01-01,1.0,100.0,3750.0,37.5,37.5,37.5,37.5,37.5,37.64749,37.61194,0.0,0.0,0.0,0.0,0.0
