Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-06-29,1.0,125.0,37000.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-02,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-03,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-04,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-05,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-06,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-07,1.0,12.0,3552.0,296.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-08,3.0,63.0,18585.0,296.0,295.0,295.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-09,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-10,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,0.0,0.0,295.75,0.0,0.0,0.0,0.0,0.0
2010-07-11,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,0.0,0.0,295.63462,0.0,0.0,0.0,0.0,0.0
2010-07-12,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.64286,295.64286,295.53698,0.0,0.0,0.0,0.0,0.0
2010-07-13,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.57143,295.55714,295.45437,0.0,0.0,0.0,0.0,0.0
2010-07-14,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.5,295.48286,295.38447,0.0,0.0,0.0,0.0,0.0
2010-07-15,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.42857,295.41848,295.32532,0.0,0.0,0.0,0.0,0.0
2010-07-16,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.35714,295.36268,295.27527,0.0,0.0,0.0,0.0,0.0
2010-07-17,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.28571,295.31432,295.23292,0.0,0.0,0.0,0.0,0.0
2010-07-18,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.21429,295.27241,295.19709,0.0,0.0,0.0,0.0,0.0
2010-07-19,3.0,63.0,18585.0,295.0,295.0,295.0,295.0,295.14286,295.23609,295.16677,0.0,0.0,0.0,0.0,0.0
2010-07-20,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.07143,295.20461,295.14111,0.0,0.0,0.0,0.0,0.0
2010-07-21,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.17733,295.1194,0.0,0.0,0.0,0.0,0.0
2010-07-22,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.15369,295.10103,0.0,0.0,0.0,0.0,0.0
2010-07-23,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.13319,295.08549,0.0,0.0,0.0,0.0,0.0
2010-07-24,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.11544,295.07234,295.34615,-0.27382,-0.05476,-0.21905,0.0
2010-07-25,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.10004,295.06121,295.32051,-0.25931,-0.09567,-0.16363,0.0
2010-07-26,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.0867,295.05179,295.29677,-0.24498,-0.12553,-0.11945,0.0
2010-07-27,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.07514,295.04382,295.27479,-0.23097,-0.14662,-0.08435,0.0
2010-07-28,1.0,280.0,82600.0,295.0,295.0,295.0,295.0,295.0,295.06513,295.03708,295.25443,-0.21735,-0.16077,-0.05659,0.0
2010-07-29,1.0,60.0,17400.0,295.0,290.0,290.0,295.0,294.64286,294.38978,294.26215,294.86522,-0.60307,-0.24923,-0.35384,0.0
2010-07-30,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,294.28571,293.80447,293.60643,294.50483,-0.8984,-0.37906,-0.51934,0.0
2010-07-31,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,293.92857,293.29721,293.0516,294.17114,-1.11954,-0.52716,-0.59239,0.0
2010-08-01,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,293.57143,292.85758,292.58212,293.86217,-1.28005,-0.67774,-0.60231,0.0
2010-08-02,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,293.21429,292.47657,292.18487,293.57608,-1.39121,-0.82043,-0.57078,0.0
2010-08-03,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,292.85714,292.14636,291.84874,293.31118,-1.46245,-0.94883,-0.51361,0.0
2010-08-04,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,292.5,291.86018,291.56432,293.06591,-1.5016,-1.05939,-0.44221,0.0
2010-08-05,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,292.14286,291.61216,291.32365,292.83881,-1.51516,-1.15054,-0.36462,0.0
2010-08-06,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,291.78571,291.3972,291.12001,292.62852,-1.50851,-1.22213,-0.28638,0.0
2010-08-07,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,291.42857,291.21091,290.9477,292.43382,-1.48612,-1.27493,-0.21119,0.0
2010-08-08,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,291.07143,291.04945,290.8019,292.25354,-1.45163,-1.31027,-0.14136,0.0
2010-08-09,1.0,60.0,17400.0,290.0,290.0,290.0,290.0,290.71429,290.90953,290.67853,292.08661,-1.40807,-1.32983,-0.07824,0.0
