Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,4.0,1200.0,62200.0,52.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,4.0,1200.0,62200.0,52.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,4.0,1200.0,62200.0,52.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,4.0,1200.0,62200.0,52.0,51.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,9.0,6733.0,341050.0,51.0,50.0,50.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,13.0,11200.0,562700.0,51.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,7.0,5500.0,270500.0,50.0,49.0,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,7.0,5500.0,270500.0,50.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,7.0,5500.0,270500.0,50.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,7.0,5500.0,270500.0,50.0,49.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,6.0,2300.0,113004.0,51.0,48.02,51.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0394
2010-04-26,3.0,2500.0,125500.0,51.0,50.0,50.0,51.0,0.0,0.0,50.08333,0.0,0.0,0.0,0.0,43.30019
2010-04-27,12.0,10000.0,484670.0,50.0,47.06,47.06,50.0,0.0,0.0,49.61821,0.0,0.0,0.0,0.0,25.44443
2010-04-28,10.0,5350.0,251236.0,49.0,46.12,46.12,47.06,49.58429,49.58429,49.08002,0.0,0.0,0.0,0.0,22.35028
2010-04-29,14.0,28510.0,1372143.0,49.88,46.12,47.1,46.12,49.30571,49.25305,48.7754,0.0,0.0,0.0,0.0,31.47251
2010-04-30,14.0,28510.0,1372143.0,49.88,47.0,47.1,47.1,49.02714,48.96597,48.51765,0.0,0.0,0.0,0.0,31.47251
