Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,5.0,484.0,328884.0,693.0,671.0,671.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,5.0,484.0,328884.0,693.0,671.0,671.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,5.0,484.0,328884.0,693.0,671.0,671.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,5.0,484.0,328884.0,693.0,671.0,671.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,7.0,709.0,469072.0,671.0,658.0,659.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,7.0,433.0,282991.0,659.0,652.0,655.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,21.0,1557.0,976385.0,655.0,615.0,617.0,655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,16.0,1679.0,1017233.0,632.0,598.0,624.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24105
2010-04-23,16.0,1679.0,1017233.0,632.0,598.0,624.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24105
2010-04-24,16.0,1679.0,1017233.0,632.0,598.0,624.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24105
2010-04-25,18.0,1035.0,623700.0,624.0,600.0,602.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4692
2010-04-26,5.0,403.0,243189.0,609.0,601.0,601.0,602.0,0.0,0.0,640.83333,0.0,0.0,0.0,0.0,8.34646
2010-04-27,12.0,1633.0,952250.0,601.0,570.0,580.0,601.0,0.0,0.0,631.47436,0.0,0.0,0.0,0.0,6.32512
2010-04-28,9.0,1078.0,626655.0,586.0,570.0,581.0,580.0,632.21429,632.21429,623.70907,0.0,0.0,0.0,0.0,7.44586
2010-04-29,1.0,42.0,24864.0,592.0,581.0,592.0,581.0,626.57143,626.85238,618.83075,0.0,0.0,0.0,0.0,18.6827
2010-04-30,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,620.92857,622.2054,614.70295,0.0,0.0,0.0,0.0,18.6827
2010-05-01,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,615.28571,618.17801,611.21018,0.0,0.0,0.0,0.0,18.6827
2010-05-02,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,609.64286,614.68761,608.25477,0.0,0.0,0.0,0.0,18.6827
2010-05-03,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,604.85714,611.66259,605.75404,0.0,0.0,0.0,0.0,18.6827
2010-05-04,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,600.35714,609.04092,603.63803,0.0,0.0,0.0,0.0,18.6827
2010-05-05,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,598.57143,606.76879,601.84757,0.0,0.0,0.0,0.0,18.6827
2010-05-06,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,596.28571,604.79962,600.33256,0.0,0.0,0.0,0.0,18.6827
2010-05-07,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,594.0,603.093,599.05062,0.0,0.0,0.0,0.0,18.6827
2010-05-08,1.0,42.0,24864.0,592.0,592.0,592.0,592.0,591.71429,601.61394,597.96591,0.0,0.0,0.0,0.0,18.6827
2010-05-09,7.0,339.0,199855.0,595.0,586.0,586.0,592.0,590.57143,599.53208,596.125,0.0,0.0,0.0,0.0,16.86362
2010-05-10,4.0,183.0,109910.0,605.0,586.0,600.0,586.0,590.5,599.59447,596.72116,613.73077,-17.00961,-3.40192,-13.60769,32.87598
2010-05-11,15.0,1231.0,802127.0,660.0,600.0,660.0,600.0,596.21429,607.64854,606.45636,617.15812,-10.70176,-4.86189,-5.83987,64.04165
2010-05-12,19.0,1588.0,1103573.0,714.0,660.0,714.0,660.0,605.71429,621.82873,623.00154,624.33159,-1.33005,-4.15552,2.82547,75.00746
