Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-02-18,15.0,62325.0,668442.7,11.0,10.2,10.66,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-19,15.0,62325.0,668442.7,11.0,10.2,10.66,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-20,15.0,62325.0,668442.7,11.0,10.2,10.66,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-21,15.0,62325.0,668442.7,11.0,10.2,10.66,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-22,8.0,34127.0,359018.25,10.66,10.45,10.55,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-23,7.0,26500.0,281125.0,10.7,10.45,10.7,10.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8785
2015-02-24,4.0,15173.0,164198.78,10.86,10.65,10.86,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21964
2015-02-25,7.0,27956.0,303070.4,10.9,10.7,10.75,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.45192
2015-02-26,8.0,23300.0,251165.0,10.8,10.7,10.8,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.44724
2015-02-27,8.0,23300.0,251165.0,10.8,10.7,10.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.44724
2015-02-28,8.0,23300.0,251165.0,10.8,10.7,10.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.44724
2015-03-01,5.0,9000.0,96500.0,10.9,10.7,10.7,10.8,0.0,0.0,10.71667,0.0,0.0,0.0,0.0,51.07584
2015-03-02,9.0,45267.0,481263.55,10.7,10.5,10.7,10.7,0.0,0.0,10.7141,0.0,0.0,0.0,0.0,51.07584
2015-03-03,2.0,19889.0,209084.5,10.7,10.5,10.6,10.7,10.70714,10.70714,10.69655,0.0,0.0,0.0,0.0,42.53623
