Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,3.0,629.0,334950.0,535.0,530.0,530.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,3.0,629.0,334950.0,535.0,530.0,530.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,3.0,629.0,334950.0,535.0,530.0,530.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,3.0,629.0,334950.0,535.0,530.0,530.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,5.0,334.0,169336.0,530.0,502.0,502.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,16.0,2345.0,1173081.0,522.0,492.0,493.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,16.0,1831.0,879456.0,493.0,478.0,478.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,6.0,450.0,210465.0,478.0,461.0,470.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,6.0,450.0,210465.0,471.0,461.0,470.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,6.0,450.0,210465.0,471.0,461.0,470.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,2.0,292.0,136304.0,470.0,461.0,470.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,4.0,217.0,102502.0,475.0,465.0,475.0,470.0,0.0,0.0,495.66667,0.0,0.0,0.0,0.0,10.0101
2010-04-27,9.0,847.0,392717.0,475.0,461.0,465.0,475.0,0.0,0.0,490.94872,0.0,0.0,0.0,0.0,8.27136
