Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-06-22,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-23,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-24,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-25,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-26,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-27,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-28,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-29,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-02,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-03,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0
2010-07-04,2.0,200.0,21400.0,107.0,107.0,107.0,107.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0
2010-07-05,4.0,44.0,4708.0,109.0,105.0,105.0,107.0,106.85714,106.85714,106.69231,0.0,0.0,0.0,0.0,0.0
2010-07-06,4.0,44.0,4708.0,109.0,105.0,105.0,105.0,106.71429,106.60952,106.43195,0.0,0.0,0.0,0.0,0.0
2010-07-07,4.0,44.0,4708.0,109.0,105.0,105.0,105.0,106.57143,106.39492,106.21165,0.0,0.0,0.0,0.0,0.0
2010-07-08,4.0,44.0,4708.0,109.0,105.0,105.0,105.0,106.42857,106.20893,106.02524,0.0,0.0,0.0,0.0,0.0
2010-07-09,4.0,44.0,4708.0,109.0,105.0,105.0,105.0,106.28571,106.04774,105.86751,0.0,0.0,0.0,0.0,0.0
2010-07-10,4.0,44.0,4708.0,109.0,105.0,105.0,105.0,106.14286,105.90804,105.73405,0.0,0.0,0.0,0.0,0.0
2010-07-11,1.0,22.0,2354.0,107.0,105.0,107.0,105.0,106.14286,106.05364,105.92881,0.0,0.0,0.0,0.0,57.2667
2010-07-12,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.14286,106.17982,106.09361,0.0,0.0,0.0,0.0,57.2667
2010-07-13,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.14286,106.28918,106.23305,0.0,0.0,0.0,0.0,57.2667
2010-07-14,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.14286,106.38395,106.35105,0.0,0.0,0.0,0.0,57.2667
2010-07-15,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.14286,106.46609,106.45089,0.0,0.0,0.0,0.0,57.2667
2010-07-16,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.14286,106.53728,106.53536,0.0,0.0,0.0,0.0,57.2667
2010-07-17,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.14286,106.59898,106.60685,106.53846,0.06839,0.01368,0.05471,57.2667
2010-07-18,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.14286,106.65245,106.66733,106.57265,0.09468,0.02988,0.0648,57.2667
2010-07-19,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.28571,106.69879,106.71851,106.60431,0.11421,0.04674,0.06746,57.2667
2010-07-20,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.42857,106.73895,106.76182,106.63362,0.1282,0.06304,0.06517,57.2667
2010-07-21,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.57143,106.77375,106.79846,106.66076,0.13771,0.07797,0.05974,57.2667
2010-07-22,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.71429,106.80392,106.82947,106.68588,0.14358,0.09109,0.05249,57.2667
2010-07-23,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,106.85714,106.83006,106.8557,106.70915,0.14655,0.10218,0.04437,57.2667
2010-07-24,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,107.0,106.85272,106.8779,106.7307,0.14721,0.11119,0.03602,57.2667
2010-07-25,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,107.0,106.87236,106.89669,106.75065,0.14604,0.11816,0.02788,57.2667
2010-07-26,1.0,22.0,2354.0,107.0,107.0,107.0,107.0,107.0,106.88938,106.91258,106.76912,0.14347,0.12322,0.02025,57.2667
