Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-08-02,6.0,120.0,38720.0,324.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-03,7.0,160.0,54900.0,352.0,320.0,352.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-08-04,9.0,140.0,53200.0,387.0,352.0,387.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-08-05,9.0,110.0,45640.0,425.0,387.0,425.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-08-06,9.0,110.0,45640.0,425.0,394.0,425.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-08-07,9.0,110.0,45640.0,425.0,394.0,425.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-08-08,20.0,290.0,133430.0,467.0,425.0,467.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-08-09,54.0,670.0,327240.0,500.0,467.0,486.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-08-10,56.0,1060.0,488760.0,488.0,444.0,455.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.00532
2010-08-11,39.0,660.0,302610.0,466.0,450.0,466.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.09656
2010-08-12,51.0,610.0,286120.0,480.0,459.0,475.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.17233
2010-08-13,51.0,610.0,286120.0,480.0,459.0,475.0,475.0,0.0,0.0,429.83333,0.0,0.0,0.0,0.0,95.17233
2010-08-14,51.0,610.0,286120.0,480.0,459.0,475.0,475.0,0.0,0.0,436.78205,0.0,0.0,0.0,0.0,95.17233
2010-08-15,31.0,350.0,170320.0,490.0,475.0,487.0,475.0,437.14286,437.14286,444.50789,0.0,0.0,0.0,0.0,95.2848
2010-08-16,88.0,1070.0,517280.0,491.0,472.0,475.0,487.0,448.21429,442.19048,449.19898,0.0,0.0,0.0,0.0,93.00978
2010-08-17,52.0,720.0,345260.0,483.0,475.0,478.0,475.0,457.21429,446.96508,453.62991,0.0,0.0,0.0,0.0,93.05332
2010-08-18,49.0,700.0,341040.0,495.0,475.0,490.0,478.0,464.57143,452.70307,459.22531,0.0,0.0,0.0,0.0,93.23041
2010-08-19,57.0,950.0,462040.0,499.0,482.0,499.0,490.0,469.85714,458.87599,465.34449,0.0,0.0,0.0,0.0,93.36363
