Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-07-17,1.0,10.0,2750.0,275.0,275.0,275.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-18,14.0,1218.0,367236.0,302.0,275.0,302.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-07-19,14.0,1218.0,367236.0,302.0,280.0,302.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-07-20,14.0,1218.0,367236.0,302.0,280.0,302.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-07-21,14.0,1168.0,386996.0,332.0,302.0,332.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-07-22,59.0,2762.0,1007410.0,365.0,332.0,365.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-07-23,94.0,3481.0,1393201.0,401.0,365.0,401.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-07-24,146.0,9005.0,3969605.0,441.0,401.0,441.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-07-25,513.0,27206.0,11774216.0,475.0,418.0,435.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.87407
2013-07-26,513.0,27206.0,11774216.0,475.0,418.0,435.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.87407
2013-07-27,513.0,27206.0,11774216.0,475.0,418.0,435.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.87407
2013-07-28,175.0,10677.0,4687269.0,443.0,430.0,440.0,435.0,0.0,0.0,372.08333,0.0,0.0,0.0,0.0,98.88617
2013-07-29,159.0,7786.0,3568538.0,475.0,440.0,474.0,440.0,0.0,0.0,387.76282,0.0,0.0,0.0,0.0,98.96553
2013-07-30,58.0,2727.0,1267472.0,474.0,460.0,465.0,474.0,386.0,386.0,399.64546,0.0,0.0,0.0,0.0,97.04367
2013-07-31,94.0,6706.0,3054994.0,465.0,452.0,453.0,465.0,398.71429,394.93333,407.85385,0.0,0.0,0.0,0.0,94.47514
2013-08-01,57.0,2588.0,1127761.0,453.0,432.0,438.0,453.0,408.42857,400.67556,412.49172,0.0,0.0,0.0,0.0,91.30336
2013-08-02,57.0,2588.0,1127761.0,444.0,432.0,438.0,438.0,418.14286,405.65215,416.41607,0.0,0.0,0.0,0.0,91.30336
2013-08-03,57.0,2588.0,1127761.0,444.0,432.0,438.0,438.0,427.85714,409.9652,419.73668,0.0,0.0,0.0,0.0,91.30336
2013-08-04,103.0,4454.0,1963172.0,444.0,437.0,440.0,438.0,435.57143,413.96984,422.85411,0.0,0.0,0.0,0.0,91.34819
2013-08-05,76.0,3101.0,1342111.0,440.0,429.0,430.0,440.0,440.21429,416.10719,423.95348,0.0,0.0,0.0,0.0,88.94101
2013-08-06,92.0,2674.0,1158518.0,438.0,422.0,435.0,430.0,442.64286,418.62623,425.65294,0.0,0.0,0.0,0.0,89.09192
2013-08-07,90.0,1924.0,834894.0,436.0,429.0,435.0,435.0,442.21429,420.8094,427.09095,0.0,0.0,0.0,0.0,89.09192
2013-08-08,42.0,1791.0,768724.0,435.0,427.0,429.0,435.0,441.78571,421.90148,427.38465,0.0,0.0,0.0,0.0,87.51203
2013-08-09,42.0,1791.0,768724.0,430.0,427.0,429.0,429.0,441.35714,422.84795,427.63317,0.0,0.0,0.0,0.0,87.51203
2013-08-10,42.0,1791.0,768724.0,430.0,427.0,429.0,429.0,440.92857,423.66822,427.84345,0.0,0.0,0.0,0.0,87.51203
2013-08-11,19.0,380.0,163940.0,433.0,429.0,433.0,429.0,440.42857,424.91246,428.63676,408.88462,19.75215,3.95043,15.80172,87.68063
