Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-23,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-24,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-25,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-26,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-27,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-28,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-29,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-30,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-31,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-02,1.0,12.0,11532.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-03,1.0,300.0,282600.0,961.0,942.0,942.0,961.0,0.0,0.0,959.41667,0.0,0.0,0.0,0.0,0.0
2010-06-04,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,0.0,0.0,956.73718,0.0,0.0,0.0,0.0,0.0
2010-06-05,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,956.92857,956.92857,954.46992,0.0,0.0,0.0,0.0,0.0
2010-06-06,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,955.57143,954.9381,952.55147,0.0,0.0,0.0,0.0,0.0
2010-06-07,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,954.21429,953.21302,950.92817,0.0,0.0,0.0,0.0,0.0
2010-06-08,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,952.85714,951.71795,949.5546,0.0,0.0,0.0,0.0,0.0
2010-06-09,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,951.5,950.42222,948.39236,0.0,0.0,0.0,0.0,0.0
2010-06-10,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,950.14286,949.29926,947.40892,0.0,0.0,0.0,0.0,0.0
2010-06-11,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,948.78571,948.32602,946.57678,0.0,0.0,0.0,0.0,0.0
2010-06-12,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,947.42857,947.48255,945.87266,0.0,0.0,0.0,0.0,0.0
2010-06-13,1.0,300.0,282600.0,942.0,942.0,942.0,942.0,946.07143,946.75155,945.27686,0.0,0.0,0.0,0.0,0.0
2010-06-14,4.0,142.0,128204.0,942.0,871.0,871.0,942.0,939.64286,936.65134,933.84965,0.0,0.0,0.0,0.0,0.0
2010-06-15,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,933.21429,927.89783,924.18048,0.0,0.0,0.0,0.0,0.0
2010-06-16,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,926.78571,920.31145,915.99886,0.0,0.0,0.0,0.0,0.0
2010-06-17,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,921.71429,913.73659,909.07596,939.11538,-30.03942,-6.00788,-24.03154,0.0
2010-06-18,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,916.64286,908.03838,903.21812,934.0698,-30.85168,-10.97664,-19.87504,0.0
2010-06-19,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,911.57143,903.09993,898.26149,929.39796,-31.13648,-15.00861,-16.12787,0.0
2010-06-20,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,906.5,898.81994,894.06741,925.07219,-31.00478,-18.20784,-12.79693,0.0
2010-06-21,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,901.42857,895.11061,890.51858,921.06684,-30.54826,-20.67593,-9.87233,0.0
2010-06-22,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,896.35714,891.89586,887.51572,917.35819,-29.84246,-22.50923,-7.33323,0.0
2010-06-23,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,891.28571,889.10975,884.97484,913.92425,-28.94941,-23.79727,-5.15214,0.0
2010-06-24,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,886.21429,886.69512,882.82487,910.74467,-27.91981,-24.62178,-3.29803,0.0
2010-06-25,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,881.14286,884.60243,881.00566,907.80062,-26.79497,-25.05641,-1.73855,0.0
2010-06-26,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,876.07143,882.78878,879.46632,905.07465,-25.60833,-25.1668,-0.44153,0.0
2010-06-27,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,881.21694,878.16381,902.5506,-24.38679,-25.0108,0.62401,0.0
2010-06-28,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,879.85468,877.06169,900.21352,-23.15183,-24.639,1.48717,0.0
2010-06-29,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,878.67406,876.12912,898.04956,-21.92044,-24.09529,2.17485,0.0
2010-06-30,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,877.65085,875.34002,896.04589,-20.70586,-23.4174,2.71154,0.0
2010-07-01,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,876.76407,874.67233,894.19063,-19.51831,-22.63758,3.11928,0.0
2010-07-02,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,875.99553,874.10736,892.47281,-18.36545,-21.78316,3.4177,0.0
2010-07-03,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,875.32946,873.6293,890.88223,-17.25293,-20.87711,3.62418,0.0
2010-07-04,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,874.7522,873.22479,889.40947,-16.18468,-19.93863,3.75395,0.0
2010-07-05,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,874.2519,872.88252,888.04581,-15.16329,-18.98356,3.82027,0.0
2010-07-06,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,873.81832,872.5929,886.78316,-14.19026,-18.0249,3.83464,0.0
2010-07-07,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,873.44254,872.34784,885.61403,-13.2662,-17.07316,3.80696,0.0
2010-07-08,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,873.11687,872.14048,884.53151,-12.39103,-16.13673,3.7457,0.0
2010-07-09,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,872.83462,871.96502,883.52918,-11.56416,-15.22222,3.65806,0.0
2010-07-10,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,872.59,871.81656,882.60109,-10.78454,-14.33468,3.55015,0.0
2010-07-11,4.0,142.0,128204.0,924.0,871.0,871.0,871.0,871.0,872.378,871.69093,881.74175,-10.05082,-13.47791,3.42709,0.0
2010-07-12,6.0,87.0,73998.0,871.0,850.0,850.0,871.0,869.5,869.39427,868.35386,879.39051,-11.03665,-12.98966,1.95301,0.0
2010-07-13,6.0,87.0,73998.0,854.0,850.0,850.0,850.0,868.0,866.80837,865.53019,877.21344,-11.68324,-12.72837,1.04513,0.0
2010-07-14,6.0,87.0,73998.0,854.0,850.0,850.0,850.0,866.5,864.56725,863.14093,875.19763,-12.05669,-12.59404,0.53735,0.0
