Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-21,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,100.0,52500.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,66.0,35310.0,535.0,525.0,535.0,525.0,525.71429,526.33333,526.53846,0.0,0.0,0.0,0.0,100.0
2010-05-12,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,526.42857,527.48889,527.84024,0.0,0.0,0.0,0.0,100.0
2010-05-13,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,527.14286,528.49037,528.94174,0.0,0.0,0.0,0.0,100.0
2010-05-14,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,527.85714,529.35832,529.87378,0.0,0.0,0.0,0.0,100.0
2010-05-15,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,528.57143,530.11054,530.66243,0.0,0.0,0.0,0.0,100.0
2010-05-16,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,529.28571,530.76247,531.32975,527.30769,4.02205,0.80441,3.21764,100.0
2010-05-17,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,530.0,531.32748,531.8944,527.87749,4.01691,1.44691,2.57,100.0
2010-05-18,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,530.71429,531.81715,532.37219,528.40509,3.9671,1.95095,2.01615,100.0
2010-05-19,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,531.42857,532.24153,532.77646,528.8936,3.88287,2.33733,1.54553,100.0
2010-05-20,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,532.14286,532.60932,533.11855,529.34592,3.77262,2.62439,1.14823,100.0
2010-05-21,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,532.85714,532.92808,533.408,529.76474,3.64326,2.82816,0.81509,100.0
2010-05-22,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,533.57143,533.20434,533.65292,530.15254,3.50038,2.96261,0.53778,100.0
2010-05-23,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,534.28571,533.44376,533.86017,530.51161,3.34855,3.0398,0.30876,100.0
2010-05-24,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,533.65126,534.03553,530.84409,3.19144,3.07013,0.12131,100.0
2010-05-25,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,533.83109,534.18391,531.15193,3.03198,3.0625,-0.03052,100.0
2010-05-26,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,533.98694,534.30946,531.43697,2.87249,3.02449,-0.15201,100.0
2010-05-27,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.12202,534.4157,531.7009,2.7148,2.96255,-0.24776,100.0
2010-05-28,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.23908,534.50559,531.94528,2.56031,2.88211,-0.32179,100.0
2010-05-29,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.34054,534.58165,532.17155,2.4101,2.7877,-0.37761,100.0
2010-05-30,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.42847,534.64601,532.38107,2.26494,2.68315,-0.41821,100.0
2010-05-31,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.50467,534.70047,532.57506,2.12541,2.5716,-0.44619,100.0
2010-06-01,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.57071,534.74655,532.75469,1.99187,2.45566,-0.46379,100.0
2010-06-02,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.62795,534.78555,532.92101,1.86454,2.33743,-0.47289,100.0
2010-06-03,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.67756,534.81854,533.07501,1.74353,2.21865,-0.47512,100.0
2010-06-04,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.72055,534.84646,533.2176,1.62886,2.10069,-0.47184,100.0
2010-06-05,1.0,132.0,70620.0,535.0,535.0,535.0,535.0,535.0,534.75781,534.87008,533.34963,1.52045,1.98464,-0.4642,100.0
2010-06-06,2.0,1521.0,790395.0,535.0,515.0,515.0,535.0,533.57143,532.12344,531.81314,531.9904,-0.17725,1.55226,-1.72952,12.32841
2010-06-07,2.0,1521.0,790395.0,525.0,515.0,515.0,515.0,532.14286,529.84031,529.22651,530.73185,-1.50534,0.94074,-2.44609,12.32841
2010-06-08,2.0,1521.0,790395.0,525.0,515.0,515.0,515.0,530.71429,527.8616,527.03781,529.56653,-2.52871,0.24685,-2.77557,12.32841
2010-06-09,2.0,1521.0,790395.0,525.0,515.0,515.0,515.0,529.28571,526.14672,525.18584,528.48753,-3.30168,-0.46286,-2.83883,12.32841
2010-06-10,2.0,1521.0,790395.0,525.0,515.0,515.0,515.0,527.85714,524.66049,523.61879,527.48845,-3.86966,-1.14422,-2.72544,12.32841
2010-06-11,2.0,1521.0,790395.0,525.0,515.0,515.0,515.0,526.42857,523.37243,522.29282,526.56338,-4.27056,-1.76948,-2.50107,12.32841
2010-06-12,2.0,1521.0,790395.0,525.0,515.0,515.0,515.0,525.0,522.2561,521.17085,525.70683,-4.53598,-2.32278,-2.2132,12.32841
2010-06-13,2.0,88.0,44440.0,515.0,505.0,505.0,515.0,522.85714,519.95529,518.68303,524.17299,-5.48997,-2.95622,-2.53375,7.62513
2010-06-14,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,520.71429,517.96125,516.57794,522.75277,-6.17483,-3.59994,-2.57488,7.62513
2010-06-15,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,518.57143,516.23308,514.79672,521.43775,-6.64103,-4.20816,-2.43287,7.62513
2010-06-16,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,516.42857,514.73534,513.28953,520.22014,-6.93061,-4.75265,-2.17796,7.62513
2010-06-17,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,514.28571,513.43729,512.01422,519.09272,-7.0785,-5.21782,-1.86068,7.62513
2010-06-18,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,512.14286,512.31232,510.93511,518.04882,-7.11371,-5.597,-1.51671,7.62513
2010-06-19,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,510.0,511.33735,510.02202,517.08224,-7.06022,-5.88964,-1.17058,7.62513
2010-06-20,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,509.28571,510.49237,509.2494,516.18726,-6.93786,-6.09928,-0.83857,7.62513
2010-06-21,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,508.57143,509.76005,508.59565,515.35857,-6.76293,-6.23201,-0.53091,7.62513
2010-06-22,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,507.85714,509.12538,508.04247,514.59127,-6.5488,-6.29537,-0.25343,7.62513
2010-06-23,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,507.14286,508.57533,507.5744,513.88081,-6.30641,-6.29758,-0.00883,7.62513
2010-06-24,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,506.42857,508.09862,507.17834,513.22297,-6.04463,-6.24699,0.20236,7.62513
2010-06-25,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.71429,507.68547,506.84321,512.61386,-5.77065,-6.15172,0.38107,7.62513
2010-06-26,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,507.32741,506.55964,512.04987,-5.49023,-6.01942,0.52919,7.62513
2010-06-27,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,507.01708,506.31969,511.52766,-5.20796,-5.85713,0.64917,7.62513
2010-06-28,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,506.74814,506.11666,511.04413,-4.92746,-5.6712,0.74373,7.62513
2010-06-29,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,506.51505,505.94487,510.59641,-4.65155,-5.46727,0.81572,7.62513
2010-06-30,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,506.31305,505.7995,510.18186,-4.38236,-5.25029,0.86793,7.62513
2010-07-01,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,506.13797,505.6765,509.79802,-4.12152,-5.02453,0.90301,7.62513
2010-07-02,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,505.98624,505.57243,509.44261,-3.87019,-4.79366,0.92348,7.62513
2010-07-03,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,505.85475,505.48436,509.11353,-3.62917,-4.56077,0.93159,7.62513
2010-07-04,2.0,88.0,44440.0,505.0,505.0,505.0,505.0,505.0,505.74078,505.40984,508.80883,-3.39898,-4.32841,0.92943,7.62513
2010-07-05,2.0,848.0,412218.0,505.0,486.0,486.0,505.0,503.64286,503.10868,502.42371,507.11928,-4.69557,-4.40184,-0.29373,2.44366
2010-07-06,2.0,848.0,412218.0,495.0,486.0,486.0,486.0,502.28571,500.82752,499.89699,505.55489,-5.6579,-4.65305,-1.00485,2.44366
2010-07-07,2.0,848.0,412218.0,495.0,486.0,486.0,486.0,500.92857,498.85052,497.75899,504.10638,-6.34739,-4.99192,-1.35547,2.44366
2010-07-08,2.0,848.0,412218.0,495.0,486.0,486.0,486.0,499.57143,497.13711,495.94991,502.76517,-6.81525,-5.35659,-1.45867,2.44366
2010-07-09,2.0,848.0,412218.0,495.0,486.0,486.0,486.0,498.21429,495.65217,494.41916,501.5233,-7.10414,-5.7061,-1.39805,2.44366
2010-07-10,2.0,848.0,412218.0,495.0,486.0,486.0,486.0,496.85714,494.36521,493.1239,500.37343,-7.24953,-6.01478,-1.23474,2.44366
2010-07-11,1.0,147.0,71442.0,486.0,486.0,486.0,486.0,495.5,493.24985,492.02792,499.30873,-7.28081,-6.26799,-1.01282,2.44366
