Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-10-06,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-07,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-08,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-09,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-10,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-11,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-12,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-13,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-14,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-15,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-17,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-18,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-19,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-20,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-21,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-22,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-23,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-24,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-25,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-26,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-27,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-28,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-29,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-30,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0
2010-10-31,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0
2010-11-01,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0
2010-11-02,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0
2010-11-03,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0
2010-11-04,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0
2010-11-05,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0
2010-11-06,1.0,295.0,73750.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0
