Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,5.0,2987.0,776620.0,260.0,260.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,5.0,2987.0,776620.0,260.0,260.0,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,10.0,1920.0,486200.0,265.0,245.0,245.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,3.0,466.0,114885.0,249.0,245.0,249.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875
2010-04-23,3.0,466.0,114885.0,249.0,245.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875
2010-04-24,3.0,466.0,114885.0,249.0,245.0,249.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875
2010-04-25,2.0,331.0,80622.0,249.0,242.0,242.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15778
2010-04-26,3.0,300.0,75100.0,255.0,242.0,255.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.93355
2010-04-27,10.0,1719.0,421297.0,255.0,242.0,242.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.68628
2010-04-28,5.0,1520.0,365140.0,248.0,240.0,248.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66559
2010-04-29,12.0,700.0,180854.0,265.0,248.0,265.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.04298
2010-04-30,12.0,700.0,180854.0,265.0,250.0,265.0,265.0,0.0,0.0,252.41667,0.0,0.0,0.0,0.0,57.04298
2010-05-01,12.0,700.0,180854.0,265.0,250.0,265.0,265.0,0.0,0.0,254.35256,0.0,0.0,0.0,0.0,57.04298
