Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,3.0,126.0,25452.0,206.0,198.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,3.0,126.0,25452.0,206.0,198.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,3.0,126.0,25452.0,206.0,198.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,3.0,126.0,25452.0,206.0,198.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,3.0,126.0,25452.0,206.0,198.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,360.0,70560.0,198.0,196.0,196.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,2.0,270.0,52170.0,196.0,193.0,195.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,2.0,270.0,52170.0,195.0,193.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,2.0,270.0,52170.0,195.0,193.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,2.0,270.0,52170.0,195.0,193.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,2.0,270.0,52170.0,195.0,193.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,29.0,2274.0,410274.0,195.0,176.0,179.0,195.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,4.0,362.0,62746.0,179.0,170.0,170.0,179.0,0.0,0.0,191.15385,0.0,0.0,0.0,0.0,0.0
2010-04-28,4.0,240.0,39960.0,170.0,165.0,165.0,170.0,191.07143,191.07143,187.13018,0.0,0.0,0.0,0.0,0.0
2010-04-29,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,188.71429,187.59524,183.72553,0.0,0.0,0.0,0.0,0.0
2010-04-30,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,186.35714,184.58254,180.84468,0.0,0.0,0.0,0.0,0.0
2010-05-01,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,184.0,181.97153,178.40704,0.0,0.0,0.0,0.0,0.0
2010-05-02,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,181.64286,179.70866,176.34442,0.0,0.0,0.0,0.0,0.0
2010-05-03,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,179.28571,177.74751,174.59912,0.0,0.0,0.0,0.0,0.0
2010-05-04,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,177.07143,176.04784,173.12233,0.0,0.0,0.0,0.0,0.0
2010-05-05,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,174.92857,174.57479,171.87274,0.0,0.0,0.0,0.0,0.0
2010-05-06,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,172.78571,173.29816,170.8154,0.0,0.0,0.0,0.0,0.0
2010-05-07,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,170.64286,172.19173,169.92072,0.0,0.0,0.0,0.0,0.0
2010-05-08,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,168.5,171.23284,169.16369,0.0,0.0,0.0,0.0,0.0
2010-05-09,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,166.35714,170.40179,168.52312,0.0,0.0,0.0,0.0,0.0
2010-05-10,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,165.35714,169.68155,167.9811,179.03846,-11.05736,-2.21147,-8.84589,0.0
2010-05-11,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,165.0,169.05735,167.52247,177.99858,-10.4761,-3.8644,-6.61171,0.0
2010-05-12,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,165.0,168.51637,167.1344,177.03572,-9.90132,-5.07178,-4.82954,0.0
2010-05-13,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,165.0,168.04752,166.80603,176.14418,-9.33815,-5.92506,-3.4131,0.0
2010-05-14,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,165.0,167.64118,166.52818,175.31869,-8.79051,-6.49815,-2.29236,0.0
2010-05-15,4.0,240.0,39960.0,168.0,165.0,165.0,165.0,165.0,167.28902,166.29307,174.55434,-8.26127,-6.85077,-1.4105,0.0
