Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-12-21,3.0,30.0,9930.0,337.0,325.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-22,3.0,30.0,9930.0,337.0,325.0,337.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-23,6.0,60.0,21480.0,370.0,337.0,370.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-24,5.0,50.0,19480.0,398.0,370.0,398.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-25,5.0,50.0,19480.0,398.0,377.0,398.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-26,5.0,50.0,19480.0,398.0,377.0,398.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-27,5.0,50.0,21050.0,437.0,398.0,437.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-28,5.0,50.0,23110.0,480.0,437.0,480.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-29,6.0,60.0,30660.0,528.0,480.0,528.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-30,6.0,60.0,30660.0,528.0,489.0,528.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-31,5.0,50.0,27930.0,580.0,528.0,580.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2016-01-01,5.0,50.0,27930.0,580.0,538.0,580.0,580.0,0.0,0.0,447.58333,0.0,0.0,0.0,0.0,100.0
2016-01-02,5.0,50.0,27930.0,580.0,538.0,580.0,580.0,0.0,0.0,467.95513,0.0,0.0,0.0,0.0,100.0
2016-01-03,34.0,340.0,187360.0,580.0,514.0,554.0,580.0,464.64286,464.64286,481.1928,0.0,0.0,0.0,0.0,87.30572
