Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-01-01,12.0,35500.0,384771.0,11.0,10.2,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,12.0,35500.0,384771.0,11.0,10.2,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,12.0,35500.0,384771.0,11.0,10.2,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,13.0,41610.0,451020.7,11.0,10.8,10.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,12.0,42000.0,447200.0,10.8,10.6,10.6,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,11.0,32800.0,343700.0,10.6,10.45,10.5,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,5.0,12700.0,134035.0,10.56,10.5,10.56,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7783
2015-01-08,5.0,12700.0,134035.0,10.56,10.55,10.56,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7783
2015-01-09,5.0,12700.0,134035.0,10.56,10.55,10.56,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7783
2015-01-10,5.0,12700.0,134035.0,10.56,10.55,10.56,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7783
2015-01-11,3.0,16260.0,170489.4,10.56,10.36,10.36,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97329
2015-01-12,2.0,3000.0,31050.0,10.36,10.35,10.35,10.36,0.0,0.0,10.65417,0.0,0.0,0.0,0.0,7.84031
2015-01-13,2.0,7500.0,77925.0,10.45,10.35,10.45,10.35,0.0,0.0,10.62276,0.0,0.0,0.0,0.0,21.57375
2015-01-14,2.0,6000.0,62920.0,10.5,10.42,10.5,10.45,10.62857,10.62857,10.60387,0.0,0.0,0.0,0.0,27.2642
2015-01-15,2.0,6000.0,62920.0,10.5,10.42,10.5,10.5,10.59286,10.61143,10.58789,0.0,0.0,0.0,0.0,27.2642
2015-01-16,2.0,6000.0,62920.0,10.5,10.42,10.5,10.5,10.55714,10.59657,10.57437,0.0,0.0,0.0,0.0,27.2642
2015-01-17,2.0,6000.0,62920.0,10.5,10.42,10.5,10.5,10.52143,10.5837,10.56293,0.0,0.0,0.0,0.0,27.2642
2015-01-18,12.0,48000.0,503710.0,10.5,10.45,10.46,10.5,10.49714,10.5672,10.54709,0.0,0.0,0.0,0.0,25.46733
2015-01-19,23.0,112500.0,1184625.0,10.71,10.46,10.5,10.46,10.49,10.55824,10.53985,0.0,0.0,0.0,0.0,30.29124
2015-01-20,6.0,26000.0,268450.0,10.5,10.3,10.3,10.5,10.47571,10.52381,10.50295,0.0,0.0,0.0,0.0,22.60893
2015-01-21,6.0,26000.0,268450.0,10.4,10.3,10.3,10.3,10.45714,10.49397,10.47173,0.0,0.0,0.0,0.0,22.60893
2015-01-22,12.0,57610.0,588054.7,10.3,10.2,10.2,10.3,10.43143,10.45477,10.42992,0.0,0.0,0.0,0.0,19.83579
2015-01-23,12.0,57610.0,588054.7,10.27,10.2,10.2,10.2,10.40571,10.4208,10.39455,0.0,0.0,0.0,0.0,19.83579
2015-01-24,12.0,57610.0,588054.7,10.27,10.2,10.2,10.2,10.38,10.39136,10.36462,0.0,0.0,0.0,0.0,19.83579
2015-01-25,16.0,47109.0,490290.95,10.45,10.2,10.3,10.2,10.37571,10.37918,10.35468,0.0,0.0,0.0,0.0,29.80311
2015-01-26,4.0,8615.0,89648.25,10.51,10.29,10.29,10.3,10.37143,10.36729,10.34473,10.50192,-0.1572,-0.03144,-0.12576,29.41903
2015-01-27,6.0,21000.0,217525.0,10.4,10.29,10.35,10.29,10.36429,10.36498,10.34554,10.49067,-0.14513,-0.05418,-0.09095,34.71909
2015-01-28,7.0,24110.0,251509.1,10.6,10.3,10.6,10.35,10.37143,10.39632,10.38469,10.49877,-0.11408,-0.06616,-0.04792,50.8622
2015-01-29,3.0,5510.0,57004.0,10.6,10.28,10.28,10.6,10.35571,10.38081,10.36858,10.48256,-0.11398,-0.07572,-0.03826,38.1747
2015-01-30,3.0,5510.0,57004.0,10.4,10.28,10.28,10.28,10.34,10.36737,10.35495,10.46756,-0.11261,-0.0831,-0.02951,38.1747
2015-01-31,3.0,5510.0,57004.0,10.4,10.28,10.28,10.28,10.32429,10.35572,10.34342,10.45367,-0.11024,-0.08853,-0.02172,38.1747
2015-02-01,17.0,54030.0,571824.3,10.65,10.28,10.61,10.28,10.335,10.38962,10.38443,10.46525,-0.08081,-0.08699,0.00617,52.36115
2015-02-02,14.0,81230.0,876058.5,10.89,10.55,10.8,10.61,10.35643,10.44434,10.44837,10.49004,-0.04168,-0.07792,0.03625,58.16454
2015-02-03,14.0,81230.0,876058.5,10.89,10.55,10.8,10.8,10.39214,10.49176,10.50246,10.513,-0.01054,-0.06445,0.05391,58.16454
2015-02-04,5.0,21000.0,227260.0,10.89,10.8,10.8,10.8,10.42786,10.53286,10.54824,10.53426,0.01398,-0.04876,0.06274,58.16454
2015-02-05,2.0,7110.0,76941.3,10.83,10.8,10.8,10.8,10.47071,10.56848,10.58697,10.55395,0.03303,-0.0324,0.06543,58.16454
2015-02-06,2.0,7110.0,76941.3,10.83,10.8,10.8,10.8,10.51357,10.59935,10.61975,10.57217,0.04757,-0.01641,0.06398,58.16454
2015-02-07,2.0,7110.0,76941.3,10.83,10.8,10.8,10.8,10.55643,10.6261,10.64748,10.58905,0.05843,-0.00144,0.05987,58.16454
2015-02-08,2.0,5610.0,60561.9,10.8,10.79,10.8,10.8,10.59214,10.64929,10.67094,10.60467,0.06627,0.0121,0.05417,58.16454
2015-02-09,2.0,4349.0,46986.65,10.85,10.75,10.75,10.8,10.625,10.66272,10.6831,10.61544,0.06767,0.02321,0.04445,55.65405
2015-02-10,3.0,15000.0,158250.0,10.75,10.55,10.55,10.75,10.63929,10.64769,10.66263,10.61059,0.05204,0.02898,0.02306,47.11335
