Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,9.0,470.0,135180.0,304.0,283.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,9.0,470.0,135180.0,304.0,283.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,9.0,470.0,135180.0,304.0,283.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,9.0,470.0,135180.0,304.0,283.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,9.0,470.0,135180.0,304.0,283.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,23.0,1353.0,385605.0,285.0,285.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,23.0,1353.0,385605.0,285.0,285.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,23.0,1353.0,385605.0,285.0,285.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,23.0,1353.0,385605.0,285.0,285.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,23.0,1353.0,385605.0,285.0,285.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,7.0,574.0,160720.0,285.0,280.0,280.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,64.0,2623.0,721325.0,280.0,275.0,275.0,280.0,0.0,0.0,283.75,0.0,0.0,0.0,0.0,0.0
2010-04-27,64.0,2623.0,721325.0,275.0,275.0,275.0,275.0,0.0,0.0,282.40385,0.0,0.0,0.0,0.0,0.0
2010-04-28,64.0,2623.0,721325.0,275.0,275.0,275.0,275.0,282.5,282.5,281.26479,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,485.0,132890.0,275.0,274.0,274.0,275.0,281.71429,281.36667,280.14713,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,280.92857,280.38444,279.20142,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,280.14286,279.53319,278.4012,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,279.35714,278.79543,277.72409,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,278.57143,278.15604,277.15116,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,277.78571,277.6019,276.66636,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,277.0,277.12165,276.25615,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,276.21429,276.70543,275.90905,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,275.42857,276.3447,275.61535,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,274.64286,276.03208,275.36684,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,274.21429,275.76113,275.15655,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,485.0,132890.0,274.0,274.0,274.0,274.0,274.14286,275.52631,274.97862,278.57692,-3.5983,-0.71966,-2.87864,0.0
2010-05-11,36.0,1476.0,411804.0,279.0,274.0,279.0,274.0,274.42857,275.98947,275.5973,278.60826,-3.01097,-1.17792,-1.83304,48.76869
2010-05-12,36.0,1476.0,411804.0,279.0,279.0,279.0,279.0,274.71429,276.39088,276.12079,278.63728,-2.51649,-1.44564,-1.07086,48.76869
2010-05-13,36.0,1476.0,411804.0,279.0,279.0,279.0,279.0,275.07143,276.73876,276.56374,278.66415,-2.1004,-1.57659,-0.52381,48.76869
2010-05-14,36.0,1476.0,411804.0,279.0,279.0,279.0,279.0,275.42857,277.04026,276.93855,278.68903,-1.75047,-1.61137,-0.13911,48.76869
2010-05-15,36.0,1476.0,411804.0,279.0,279.0,279.0,279.0,275.78571,277.30156,277.2557,278.71206,-1.45636,-1.58036,0.124,48.76869
2010-05-16,36.0,1476.0,411804.0,279.0,279.0,279.0,279.0,276.14286,277.52802,277.52405,278.73339,-1.20934,-1.50616,0.29682,48.76869
2010-05-17,36.0,1476.0,411804.0,279.0,279.0,279.0,279.0,276.5,277.72428,277.75112,278.75314,-1.00202,-1.40533,0.40331,48.76869
2010-05-18,36.0,1476.0,411804.0,279.0,279.0,279.0,279.0,276.85714,277.89438,277.94326,278.77142,-0.82817,-1.2899,0.46173,48.76869
2010-05-19,4.0,484.0,130896.0,279.0,264.0,264.0,279.0,276.14286,276.04179,275.79814,277.67725,-1.8791,-1.40774,-0.47137,15.42528
2010-05-20,4.0,484.0,130896.0,274.0,264.0,264.0,264.0,275.42857,274.43622,273.98304,276.66412,-2.68107,-1.66241,-1.01867,15.42528
2010-05-21,4.0,484.0,130896.0,274.0,264.0,264.0,264.0,274.71429,273.04472,272.44719,275.72603,-3.27884,-1.98569,-1.29315,15.42528
2010-05-22,4.0,484.0,130896.0,274.0,264.0,264.0,264.0,274.0,271.83876,271.14762,274.85744,-3.70982,-2.33052,-1.3793,15.42528
2010-05-23,1.0,62.0,16430.0,265.0,264.0,265.0,264.0,273.35714,270.92693,270.20183,274.12726,-3.92542,-2.6495,-1.27592,19.86502
2010-05-24,3.0,143.0,39890.0,280.0,265.0,280.0,265.0,273.78571,272.13667,271.70924,274.56228,-2.85303,-2.69021,-0.16283,56.13352
2010-05-25,3.0,143.0,39890.0,280.0,270.0,280.0,280.0,273.85714,273.18511,272.98474,274.96507,-1.98033,-2.54823,0.5679,56.13352
2010-05-26,3.0,143.0,39890.0,280.0,270.0,280.0,280.0,273.92857,274.09377,274.06401,275.33803,-1.27401,-2.29339,1.01937,56.13352
2010-05-27,3.0,143.0,39890.0,280.0,270.0,280.0,280.0,274.0,274.88126,274.97724,275.68336,-0.70612,-1.97593,1.26982,56.13352
2010-05-28,3.0,143.0,39890.0,280.0,270.0,280.0,280.0,274.07143,275.56376,275.74998,276.00311,-0.25314,-1.63137,1.37824,56.13352
