Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-03-17,2.0,20.0,7040.0,352.0,352.0,352.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-18,2.0,20.0,7250.0,366.0,352.0,366.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-19,2.0,20.0,7250.0,366.0,359.0,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-20,1.0,10.0,3660.0,366.0,366.0,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-21,1.0,10.0,3660.0,366.0,366.0,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-22,1.0,10.0,3660.0,366.0,366.0,366.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-23,6.0,60.0,23370.0,402.0,366.0,402.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-24,3.0,52.0,21736.0,426.0,402.0,426.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-25,5.0,84.0,37558.0,468.0,426.0,468.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-26,1.0,10.0,4770.0,477.0,468.0,477.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-27,2.0,20.0,9810.0,495.0,477.0,495.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-03-28,2.0,20.0,9810.0,495.0,486.0,495.0,495.0,0.0,0.0,412.08333,0.0,0.0,0.0,0.0,100.0
2014-03-29,2.0,20.0,9810.0,495.0,486.0,495.0,495.0,0.0,0.0,424.83974,0.0,0.0,0.0,0.0,100.0
2014-03-30,2.0,20.0,9810.0,495.0,486.0,495.0,495.0,423.92857,423.92857,435.63363,0.0,0.0,0.0,0.0,100.0
2014-03-31,2.0,20.0,9810.0,495.0,486.0,495.0,495.0,434.14286,433.40476,444.76692,0.0,0.0,0.0,0.0,100.0
2014-04-01,2.0,20.0,9810.0,495.0,486.0,495.0,495.0,443.35714,441.61746,452.49508,0.0,0.0,0.0,0.0,100.0
2014-04-02,4.0,40.0,20760.0,534.0,495.0,534.0,495.0,455.35714,453.93513,465.0343,0.0,0.0,0.0,0.0,100.0
2014-04-03,4.0,40.0,20760.0,534.0,504.0,534.0,534.0,467.35714,464.61045,475.64441,0.0,0.0,0.0,0.0,100.0
2014-04-04,4.0,40.0,20760.0,534.0,504.0,534.0,534.0,479.35714,473.86239,484.62219,0.0,0.0,0.0,0.0,100.0
