Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-21,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-15,1.0,48.0,11664.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,0.0,0.0,0.0,0.0
2010-05-16,5.0,144.0,34560.0,243.0,240.0,240.0,243.0,242.78571,242.6,242.53846,242.88462,-0.34615,-0.06923,-0.27692,0.0
2010-05-17,5.0,144.0,34560.0,240.0,240.0,240.0,240.0,242.57143,242.25333,242.14793,242.67094,-0.52301,-0.15999,-0.36302,0.0
2010-05-18,5.0,144.0,34560.0,240.0,240.0,240.0,240.0,242.35714,241.95289,241.81748,242.47309,-0.65561,-0.25911,-0.3965,0.0
2010-05-19,5.0,144.0,34560.0,240.0,240.0,240.0,240.0,242.14286,241.6925,241.53787,242.2899,-0.75203,-0.3577,-0.39434,0.0
2010-05-20,5.0,144.0,34560.0,240.0,240.0,240.0,240.0,241.92857,241.46684,241.30127,242.12028,-0.81901,-0.44996,-0.36905,0.0
