Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-25,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,2.0,48.0,9504.0,200.0,196.0,196.0,196.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,100.0,19300.0,196.0,193.0,193.0,196.0,195.78571,195.6,195.53846,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,195.57143,195.25333,195.14793,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,195.35714,194.95289,194.81748,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,195.14286,194.6925,194.53787,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,194.92857,194.46684,194.30127,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,194.71429,194.27126,194.10108,0.0,0.0,0.0,0.0,0.0
2010-05-15,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,194.5,194.10176,193.93168,0.0,0.0,0.0,0.0,0.0
2010-05-16,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,194.28571,193.95486,193.78834,0.0,0.0,0.0,0.0,0.0
2010-05-17,1.0,100.0,19300.0,193.0,193.0,193.0,193.0,194.07143,193.82754,193.66706,0.0,0.0,0.0,0.0,0.0
2010-05-18,2.0,100.0,18850.0,193.0,187.0,187.0,193.0,193.42857,192.9172,192.64136,0.0,0.0,0.0,0.0,0.0
2010-05-19,2.0,100.0,18850.0,190.0,187.0,187.0,187.0,192.78571,192.12824,191.77346,0.0,0.0,0.0,0.0,0.0
2010-05-20,2.0,100.0,18850.0,190.0,187.0,187.0,187.0,192.14286,191.44448,191.03908,193.92308,-2.884,-0.5768,-2.3072,0.0
2010-05-21,2.0,100.0,18850.0,190.0,187.0,187.0,187.0,191.5,190.85188,190.41768,193.41026,-2.99257,-1.05995,-1.93262,0.0
2010-05-22,2.0,100.0,18850.0,190.0,187.0,187.0,187.0,190.85714,190.3383,189.89189,192.93542,-3.04354,-1.45667,-1.58687,0.0
2010-05-23,2.0,100.0,18850.0,190.0,187.0,187.0,187.0,190.42857,189.89319,189.44698,192.49576,-3.04878,-1.77509,-1.27369,0.0
2010-05-24,2.0,100.0,18850.0,190.0,187.0,187.0,187.0,190.0,189.50743,189.07052,192.08867,-3.01815,-2.0237,-0.99444,0.0
2010-05-25,2.0,100.0,18850.0,190.0,187.0,187.0,187.0,189.57143,189.17311,188.75198,191.71173,-2.95975,-2.21091,-0.74884,0.0
2010-05-26,8.0,2423.0,439253.0,187.0,180.0,180.0,187.0,188.64286,187.95003,187.40552,190.84419,-3.43867,-2.45647,-0.98221,0.0
2010-05-27,8.0,2423.0,439253.0,184.0,180.0,180.0,180.0,187.71429,186.89002,186.26621,190.04092,-3.77471,-2.72011,-1.0546,0.0
2010-05-28,8.0,2423.0,439253.0,184.0,180.0,180.0,180.0,186.78571,185.97135,185.30218,189.29715,-3.99497,-2.97509,-1.01989,0.0
2010-05-29,8.0,2423.0,439253.0,184.0,180.0,180.0,180.0,185.85714,185.17517,184.48646,188.60847,-4.12201,-3.20447,-0.91754,0.0
2010-05-30,1.0,100.0,18300.0,183.0,180.0,183.0,180.0,185.14286,184.88515,184.25777,188.19303,-3.93526,-3.35063,-0.58463,22.76734
2010-05-31,3.0,250.0,46650.0,189.0,183.0,186.0,183.0,184.64286,185.0338,184.52581,188.03058,-3.50477,-3.38146,-0.12332,37.6682
2010-06-01,3.0,250.0,46650.0,189.0,186.0,186.0,186.0,184.57143,185.16262,184.75261,187.88017,-3.12756,-3.33068,0.20312,37.6682
2010-06-02,3.0,250.0,46650.0,189.0,186.0,186.0,186.0,184.5,185.27427,184.94451,187.7409,-2.79638,-3.22382,0.42744,37.6682
2010-06-03,4.0,346.0,61878.0,186.0,177.0,177.0,186.0,183.78571,184.17104,183.72228,186.94527,-3.22299,-3.22365,0.00066,22.55529
2010-06-04,4.0,346.0,61878.0,183.0,177.0,177.0,177.0,183.07143,183.2149,182.68808,186.20859,-3.5205,-3.28302,-0.23748,22.55529
2010-06-05,4.0,346.0,61878.0,183.0,177.0,177.0,177.0,182.35714,182.38625,181.81299,185.52647,-3.71348,-3.36911,-0.34436,22.55529
2010-06-06,1.0,100.0,17400.0,177.0,174.0,174.0,177.0,181.42857,181.26808,180.61099,184.67266,-4.06166,-3.50762,-0.55404,19.53148
