Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,13.0,3300.0,1464600.0,455.0,422.0,455.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,13.0,3300.0,1464600.0,455.0,422.0,455.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,13.0,3300.0,1464600.0,455.0,422.0,455.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,13.0,3300.0,1464600.0,455.0,422.0,455.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,3.0,400.0,177500.0,455.0,441.0,441.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,7.0,3870.0,1708480.0,445.0,440.0,444.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.36735
2010-04-21,10.0,2000.0,882540.0,444.0,438.0,443.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25791
2010-04-22,5.0,1250.0,542850.0,443.0,433.0,440.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.49917
2010-04-23,5.0,1250.0,542850.0,440.0,433.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.49917
2010-04-24,5.0,1250.0,542850.0,440.0,433.0,440.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.49917
2010-04-25,10.0,2310.0,1035190.0,455.0,440.0,455.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.58979
2010-04-26,3.0,1200.0,534700.0,455.0,441.0,445.0,455.0,0.0,0.0,447.33333,0.0,0.0,0.0,0.0,41.59632
2010-04-27,11.0,3030.0,1335440.0,448.0,433.0,445.0,445.0,0.0,0.0,446.97436,0.0,0.0,0.0,0.0,41.59632
2010-04-28,7.0,1200.0,527800.0,445.0,438.0,440.0,445.0,446.64286,446.64286,445.90138,0.0,0.0,0.0,0.0,36.52758
2010-04-29,4.0,2400.0,1070600.0,448.0,440.0,445.0,440.0,445.92857,446.42381,445.76271,0.0,0.0,0.0,0.0,43.72754
