Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-10,1.0,101.0,23230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,100.0,23000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,100.0,23400.0,234.0,230.0,234.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-13,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-14,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-15,1.0,100.0,23400.0,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-16,2.0,20.0,4800.0,242.0,234.0,242.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-17,2.0,20.0,4800.0,242.0,238.0,242.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-18,6.0,152.0,40054.0,267.0,242.0,267.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-19,6.0,152.0,40054.0,267.0,249.0,267.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-20,1.0,10.0,2720.0,272.0,267.0,272.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-21,1.0,10.0,2720.0,272.0,272.0,272.0,272.0,0.0,0.0,246.5,0.0,0.0,0.0,0.0,100.0
2010-05-22,1.0,10.0,2720.0,272.0,272.0,272.0,272.0,0.0,0.0,250.42308,0.0,0.0,0.0,0.0,100.0
2010-05-23,3.0,74.0,20602.0,282.0,272.0,282.0,272.0,250.85714,250.85714,255.28107,0.0,0.0,0.0,0.0,100.0
2010-05-24,3.0,112.0,33114.0,297.0,282.0,297.0,282.0,255.64286,257.00952,261.69936,0.0,0.0,0.0,0.0,100.0
2010-05-25,1.0,101.0,30502.0,302.0,297.0,302.0,297.0,260.78571,263.00825,267.89946,0.0,0.0,0.0,0.0,100.0
2010-05-26,2.0,58.0,17864.0,308.0,302.0,308.0,302.0,266.07143,269.00715,274.06877,0.0,0.0,0.0,0.0,100.0
