Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-08-26,3.0,30.0,9570.0,325.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-27,3.0,30.0,9570.0,325.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-28,3.0,30.0,9570.0,325.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-29,3.0,30.0,9570.0,325.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-30,3.0,30.0,9570.0,325.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-31,1.0,20.0,5000.0,313.0,250.0,250.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,1.0,20.0,5000.0,250.0,250.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-02,1.0,10.0,3260.0,326.0,250.0,326.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08155
2010-09-03,1.0,10.0,3260.0,326.0,326.0,326.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08155
2010-09-04,1.0,10.0,3260.0,326.0,326.0,326.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08155
2010-09-05,1.0,10.0,3260.0,326.0,326.0,326.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08155
2010-09-06,1.0,10.0,3260.0,326.0,326.0,326.0,326.0,0.0,0.0,307.91667,0.0,0.0,0.0,0.0,57.08155
2010-09-07,1.0,10.0,3260.0,326.0,326.0,326.0,326.0,0.0,0.0,310.69872,0.0,0.0,0.0,0.0,57.08155
2010-09-08,5.0,50.0,15400.0,326.0,296.0,296.0,326.0,308.35714,308.35714,308.43738,0.0,0.0,0.0,0.0,43.84302
2010-09-09,7.0,100.0,29600.0,296.0,296.0,296.0,296.0,307.14286,306.70952,306.52393,0.0,0.0,0.0,0.0,43.84302
2010-09-10,7.0,100.0,29600.0,296.0,296.0,296.0,296.0,305.92857,305.28159,304.90487,0.0,0.0,0.0,0.0,43.84302
2010-09-11,7.0,100.0,29600.0,296.0,296.0,296.0,296.0,304.71429,304.04404,303.53489,0.0,0.0,0.0,0.0,43.84302
2010-09-12,2.0,20.0,5820.0,296.0,291.0,291.0,296.0,303.14286,302.30484,301.60644,0.0,0.0,0.0,0.0,41.87554
2010-09-13,17.0,170.0,47820.0,291.0,281.0,281.0,291.0,300.85714,299.46419,298.43622,0.0,0.0,0.0,0.0,38.26911
2010-09-14,17.0,170.0,47820.0,286.0,281.0,281.0,281.0,303.07143,297.0023,295.75373,0.0,0.0,0.0,0.0,38.26911
2010-09-15,5.0,120.0,32220.0,281.0,261.0,261.0,281.0,303.85714,292.20199,290.407,0.0,0.0,0.0,0.0,32.16161
2010-09-16,6.0,140.0,34370.0,261.0,235.0,235.0,261.0,297.35714,284.57506,281.88285,0.0,0.0,0.0,0.0,26.40862
2010-09-17,6.0,140.0,34370.0,256.0,235.0,235.0,235.0,290.85714,277.96505,274.6701,0.0,0.0,0.0,0.0,26.40862
2010-09-18,6.0,140.0,34370.0,256.0,235.0,235.0,235.0,284.35714,272.23638,268.56701,0.0,0.0,0.0,0.0,26.40862
2010-09-19,214.0,3200.0,693510.0,235.0,212.0,212.0,235.0,276.21429,264.20486,259.86439,0.0,0.0,0.0,0.0,22.32004
2010-09-20,220.0,4780.0,917650.0,212.0,191.0,191.0,212.0,266.57143,254.44421,249.26987,285.65385,-36.38398,-7.2768,-29.10718,19.43534
2010-09-21,201.0,4720.0,839460.0,191.0,172.0,175.0,191.0,255.78571,243.85165,237.84374,277.45726,-39.61353,-13.74414,-25.86939,17.61414
2010-09-22,201.0,4720.0,839460.0,191.0,172.0,175.0,175.0,247.14286,234.67143,228.17547,269.86784,-41.69237,-19.33379,-22.35858,17.61414
2010-09-23,161.0,2630.0,472380.0,185.0,175.0,184.0,175.0,239.14286,227.91524,221.37924,263.50726,-42.12801,-23.89263,-18.23538,22.13881
2010-09-24,161.0,2630.0,472380.0,185.0,175.0,184.0,184.0,231.14286,222.05988,215.62859,257.61783,-41.98924,-27.51195,-14.47729,22.13881
2010-09-25,161.0,2630.0,472380.0,185.0,175.0,184.0,184.0,223.14286,216.98523,210.76265,252.16466,-41.40201,-30.28996,-11.11204,22.13881
2010-09-26,263.0,4650.0,861770.0,192.0,177.0,190.0,184.0,215.92857,213.3872,207.5684,247.55987,-39.99147,-32.23027,-7.7612,25.30476
2010-09-27,131.0,3450.0,638830.0,193.0,178.0,185.0,190.0,209.07143,209.60224,204.09634,242.9258,-38.82947,-33.55011,-5.27936,24.43538
