Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-20,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0,0.0
2010-05-15,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0
2010-05-16,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0
2010-05-17,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0
2010-05-18,2.0,40.0,6670.0,169.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,0.0,0.0,0.0
