Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,11.0,470.0,199210.0,429.0,418.0,418.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,11.0,470.0,199210.0,429.0,418.0,418.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,11.0,470.0,199210.0,429.0,418.0,418.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,11.0,470.0,199210.0,429.0,418.0,418.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,17.0,996.0,400029.0,418.0,396.0,400.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,34.0,1756.0,691296.0,400.0,389.0,393.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,19.0,907.0,353276.0,393.0,375.0,375.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,52.0,2536.0,929292.0,377.0,360.0,365.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,52.0,2536.0,929292.0,377.0,360.0,365.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,52.0,2536.0,929292.0,377.0,360.0,365.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,13.0,625.0,220012.0,365.0,350.0,357.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,27.0,2015.0,716930.0,363.0,345.0,350.0,357.0,0.0,0.0,386.83333,0.0,0.0,0.0,0.0,0.0
2010-04-27,31.0,2024.0,694157.0,355.0,336.0,340.0,350.0,0.0,0.0,379.62821,0.0,0.0,0.0,0.0,0.0
2010-04-28,12.0,528.0,180026.0,345.0,340.0,345.0,340.0,380.5,380.5,374.30079,0.0,0.0,0.0,0.0,7.76651
2010-04-29,23.0,1108.0,407746.0,379.0,339.0,379.0,345.0,377.71429,380.3,375.02374,0.0,0.0,0.0,0.0,40.66788
2010-04-30,23.0,1108.0,407746.0,379.0,339.0,379.0,379.0,374.92857,380.12667,375.63548,0.0,0.0,0.0,0.0,40.66788
2010-05-01,23.0,1108.0,407746.0,379.0,339.0,379.0,379.0,372.14286,379.97644,376.1531,0.0,0.0,0.0,0.0,40.66788
2010-05-02,23.0,1108.0,407746.0,379.0,339.0,379.0,379.0,369.35714,379.84625,376.59108,0.0,0.0,0.0,0.0,40.66788
2010-05-03,23.0,1108.0,407746.0,379.0,339.0,379.0,379.0,367.85714,379.73342,376.96168,0.0,0.0,0.0,0.0,40.66788
2010-05-04,23.0,1108.0,407746.0,379.0,339.0,379.0,379.0,366.85714,379.63563,377.27527,0.0,0.0,0.0,0.0,40.66788
2010-05-05,23.0,1108.0,407746.0,379.0,339.0,379.0,379.0,367.14286,379.55088,377.54061,0.0,0.0,0.0,0.0,40.66788
2010-05-06,23.0,1108.0,407746.0,379.0,339.0,379.0,379.0,368.14286,379.47743,377.76513,0.0,0.0,0.0,0.0,40.66788
