Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,1.0,50.0,12950.0,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,1.0,50.0,12950.0,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,1.0,50.0,12950.0,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.0,50.0,12950.0,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,140.0,35560.0,259.0,254.0,254.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,40.0,9960.0,254.0,249.0,249.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,3.0,330.0,79210.0,249.0,237.0,237.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,20.0,4660.0,237.0,233.0,233.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,20.0,4660.0,233.0,233.0,233.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,20.0,4660.0,233.0,233.0,233.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,20.0,4660.0,233.0,233.0,233.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,100.0,22900.0,233.0,229.0,229.0,233.0,0.0,0.0,244.75,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,100.0,22900.0,229.0,229.0,229.0,229.0,0.0,0.0,242.32692,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,100.0,22900.0,229.0,229.0,229.0,229.0,242.5,242.5,240.27663,0.0,0.0,0.0,0.0,0.0
2010-04-29,4.0,800.0,175020.0,229.0,215.0,215.0,229.0,239.35714,238.83333,236.38792,0.0,0.0,0.0,0.0,0.0
2010-04-30,4.0,800.0,175020.0,225.0,215.0,215.0,215.0,236.21429,235.65556,233.09747,0.0,0.0,0.0,0.0,0.0
