Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-26,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,10.0,463.0,77787.0,176.0,158.0,158.0,158.0,158.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,34.0,5270.0,158.0,155.0,155.0,158.0,157.78571,157.6,157.53846,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,80.0,12640.0,158.0,155.0,158.0,155.0,157.78571,157.65333,157.60947,0.0,0.0,0.0,0.0,51.21951
2010-05-13,1.0,80.0,12640.0,158.0,158.0,158.0,158.0,157.78571,157.69956,157.66955,0.0,0.0,0.0,0.0,51.21951
2010-05-14,1.0,80.0,12640.0,158.0,158.0,158.0,158.0,157.78571,157.73961,157.72039,0.0,0.0,0.0,0.0,51.21951
2010-05-15,1.0,80.0,12640.0,158.0,158.0,158.0,158.0,157.78571,157.77433,157.76341,0.0,0.0,0.0,0.0,51.21951
2010-05-16,1.0,80.0,12640.0,158.0,158.0,158.0,158.0,157.78571,157.80442,157.7998,0.0,0.0,0.0,0.0,51.21951
2010-05-17,1.0,80.0,12640.0,158.0,158.0,158.0,158.0,157.78571,157.8305,157.8306,0.0,0.0,0.0,0.0,51.21951
2010-05-18,1.0,34.0,5270.0,158.0,155.0,155.0,158.0,157.57143,157.4531,157.39513,0.0,0.0,0.0,0.0,30.37227
