Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-07-13,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-14,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-15,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-16,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-17,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-18,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-19,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-20,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-21,2.0,20.0,7400.0,370.0,370.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-22,10.0,140.0,47610.0,370.0,333.0,333.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-23,10.0,140.0,47610.0,363.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-24,10.0,140.0,47610.0,363.0,333.0,333.0,333.0,0.0,0.0,360.75,0.0,0.0,0.0,0.0,0.0
2010-07-25,9.0,130.0,41250.0,333.0,309.0,309.0,333.0,0.0,0.0,352.78846,0.0,0.0,0.0,0.0,0.0
2010-07-26,1.0,10.0,3030.0,309.0,303.0,303.0,309.0,352.92857,352.92857,345.1287,0.0,0.0,0.0,0.0,0.0
2010-07-27,6.0,60.0,17080.0,303.0,273.0,273.0,303.0,346.0,342.27143,334.03198,0.0,0.0,0.0,0.0,0.0
2010-07-28,10.0,180.0,45000.0,273.0,246.0,246.0,273.0,337.14286,329.43524,320.48859,0.0,0.0,0.0,0.0,0.0
2010-07-29,338.0,8960.0,2055140.0,246.0,222.0,230.0,246.0,327.14286,316.17721,306.56727,0.0,0.0,0.0,0.0,0.0
2010-07-30,338.0,8960.0,2055140.0,242.0,222.0,230.0,230.0,317.14286,304.68691,294.78769,0.0,0.0,0.0,0.0,0.0
2010-07-31,338.0,8960.0,2055140.0,242.0,222.0,230.0,230.0,307.14286,294.72866,284.82035,0.0,0.0,0.0,0.0,0.0
2010-08-01,370.0,11860.0,2728880.0,234.0,221.0,232.0,230.0,297.28571,286.36484,276.69415,0.0,0.0,0.0,0.0,1.89056
2010-08-02,301.0,6600.0,1550520.0,242.0,228.0,242.0,232.0,288.14286,280.44952,271.35659,0.0,0.0,0.0,0.0,10.74912
