Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-22,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-15,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-16,1.0,100.0,17100.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0
2010-05-17,2.0,151.0,25670.0,171.0,170.0,170.0,171.0,170.92857,170.86667,170.84615,170.96154,-0.11538,-0.02308,-0.09231,0.0
2010-05-18,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.85714,170.75111,170.71598,170.89031,-0.17434,-0.05333,-0.12101,0.0
2010-05-19,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.78571,170.65096,170.60583,170.82436,-0.21854,-0.08637,-0.13217,0.0
2010-05-20,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.71429,170.56417,170.51262,170.7633,-0.25068,-0.11923,-0.13145,0.0
2010-05-21,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.64286,170.48895,170.43376,170.70676,-0.273,-0.14999,-0.12302,0.0
2010-05-22,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.57143,170.42375,170.36703,170.65441,-0.28738,-0.17747,-0.10992,0.0
2010-05-23,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.5,170.36725,170.31056,170.60593,-0.29537,-0.20105,-0.09433,0.0
2010-05-24,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.42857,170.31829,170.26278,170.56105,-0.29827,-0.22049,-0.07778,0.0
2010-05-25,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.35714,170.27585,170.22235,170.51949,-0.29714,-0.23582,-0.06132,0.0
2010-05-26,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.28571,170.23907,170.18815,170.48101,-0.29286,-0.24723,-0.04563,0.0
2010-05-27,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.21429,170.20719,170.1592,170.44538,-0.28618,-0.25502,-0.03116,0.0
2010-05-28,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.14286,170.17957,170.13471,170.41239,-0.27768,-0.25955,-0.01813,0.0
2010-05-29,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.07143,170.15562,170.11398,170.38184,-0.26786,-0.26121,-0.00664,0.0
2010-05-30,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.0,170.13487,170.09645,170.35356,-0.25711,-0.26039,0.00328,0.0
2010-05-31,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.0,170.11689,170.08161,170.32737,-0.24576,-0.25746,0.01171,0.0
2010-06-01,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.0,170.10131,170.06905,170.30312,-0.23406,-0.25278,0.01872,0.0
2010-06-02,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.0,170.0878,170.05843,170.28066,-0.22223,-0.24667,0.02444,0.0
2010-06-03,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.0,170.07609,170.04944,170.25987,-0.21043,-0.23943,0.02899,0.0
2010-06-04,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.0,170.06595,170.04183,170.24062,-0.19879,-0.2313,0.03251,0.0
2010-06-05,2.0,61.0,10370.0,170.0,170.0,170.0,170.0,170.0,170.05715,170.0354,170.2228,-0.1874,-0.22252,0.03512,0.0
2010-06-06,1.0,31.0,5177.0,170.0,167.0,167.0,170.0,169.78571,169.64953,169.56841,169.98407,-0.41566,-0.26115,-0.15451,0.0
2010-06-07,1.0,31.0,5177.0,167.0,167.0,167.0,167.0,169.57143,169.29626,169.17327,169.76303,-0.58976,-0.32687,-0.26289,0.0
2010-06-08,1.0,31.0,5177.0,167.0,167.0,167.0,167.0,169.35714,168.99009,168.83892,169.55836,-0.71944,-0.40538,-0.31406,0.0
2010-06-09,1.0,500.0,85000.0,170.0,167.0,170.0,167.0,169.35714,169.12475,169.01755,169.59108,-0.57353,-0.43901,-0.13451,50.70065
2010-06-10,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.24145,169.1687,169.62137,-0.45267,-0.44174,-0.01093,50.70065
2010-06-11,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.34259,169.29659,169.64941,-0.35282,-0.42396,0.07114,50.70065
2010-06-12,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.43024,169.40481,169.67538,-0.27058,-0.39328,0.12271,50.70065
2010-06-13,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.50621,169.49637,169.69943,-0.20305,-0.35524,0.15218,50.70065
2010-06-14,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.57205,169.57386,169.72169,-0.14784,-0.31376,0.16592,50.70065
2010-06-15,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.62911,169.63942,169.74231,-0.10289,-0.27158,0.16869,50.70065
2010-06-16,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.67856,169.69489,169.7614,-0.06651,-0.23057,0.16406,50.70065
2010-06-17,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.72142,169.74183,169.77907,-0.03724,-0.1919,0.15466,50.70065
2010-06-18,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.75856,169.78155,169.79544,-0.01389,-0.1563,0.14241,50.70065
2010-06-19,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.35714,169.79076,169.81516,169.81059,0.00457,-0.12413,0.12869,50.70065
2010-06-20,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.57143,169.81865,169.84359,169.82462,0.01897,-0.09551,0.11448,50.70065
2010-06-21,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,169.78571,169.84283,169.86766,169.83761,0.03005,-0.0704,0.10044,50.70065
2010-06-22,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,170.0,169.86379,169.88802,169.84964,0.03838,-0.04864,0.08702,50.70065
2010-06-23,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,170.0,169.88195,169.90525,169.86078,0.04447,-0.03002,0.07449,50.70065
2010-06-24,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,170.0,169.89769,169.91982,169.87109,0.04873,-0.01427,0.063,50.70065
2010-06-25,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,170.0,169.91133,169.93216,169.88064,0.05152,-0.00111,0.05263,50.70065
2010-06-26,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,170.0,169.92315,169.9426,169.88948,0.05311,0.00973,0.04338,50.70065
2010-06-27,1.0,500.0,85000.0,170.0,170.0,170.0,170.0,170.0,169.9334,169.95143,169.89767,0.05376,0.01854,0.03522,50.70065
