Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,1.0,30.0,14700.0,490.0,490.0,490.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,8.0,340.0,153830.0,490.0,441.0,441.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,40.0,17320.0,441.0,433.0,433.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,6.0,450.0,183200.0,433.0,390.0,390.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,6.0,450.0,183200.0,425.0,390.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,6.0,450.0,183200.0,425.0,390.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,4.0,100.0,37950.0,390.0,376.0,376.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,7.0,780.0,283150.0,376.0,362.0,362.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,7.0,780.0,283150.0,370.0,362.0,362.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,2.0,140.0,49210.0,362.0,348.0,348.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,60.0,20700.0,348.0,342.0,342.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,0.0,0.0,388.83333,0.0,0.0,0.0,0.0,0.0
2010-05-01,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,0.0,0.0,381.62821,0.0,0.0,0.0,0.0,0.0
2010-05-02,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,382.14286,382.14286,375.53156,0.0,0.0,0.0,0.0,0.0
2010-05-03,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,371.57143,376.79048,370.37286,0.0,0.0,0.0,0.0,0.0
2010-05-04,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,364.5,372.15175,366.0078,0.0,0.0,0.0,0.0,0.0
2010-05-05,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,358.0,368.13151,362.31429,0.0,0.0,0.0,0.0,0.0
2010-05-06,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,354.57143,364.64731,359.18902,0.0,0.0,0.0,0.0,0.0
2010-05-07,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,351.14286,361.62767,356.54455,0.0,0.0,0.0,0.0,0.0
2010-05-08,2.0,60.0,20700.0,348.0,342.0,342.0,342.0,347.71429,359.01065,354.30693,0.0,0.0,0.0,0.0,0.0
2010-05-09,9.0,180.0,60260.0,342.0,332.0,332.0,342.0,344.57143,355.40923,350.87509,0.0,0.0,0.0,0.0,0.0
2010-05-10,9.0,180.0,60260.0,337.0,332.0,332.0,332.0,342.42857,352.288,347.97123,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,20.0,6600.0,332.0,330.0,330.0,332.0,340.14286,349.31626,345.20643,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,20.0,6600.0,330.0,330.0,330.0,330.0,338.85714,346.74076,342.86698,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,20.0,6600.0,330.0,330.0,330.0,330.0,338.0,344.50866,340.88744,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,20.0,6600.0,330.0,330.0,330.0,330.0,337.14286,342.57417,339.21245,361.0,-21.78755,-4.35751,-17.43004,0.0
2010-05-15,1.0,20.0,6600.0,330.0,330.0,330.0,330.0,336.28571,340.89762,337.79515,358.7037,-20.90855,-7.66772,-13.24083,0.0
2010-05-16,6.0,180.0,58460.0,330.0,324.0,324.0,330.0,335.0,338.6446,335.67282,356.13306,-20.46024,-10.22622,-10.23402,0.0
2010-05-17,6.0,180.0,58460.0,325.0,324.0,324.0,324.0,333.71429,336.69199,333.877,353.75283,-19.87583,-12.15614,-7.71969,0.0
2010-05-18,6.0,180.0,58460.0,325.0,324.0,324.0,324.0,332.42857,334.99972,332.35746,351.54892,-19.19146,-13.56321,-5.62825,0.0
2010-05-19,6.0,180.0,58460.0,325.0,324.0,324.0,324.0,331.14286,333.53309,331.0717,349.50826,-18.43656,-14.53788,-3.89868,0.0
2010-05-20,6.0,180.0,58460.0,325.0,324.0,324.0,324.0,329.85714,332.26201,329.98375,347.61876,-17.63501,-15.1573,-2.47771,0.0
2010-05-21,6.0,180.0,58460.0,325.0,324.0,324.0,324.0,328.57143,331.16041,329.06317,345.86922,-16.80605,-15.48705,-1.319,0.0
