Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,1.0,125.0,26250.0,210.0,210.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,1.0,125.0,26250.0,210.0,210.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,1.0,125.0,26250.0,210.0,210.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.0,125.0,26250.0,210.0,210.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,2.0,200.0,42100.0,211.0,210.0,210.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,8.0,1550.0,315650.0,210.0,200.0,200.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,4.0,700.0,138400.0,200.0,196.0,196.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,15.0,2230.0,417940.0,196.0,185.0,188.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,15.0,2230.0,417940.0,193.0,185.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,15.0,2230.0,417940.0,193.0,185.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,9.0,13115.0,2427175.0,188.0,185.0,186.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,11.0,6550.0,1208350.0,189.0,180.0,180.0,186.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,12.0,8350.0,1490130.0,183.0,175.0,175.0,180.0,0.0,0.0,194.46154,0.0,0.0,0.0,0.0,0.0
2010-04-28,14.0,9770.0,1677540.0,175.0,171.0,171.0,175.0,194.42857,194.42857,190.85207,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,2460.0,428040.0,174.0,171.0,174.0,171.0,191.85714,191.70476,188.25944,0.0,0.0,0.0,0.0,9.0876
2010-04-30,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,189.28571,189.34413,186.06568,0.0,0.0,0.0,0.0,9.0876
2010-05-01,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,186.71429,187.29824,184.20942,0.0,0.0,0.0,0.0,9.0876
2010-05-02,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,184.14286,185.52514,182.63874,0.0,0.0,0.0,0.0,9.0876
2010-05-03,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,181.57143,183.98846,181.30971,0.0,0.0,0.0,0.0,9.0876
2010-05-04,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,179.71429,182.65666,180.18514,0.0,0.0,0.0,0.0,9.0876
2010-05-05,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,178.14286,181.50244,179.23358,0.0,0.0,0.0,0.0,9.0876
2010-05-06,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,177.14286,180.50212,178.42841,0.0,0.0,0.0,0.0,9.0876
2010-05-07,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,176.14286,179.63517,177.74712,0.0,0.0,0.0,0.0,9.0876
2010-05-08,1.0,2460.0,428040.0,174.0,174.0,174.0,174.0,175.14286,178.88381,177.17064,0.0,0.0,0.0,0.0,9.0876
2010-05-09,2.0,150.0,26100.0,175.0,172.0,175.0,174.0,174.35714,178.36597,176.83669,0.0,0.0,0.0,0.0,13.36252
2010-05-10,2.0,150.0,26100.0,175.0,172.0,175.0,175.0,174.0,177.91717,176.55413,185.07692,-8.5228,-1.70456,-6.81824,13.36252
2010-05-11,2.0,150.0,26100.0,175.0,172.0,175.0,175.0,174.0,177.52822,176.31503,184.33048,-8.01546,-2.96674,-5.04872,13.36252
2010-05-12,2.0,150.0,26100.0,175.0,172.0,175.0,175.0,174.28571,177.19112,176.11272,183.63934,-7.52662,-3.87872,-3.64791,13.36252
2010-05-13,6.0,210.0,39710.0,192.0,175.0,192.0,175.0,175.57143,179.16564,178.55691,184.25865,-5.70173,-4.24332,-1.45841,56.05839
2010-05-14,6.0,210.0,39710.0,192.0,178.0,192.0,192.0,176.85714,180.87689,180.62508,184.83208,-4.207,-4.23605,0.02906,56.05839
2010-05-15,6.0,210.0,39710.0,192.0,178.0,192.0,192.0,178.14286,182.35997,182.37507,185.36304,-2.98797,-3.98644,0.99847,56.05839
2010-05-16,4.0,2700.0,508900.0,192.0,187.0,187.0,192.0,179.07143,182.97864,183.0866,185.48429,-2.3977,-3.66869,1.27099,48.00378
2010-05-17,2.0,220.0,41350.0,190.0,187.0,187.0,187.0,180.0,183.51482,183.68866,185.59657,-1.90791,-3.31653,1.40862,48.00378
2010-05-18,6.0,1850.0,350250.0,198.0,187.0,198.0,187.0,181.71429,185.44618,185.8904,186.51534,-0.62494,-2.77821,2.15328,61.4415
2010-05-19,4.0,1300.0,258600.0,205.0,198.0,205.0,198.0,183.92857,188.05335,188.83034,187.88457,0.94577,-2.03342,2.97918,67.1194
2010-05-20,7.0,1600.0,336000.0,213.0,205.0,213.0,205.0,186.71429,191.37957,192.54875,189.74498,2.80377,-1.06598,3.86975,72.05706
2010-05-21,7.0,1600.0,336000.0,213.0,209.0,213.0,213.0,189.5,194.2623,195.6951,191.46757,4.22753,-0.00728,4.2348,72.05706
2010-05-22,7.0,1600.0,336000.0,213.0,209.0,213.0,213.0,192.28571,196.76066,198.35739,193.06257,5.29482,1.05314,4.24168,72.05706
