Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-11-10,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-11,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-12,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-13,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-14,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-15,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-16,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-17,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-18,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-19,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-20,3.0,30.0,9600.0,324.0,318.0,318.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-21,6.0,60.0,18070.0,318.0,289.0,289.0,318.0,0.0,0.0,315.58333,0.0,0.0,0.0,0.0,0.0
2011-11-22,6.0,130.0,35420.0,289.0,264.0,264.0,289.0,0.0,0.0,307.64744,0.0,0.0,0.0,0.0,0.0
2011-11-23,6.0,130.0,35420.0,284.0,264.0,264.0,264.0,308.21429,308.21429,300.93245,0.0,0.0,0.0,0.0,0.0
2011-11-24,6.0,130.0,35420.0,284.0,264.0,264.0,264.0,304.35714,302.31905,295.25053,0.0,0.0,0.0,0.0,0.0
2011-11-25,6.0,130.0,35420.0,284.0,264.0,264.0,264.0,300.5,297.20984,290.44276,0.0,0.0,0.0,0.0,0.0
2011-11-26,6.0,130.0,35420.0,284.0,264.0,264.0,264.0,296.64286,292.78186,286.37464,0.0,0.0,0.0,0.0,0.0
2011-11-27,6.0,130.0,35420.0,284.0,264.0,264.0,264.0,292.78571,288.94428,282.93239,0.0,0.0,0.0,0.0,0.0
2011-11-28,8.0,220.0,55930.0,264.0,254.0,254.0,264.0,288.21429,284.28504,278.48125,0.0,0.0,0.0,0.0,0.0
2011-11-29,8.0,220.0,55930.0,259.0,254.0,254.0,254.0,283.64286,280.24704,274.71491,0.0,0.0,0.0,0.0,0.0
2011-11-30,8.0,220.0,55930.0,259.0,254.0,254.0,254.0,279.07143,276.74743,271.528,0.0,0.0,0.0,0.0,0.0
2011-12-01,8.0,220.0,55930.0,259.0,254.0,254.0,254.0,274.5,273.71444,268.83138,0.0,0.0,0.0,0.0,0.0
2011-12-02,8.0,220.0,55930.0,259.0,254.0,254.0,254.0,269.92857,271.08585,266.54963,0.0,0.0,0.0,0.0,0.0
2011-12-03,8.0,220.0,55930.0,259.0,254.0,254.0,254.0,265.35714,268.80774,264.61892,0.0,0.0,0.0,0.0,0.0
2011-12-04,8.0,220.0,55930.0,259.0,254.0,254.0,254.0,260.78571,266.83337,262.98524,0.0,0.0,0.0,0.0,0.0
2011-12-05,8.0,220.0,55930.0,259.0,254.0,254.0,254.0,258.28571,265.12226,261.60289,284.73077,-23.12788,-4.62558,-18.5023,0.0
