Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,5.0,340.0,112320.0,335.0,325.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,5.0,340.0,112320.0,335.0,325.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,5.0,340.0,112320.0,335.0,325.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,5.0,340.0,112320.0,335.0,325.0,325.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,4.0,215.0,65850.0,325.0,304.0,304.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,6.0,205.0,60600.0,304.0,294.0,294.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,24.0,610.0,175100.0,294.0,280.0,280.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,21.0,985.0,274900.0,280.0,279.0,279.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,21.0,985.0,274900.0,280.0,279.0,279.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,21.0,985.0,274900.0,280.0,279.0,279.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,66.0,2530.0,688205.0,279.0,260.0,260.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,4.0,180.0,45900.0,260.0,255.0,255.0,260.0,0.0,0.0,294.16667,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,15.0,3825.0,255.0,255.0,255.0,255.0,0.0,0.0,288.14103,0.0,0.0,0.0,0.0,0.0
2010-04-28,20.0,935.0,228980.0,255.0,241.0,241.0,255.0,287.57143,287.57143,280.88856,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,230.0,57190.0,249.0,241.0,249.0,241.0,282.14286,282.42857,275.98263,0.0,0.0,0.0,0.0,11.29807
2010-04-30,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,276.71429,277.97143,271.83145,0.0,0.0,0.0,0.0,11.29807
2010-05-01,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,271.28571,274.10857,268.31892,0.0,0.0,0.0,0.0,11.29807
2010-05-02,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,265.85714,270.76076,265.34678,0.0,0.0,0.0,0.0,11.29807
2010-05-03,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,261.92857,267.85933,262.83189,0.0,0.0,0.0,0.0,11.29807
2010-05-04,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,258.71429,265.34475,260.70391,0.0,0.0,0.0,0.0,11.29807
2010-05-05,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,256.5,263.16545,258.90331,0.0,0.0,0.0,0.0,11.29807
2010-05-06,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,254.35714,261.27672,257.37972,0.0,0.0,0.0,0.0,11.29807
2010-05-07,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,252.21429,259.63983,256.09053,0.0,0.0,0.0,0.0,11.29807
2010-05-08,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,250.07143,258.22118,254.99968,0.0,0.0,0.0,0.0,11.29807
2010-05-09,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,249.28571,256.99169,254.07665,0.0,0.0,0.0,0.0,11.29807
2010-05-10,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,248.85714,255.92613,253.29563,269.76923,-16.4736,-3.29472,-13.17888,11.29807
2010-05-11,2.0,230.0,57190.0,249.0,245.0,249.0,249.0,248.42857,255.00265,252.63476,268.23077,-15.59601,-5.75498,-9.84103,11.29807
2010-05-12,7.0,120.0,31310.0,273.0,249.0,273.0,249.0,250.71429,257.4023,255.76788,268.58405,-12.81617,-7.16722,-5.64895,45.88461
