Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-07-13,1.0,11.0,3366.0,306.0,306.0,306.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-14,3.0,40.0,12678.0,324.0,306.0,324.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-15,2.0,22.0,7326.0,336.0,324.0,336.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-16,2.0,22.0,7326.0,336.0,330.0,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-17,1.0,10.0,3520.0,352.0,336.0,352.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-18,1.0,10.0,3520.0,352.0,352.0,352.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-19,1.0,10.0,3520.0,352.0,352.0,352.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-20,1.0,10.0,3690.0,369.0,352.0,369.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-21,1.0,10.0,3690.0,369.0,369.0,369.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-22,5.0,50.0,19500.0,404.0,369.0,404.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-23,3.0,30.0,12600.0,428.0,404.0,428.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-07-24,6.0,216.0,100607.0,470.0,428.0,470.0,428.0,0.0,0.0,366.5,0.0,0.0,0.0,0.0,100.0
2014-07-25,6.0,216.0,100607.0,470.0,436.0,470.0,470.0,0.0,0.0,382.42308,0.0,0.0,0.0,0.0,100.0
2014-07-26,6.0,216.0,100607.0,470.0,436.0,470.0,470.0,381.28571,381.28571,395.89645,0.0,0.0,0.0,0.0,100.0
2014-07-27,6.0,216.0,100607.0,470.0,436.0,470.0,470.0,393.0,393.11429,407.297,0.0,0.0,0.0,0.0,100.0
2014-07-28,6.0,216.0,100607.0,470.0,436.0,470.0,470.0,403.42857,403.36571,416.94361,0.0,0.0,0.0,0.0,100.0
2014-07-29,6.0,216.0,100607.0,470.0,436.0,470.0,470.0,413.0,412.25029,425.10613,0.0,0.0,0.0,0.0,100.0
2014-07-30,2.0,105.0,51141.0,488.0,470.0,488.0,470.0,423.85714,422.35025,434.78211,0.0,0.0,0.0,0.0,100.0
2014-07-31,1.0,19.0,9443.0,497.0,488.0,497.0,488.0,434.21429,432.30355,444.3541,0.0,0.0,0.0,0.0,100.0
2014-08-01,1.0,19.0,9443.0,497.0,497.0,497.0,497.0,444.57143,440.92974,452.45347,0.0,0.0,0.0,0.0,100.0
2014-08-02,1.0,19.0,9443.0,497.0,497.0,497.0,497.0,454.92857,448.40578,459.30678,0.0,0.0,0.0,0.0,100.0
2014-08-03,5.0,52.0,27422.0,541.0,497.0,541.0,497.0,467.21429,460.75167,471.87497,0.0,0.0,0.0,0.0,100.0
2014-08-04,8.0,88.0,51150.0,595.0,541.0,595.0,541.0,483.35714,478.65145,490.81728,0.0,0.0,0.0,0.0,100.0
