Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-08-28,1.0,500.0,75000.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-29,1.0,500.0,75000.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-30,1.0,500.0,75000.0,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-31,4.0,2000.0,315500.0,163.0,150.0,163.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-01,3.0,1200.0,201900.0,172.0,163.0,172.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-02,3.0,1200.0,201900.0,172.0,166.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-03,1.0,500.0,87500.0,175.0,172.0,175.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-04,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-05,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-06,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-07,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-09-08,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,0.0,0.0,167.25,0.0,0.0,0.0,0.0,100.0
2014-09-09,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,0.0,0.0,168.44231,0.0,0.0,0.0,0.0,100.0
2014-09-10,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,168.35714,168.35714,169.45118,0.0,0.0,0.0,0.0,100.0
2014-09-11,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,170.14286,169.24286,170.30485,0.0,0.0,0.0,0.0,100.0
2014-09-12,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,171.92857,170.01048,171.02718,0.0,0.0,0.0,0.0,100.0
2014-09-13,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,173.71429,170.67575,171.63838,0.0,0.0,0.0,0.0,100.0
2014-09-14,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,174.57143,171.25231,172.15555,0.0,0.0,0.0,0.0,100.0
2014-09-15,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,174.78571,171.752,172.59316,0.0,0.0,0.0,0.0,100.0
2014-09-16,1.0,500.0,87500.0,175.0,175.0,175.0,175.0,175.0,172.18507,172.96344,0.0,0.0,0.0,0.0,100.0
2014-09-17,2.0,100.0,17800.0,178.0,175.0,178.0,175.0,175.21429,172.96039,173.7383,0.0,0.0,0.0,0.0,100.0
2014-09-18,2.0,100.0,17800.0,178.0,178.0,178.0,178.0,175.42857,173.63234,174.39395,0.0,0.0,0.0,0.0,100.0
2014-09-19,2.0,100.0,17800.0,178.0,178.0,178.0,178.0,175.64286,174.2147,174.94872,0.0,0.0,0.0,0.0,100.0
2014-09-20,2.0,100.0,17800.0,178.0,178.0,178.0,178.0,175.85714,174.7194,175.41815,0.0,0.0,0.0,0.0,100.0
2014-09-21,2.0,100.0,17800.0,178.0,178.0,178.0,178.0,176.07143,175.15682,175.81536,0.0,0.0,0.0,0.0,100.0
2014-09-22,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,176.28571,175.53591,176.15146,172.11538,4.03607,0.80721,3.22886,100.0
2014-09-23,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,176.5,175.86445,176.43585,172.55128,3.88457,1.42268,2.46188,100.0
2014-09-24,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,176.71429,176.14919,176.67649,172.95489,3.7216,1.88247,1.83913,100.0
2014-09-25,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,176.92857,176.39597,176.8801,173.3286,3.5515,2.21627,1.33523,100.0
2014-09-26,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,177.14286,176.60984,177.0524,173.67463,3.37776,2.44857,0.92919,100.0
2014-09-27,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,177.35714,176.79519,177.19818,173.99503,3.20315,2.59949,0.60366,100.0
2014-09-28,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,177.57143,176.95583,177.32154,174.29169,3.02984,2.68556,0.34428,100.0
2014-09-29,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,177.78571,177.09506,177.42592,174.56638,2.85953,2.72035,0.13918,100.0
2014-09-30,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.21572,177.51424,174.82073,2.69351,2.71499,-0.02147,100.0
2014-10-01,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.32029,177.58897,175.05623,2.53274,2.67854,-0.14579,100.0
2014-10-02,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.41092,177.65221,175.27428,2.37792,2.61841,-0.24049,100.0
2014-10-03,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.48946,177.70571,175.47619,2.22952,2.54064,-0.31111,100.0
2014-10-04,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.55753,177.75099,175.66314,2.08785,2.45008,-0.36223,100.0
2014-10-05,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.61653,177.7893,175.83624,1.95306,2.35067,-0.39762,100.0
2014-10-06,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.66766,177.82171,175.99652,1.8252,2.24558,-0.42038,100.0
2014-10-07,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.71197,177.84914,176.14492,1.70422,2.13731,-0.43309,100.0
2014-10-08,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.75037,177.87235,176.28234,1.59001,2.02785,-0.43783,100.0
2014-10-09,1.0,500.0,89000.0,178.0,178.0,178.0,178.0,178.0,177.78366,177.89199,176.40957,1.48242,1.91876,-0.43634,100.0
