Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-10-08,102.0,15089.0,8459814.0,561.0,510.0,561.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-09,504.0,35306.0,20267098.0,617.0,552.0,588.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-10,237.0,35368.0,20109429.0,592.0,560.0,570.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-11,237.0,35368.0,20109429.0,592.0,560.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-12,237.0,35368.0,20109429.0,592.0,560.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-13,237.0,35368.0,20109429.0,592.0,560.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-14,237.0,35368.0,20109429.0,592.0,560.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-15,237.0,35368.0,20109429.0,592.0,560.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-16,237.0,35368.0,20109429.0,592.0,560.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-17,35.0,929.0,521350.0,571.0,556.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-18,35.0,929.0,521350.0,571.0,556.0,570.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77419
2013-10-19,35.0,929.0,521350.0,571.0,556.0,570.0,570.0,0.0,0.0,570.75,0.0,0.0,0.0,0.0,96.77419
2013-10-20,307.0,20290.0,11385331.0,572.0,550.0,552.0,570.0,0.0,0.0,567.86538,0.0,0.0,0.0,0.0,91.94305
2013-10-21,269.0,17633.0,9752910.0,562.0,546.0,550.0,552.0,567.92857,567.92857,565.11686,0.0,0.0,0.0,0.0,91.41065
2013-10-22,349.0,14205.0,7814629.0,553.0,541.0,552.0,550.0,567.28571,565.80476,563.09888,0.0,0.0,0.0,0.0,91.46256
2013-10-23,213.0,9428.0,5189975.0,553.0,548.0,550.0,552.0,564.57143,563.69746,561.08367,0.0,0.0,0.0,0.0,90.88585
2013-10-24,282.0,15905.0,8711768.0,550.0,546.0,546.0,550.0,562.85714,561.3378,558.76311,0.0,0.0,0.0,0.0,89.69812
2013-10-25,282.0,15905.0,8711768.0,550.0,546.0,546.0,546.0,561.14286,559.29276,556.79955,0.0,0.0,0.0,0.0,89.69812
2013-10-26,282.0,15905.0,8711768.0,550.0,546.0,546.0,546.0,559.42857,557.52039,555.13808,0.0,0.0,0.0,0.0,89.69812
