Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-11-16,1.0,10.0,3140.0,314.0,314.0,314.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-17,1.0,10.0,3140.0,314.0,314.0,314.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-18,1.0,10.0,3140.0,314.0,314.0,314.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-19,1.0,10.0,3140.0,314.0,314.0,314.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-20,1.0,50.0,15400.0,314.0,308.0,308.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-21,1.0,50.0,15400.0,308.0,308.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-22,1.0,50.0,15400.0,308.0,308.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-23,1.0,50.0,15400.0,308.0,308.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-24,1.0,50.0,15400.0,308.0,308.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-25,1.0,50.0,15400.0,308.0,308.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-26,1.0,50.0,15400.0,308.0,308.0,308.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-27,1.0,50.0,15400.0,308.0,308.0,308.0,308.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0
2011-11-28,1.0,110.0,32230.0,308.0,293.0,293.0,308.0,0.0,0.0,307.38462,0.0,0.0,0.0,0.0,0.0
2011-11-29,1.0,110.0,32230.0,293.0,293.0,293.0,293.0,307.57143,307.57143,305.1716,0.0,0.0,0.0,0.0,0.0
2011-11-30,1.0,110.0,32230.0,293.0,293.0,293.0,293.0,306.07143,305.62857,303.29904,0.0,0.0,0.0,0.0,0.0
2011-12-01,6.0,180.0,50640.0,293.0,273.0,273.0,293.0,303.14286,301.2781,298.63765,0.0,0.0,0.0,0.0,0.0
2011-12-02,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,300.21429,297.50768,294.6934,0.0,0.0,0.0,0.0,0.0
2011-12-03,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,297.28571,294.23999,291.35595,0.0,0.0,0.0,0.0,0.0
2011-12-04,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,294.78571,291.40799,288.53196,0.0,0.0,0.0,0.0,0.0
2011-12-05,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,292.28571,288.95359,286.14243,0.0,0.0,0.0,0.0,0.0
2011-12-06,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,289.78571,286.82645,284.12052,0.0,0.0,0.0,0.0,0.0
2011-12-07,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,287.28571,284.98292,282.40967,0.0,0.0,0.0,0.0,0.0
2011-12-08,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,284.78571,283.3852,280.96203,0.0,0.0,0.0,0.0,0.0
2011-12-09,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,282.28571,282.00051,279.7371,0.0,0.0,0.0,0.0,0.0
2011-12-10,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,279.78571,280.80044,278.70062,0.0,0.0,0.0,0.0,0.0
2011-12-11,6.0,180.0,50640.0,288.0,273.0,273.0,273.0,277.28571,279.76038,277.8236,292.38462,-14.56101,-2.9122,-11.64881,0.0
