Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,8.0,1025.0,405750.0,400.0,390.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,12.0,1150.0,439525.0,390.0,379.0,384.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,3.0,150.0,55850.0,384.0,370.0,370.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,11.0,593.0,208378.0,370.0,342.0,359.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,11.0,593.0,208378.0,365.0,342.0,359.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,11.0,593.0,208378.0,365.0,342.0,359.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,18.0,2825.0,969420.0,366.0,338.0,338.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,8.0,1105.0,366375.0,340.0,324.0,324.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,6.0,982.0,309598.0,324.0,313.0,319.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,12.0,2587.0,824076.0,324.0,315.0,320.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71408
2010-04-29,2.0,214.0,68814.0,326.0,320.0,321.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45297
2010-04-30,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,1.45297
2010-05-01,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,1.45297
2010-05-02,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,343.28571,343.28571,339.61538,0.0,0.0,0.0,0.0,1.45297
2010-05-03,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,338.35714,340.31429,336.75148,0.0,0.0,0.0,0.0,1.45297
2010-05-04,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,333.85714,337.73905,334.32817,0.0,0.0,0.0,0.0,1.45297
2010-05-05,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,330.35714,335.50717,332.27769,0.0,0.0,0.0,0.0,1.45297
2010-05-06,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,327.64286,333.57288,330.54266,0.0,0.0,0.0,0.0,1.45297
2010-05-07,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,324.92857,331.8965,329.07456,0.0,0.0,0.0,0.0,1.45297
2010-05-08,2.0,214.0,68814.0,326.0,321.0,321.0,321.0,322.21429,330.44363,327.83232,0.0,0.0,0.0,0.0,1.45297
2010-05-09,4.0,615.0,194895.0,327.0,315.0,315.0,321.0,320.57143,328.38448,325.85811,0.0,0.0,0.0,0.0,1.35445
2010-05-10,4.0,615.0,194895.0,327.0,315.0,315.0,315.0,319.92857,326.59988,324.18764,0.0,0.0,0.0,0.0,1.35445
2010-05-11,2.0,40.0,12960.0,327.0,315.0,327.0,315.0,320.5,326.65323,324.62031,0.0,0.0,0.0,0.0,14.18424
2010-05-12,8.0,856.0,305924.0,359.0,327.0,359.0,327.0,323.28571,330.96614,329.90949,0.0,0.0,0.0,0.0,37.09289
2010-05-13,8.0,522.0,203036.0,394.0,359.0,394.0,359.0,328.5,339.37065,339.76957,0.0,0.0,0.0,0.0,51.85351
2010-05-14,8.0,522.0,203036.0,394.0,366.0,394.0,394.0,333.71429,346.65456,348.11271,339.84615,8.26656,1.65331,6.61325,51.85351
2010-05-15,8.0,522.0,203036.0,394.0,366.0,394.0,394.0,338.92857,352.96729,355.17229,343.85755,11.31474,3.5856,7.72915,51.85351
2010-05-16,12.0,625.0,234010.0,400.0,360.0,360.0,394.0,341.71429,353.90498,355.91502,345.05329,10.86173,5.04082,5.82091,41.02769
2010-05-17,10.0,1174.0,425938.0,370.0,360.0,370.0,360.0,345.21429,356.05099,358.08194,346.90119,11.18075,6.26881,4.91194,44.59964
2010-05-18,2.0,306.0,113360.0,377.0,370.0,377.0,370.0,349.21429,358.84419,360.99241,349.13073,11.86168,7.38738,4.47429,46.96089
2010-05-19,7.0,380.0,153160.0,408.0,377.0,408.0,377.0,355.42857,365.3983,368.22435,353.49142,14.73293,8.85649,5.87644,55.73396
2010-05-20,10.0,1161.0,476932.0,418.0,402.0,410.0,408.0,361.78571,371.34519,374.65137,357.67724,16.97413,10.48002,6.49411,56.22447
2010-05-21,10.0,1161.0,476932.0,418.0,402.0,410.0,410.0,368.14286,376.49916,380.08962,361.553,18.53662,12.09134,6.44528,56.22447
2010-05-22,10.0,1161.0,476932.0,418.0,402.0,410.0,410.0,374.5,380.96594,384.69122,365.14167,19.54955,13.58298,5.96657,56.22447
2010-05-23,8.0,434.0,183505.0,430.0,410.0,430.0,410.0,382.71429,387.50382,391.6618,369.94599,21.71581,15.20955,6.50626,61.20136
