Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,34.0,1530.0,364995.0,240.0,232.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,34.0,1530.0,364995.0,240.0,232.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,34.0,1530.0,364995.0,240.0,232.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,34.0,1530.0,364995.0,240.0,232.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,34.0,1530.0,364995.0,240.0,232.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,34.0,1530.0,364995.0,240.0,232.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,34.0,1530.0,364995.0,240.0,232.0,240.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,21.0,932.0,226932.0,247.0,240.0,247.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-23,21.0,932.0,226932.0,247.0,240.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-24,21.0,932.0,226932.0,247.0,240.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-25,21.0,932.0,226932.0,247.0,240.0,247.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-26,25.0,1124.0,280604.0,251.0,239.0,239.0,247.0,0.0,0.0,242.25,0.0,0.0,0.0,0.0,41.85589
2010-04-27,25.0,1124.0,280604.0,251.0,239.0,239.0,239.0,0.0,0.0,241.75,0.0,0.0,0.0,0.0,41.85589
2010-04-28,12.0,447.0,107913.0,243.0,239.0,239.0,239.0,241.78571,241.78571,241.32692,0.0,0.0,0.0,0.0,41.85589
2010-04-29,70.0,3421.0,820286.0,249.0,235.0,245.0,239.0,242.14286,242.21429,241.89201,0.0,0.0,0.0,0.0,61.36137
2010-04-30,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,242.5,242.58571,242.37016,0.0,0.0,0.0,0.0,61.36137
2010-05-01,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,242.85714,242.90762,242.77475,0.0,0.0,0.0,0.0,61.36137
2010-05-02,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,243.21429,243.1866,243.1171,0.0,0.0,0.0,0.0,61.36137
2010-05-03,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,243.57143,243.42839,243.40678,0.0,0.0,0.0,0.0,61.36137
2010-05-04,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,243.92857,243.63794,243.65189,0.0,0.0,0.0,0.0,61.36137
2010-05-05,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,244.28571,243.81955,243.85929,0.0,0.0,0.0,0.0,61.36137
2010-05-06,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,244.14286,243.97694,244.03478,0.0,0.0,0.0,0.0,61.36137
2010-05-07,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,244.0,244.11335,244.18328,0.0,0.0,0.0,0.0,61.36137
2010-05-08,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,243.85714,244.23157,244.30893,0.0,0.0,0.0,0.0,61.36137
2010-05-09,70.0,3421.0,820286.0,249.0,235.0,245.0,245.0,243.71429,244.33403,244.41525,0.0,0.0,0.0,0.0,61.36137
