Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,5.0,256.0,175496.0,700.0,682.0,682.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,5.0,256.0,175496.0,700.0,682.0,682.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,5.0,256.0,175496.0,700.0,682.0,682.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,5.0,256.0,175496.0,700.0,682.0,682.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,3.0,336.0,224411.0,682.0,657.0,657.0,682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,11.0,587.0,378040.0,657.0,632.0,632.0,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,3.0,155.0,95628.0,632.0,612.0,612.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,8.0,532.0,317800.0,612.0,580.0,600.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,8.0,532.0,317800.0,603.0,580.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,8.0,532.0,317800.0,603.0,580.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,11.0,1848.0,1096779.0,612.0,584.0,584.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,4.0,736.0,418216.0,584.0,566.0,566.0,584.0,0.0,0.0,631.58333,0.0,0.0,0.0,0.0,0.0
2010-04-27,4.0,736.0,418216.0,573.0,566.0,566.0,566.0,0.0,0.0,621.49359,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,10.0,5560.0,566.0,556.0,556.0,566.0,621.5,621.5,611.41765,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,612.5,612.76667,602.89186,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,603.5,605.19778,595.67773,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,594.5,598.63807,589.57346,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,585.5,592.953,584.40831,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,578.28571,588.02593,580.0378,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,572.85714,583.75581,576.33968,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,568.85714,580.05503,573.2105,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,565.71429,576.8477,570.56273,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,562.57143,574.068,568.32231,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,10.0,5560.0,556.0,556.0,556.0,556.0,559.42857,571.65894,566.42657,0.0,0.0,0.0,0.0,0.0
2010-05-09,3.0,314.0,177930.0,570.0,556.0,565.0,556.0,558.07143,570.77108,566.2071,0.0,0.0,0.0,0.0,13.77511
2010-05-10,7.0,1003.0,602863.0,619.0,565.0,607.0,565.0,561.0,575.6016,572.48293,593.57692,-21.09399,-4.2188,-16.8752,48.52185
2010-05-11,9.0,1012.0,629942.0,647.0,607.0,647.0,607.0,566.78571,585.12139,583.94709,597.53419,-13.58709,-6.09246,-7.49464,63.30795
2010-05-12,9.0,326.0,223950.0,711.0,647.0,700.0,647.0,577.07143,600.43854,601.80139,605.12425,-3.32286,-5.53854,2.21568,73.78408
2010-05-13,15.0,1487.0,1119230.0,770.0,700.0,770.0,700.0,592.35714,623.04673,627.6781,617.33727,10.34083,-2.36266,12.70349,81.22001
2010-05-14,15.0,1487.0,1119230.0,770.0,714.0,770.0,770.0,607.64286,642.6405,649.57377,628.64562,20.92816,2.2955,18.63266,81.22001
2010-05-15,15.0,1487.0,1119230.0,770.0,714.0,770.0,770.0,622.92857,659.62177,668.10089,639.11631,28.98457,7.63331,21.35126,81.22001
2010-05-16,9.0,818.0,585836.0,770.0,693.0,693.0,770.0,632.71429,664.0722,671.93152,643.1077,28.82382,11.87142,16.95241,59.66856
2010-05-17,14.0,1494.0,994245.0,693.0,657.0,662.0,693.0,640.28571,663.7959,670.40359,644.50713,25.89647,14.67643,11.22004,53.65061
2010-05-18,12.0,1355.0,910152.0,709.0,660.0,709.0,662.0,651.21429,669.82312,676.3415,649.28438,27.05713,17.15257,9.90456,60.06279
2010-05-19,9.0,823.0,596103.0,740.0,709.0,730.0,709.0,663.64286,677.8467,684.59666,655.26331,29.33334,19.58872,9.74462,62.4969
2010-05-20,14.0,1514.0,1128200.0,760.0,720.0,750.0,730.0,677.5,687.46714,694.65871,662.28084,32.37786,22.14655,10.23131,64.65135
2010-05-21,14.0,1514.0,1128200.0,760.0,720.0,750.0,750.0,691.35714,695.80486,703.17275,668.77856,34.39419,24.59608,9.79812,64.65135
2010-05-22,14.0,1514.0,1128200.0,760.0,720.0,750.0,750.0,705.21429,703.03088,710.37694,674.79496,35.58198,26.79326,8.78872,64.65135
2010-05-23,9.0,1323.0,979670.0,755.0,727.0,741.0,750.0,717.78571,708.09343,715.08818,679.69904,35.38915,28.51244,6.87671,62.77281
2010-05-24,8.0,1023.0,762347.0,760.0,735.0,760.0,741.0,728.71429,715.0143,721.99769,685.64726,36.35044,30.08004,6.2704,65.02546
2010-05-25,31.0,2024.0,1610413.0,820.0,755.0,820.0,760.0,741.07143,729.01239,737.07497,695.59931,41.47566,32.35916,9.1165,70.87013
2010-05-26,4.0,205.0,163855.0,820.0,789.0,789.0,820.0,747.42857,737.01074,745.06344,702.51788,42.54556,34.39644,8.14912,64.97923
2010-05-27,4.0,205.0,163855.0,805.0,789.0,789.0,789.0,748.78571,743.94264,751.82291,708.92397,42.89894,36.09694,6.802,64.97923
2010-05-28,4.0,205.0,163855.0,805.0,789.0,789.0,789.0,750.14286,749.95029,757.54246,714.85552,42.68694,37.41494,5.272,64.97923
2010-05-29,4.0,205.0,163855.0,805.0,789.0,789.0,789.0,751.5,755.15692,762.38208,720.34771,42.03438,38.33883,3.69555,64.97923
2010-05-30,12.0,1320.0,1137753.0,869.0,789.0,869.0,789.0,764.07143,770.336,778.78484,731.35899,47.42585,40.15623,7.26962,72.22201
2010-05-31,20.0,1439.0,1200224.0,905.0,785.0,785.0,869.0,772.85714,772.2912,779.74102,735.3324,44.40862,41.00671,3.40191,58.81212
2010-06-01,8.0,1316.0,980976.0,785.0,717.0,717.0,785.0,773.42857,764.91904,770.08855,733.97444,36.11411,40.02819,-3.91408,50.79537
2010-06-02,1.0,115.0,83375.0,725.0,717.0,725.0,717.0,773.07143,759.5965,763.15185,733.30967,29.84219,37.99099,-8.1488,51.61018
2010-06-03,14.0,1504.0,1166560.0,790.0,725.0,785.0,725.0,775.57143,762.98363,766.51311,737.13858,29.37453,36.2677,-6.89317,57.19256
2010-06-04,14.0,1504.0,1166560.0,790.0,739.0,785.0,785.0,778.07143,765.91915,769.35724,740.68387,28.67337,34.74883,-6.07546,57.19256
2010-06-05,14.0,1504.0,1166560.0,790.0,739.0,785.0,785.0,780.57143,768.46326,771.76382,743.96655,27.79727,33.35852,-5.56125,57.19256
2010-06-06,19.0,3212.0,2459062.0,785.0,749.0,749.0,785.0,781.14286,765.86816,768.2617,744.3394,23.9223,31.47128,-7.54898,52.9498
2010-06-07,3.0,224.0,168730.0,760.0,749.0,760.0,749.0,781.14286,765.08574,766.99067,745.49944,21.49122,29.47527,-7.98404,54.04359
2010-06-08,8.0,711.0,553244.0,789.0,760.0,770.0,760.0,777.57143,765.74097,767.45364,747.3143,20.13934,27.60808,-7.46874,55.04125
2010-06-09,6.0,615.0,482488.0,791.0,770.0,790.0,770.0,777.64286,768.97551,770.92231,750.4762,20.44611,26.17569,-5.72958,57.0015
2010-06-10,8.0,943.0,738740.0,795.0,780.0,786.0,790.0,777.42857,771.24544,773.24196,753.10759,20.13436,24.96742,-4.83306,56.48432
2010-06-11,8.0,943.0,738740.0,795.0,780.0,786.0,786.0,777.21429,773.21272,775.20473,755.54407,19.66066,23.90607,-4.24541,56.48432
2010-06-12,8.0,943.0,738740.0,795.0,780.0,786.0,786.0,777.0,774.91769,776.86554,757.80006,19.06548,22.93795,-3.87247,56.48432
2010-06-13,15.0,1591.0,1227065.0,801.0,755.0,770.0,786.0,769.92857,774.262,775.8093,758.70376,17.10554,21.77147,-4.66593,54.20691
2010-06-14,14.0,1185.0,908325.0,770.0,760.0,760.0,770.0,768.14286,772.3604,773.3771,758.79978,14.57732,20.33264,-5.75532,52.8096
2010-06-15,10.0,742.0,561886.0,765.0,749.0,765.0,760.0,771.57143,771.37901,772.08832,759.25906,12.82926,18.83197,-6.0027,53.43971
2010-06-16,3.0,265.0,206700.0,780.0,765.0,780.0,765.0,775.5,772.52848,773.3055,760.79542,12.51008,17.56759,-5.05751,55.319
2010-06-17,9.0,788.0,606646.0,790.0,755.0,755.0,780.0,773.35714,770.19135,770.48927,760.36613,10.12314,16.0787,-5.95556,51.66936
2010-06-18,9.0,788.0,606646.0,790.0,755.0,755.0,755.0,771.21429,768.16583,768.10631,759.96864,8.13767,14.49049,-6.35283,51.66936
2010-06-19,9.0,788.0,606646.0,790.0,755.0,755.0,755.0,769.07143,766.41039,766.08995,759.60059,6.48936,12.89026,-6.40091,51.66936
2010-06-20,10.0,1597.0,1221876.0,770.0,755.0,769.0,755.0,770.5,766.75567,766.53765,760.29684,6.24081,11.56037,-5.31957,53.65164
2010-06-21,2.0,272.0,209080.0,770.0,765.0,765.0,769.0,770.85714,766.52158,766.30109,760.64523,5.65586,10.37947,-4.72361,52.99951
2010-06-22,5.0,473.0,360605.0,770.0,755.0,755.0,765.0,769.78571,764.98537,764.56246,760.22706,4.3354,9.17066,-4.83526,51.36075
2010-06-23,3.0,130.0,99090.0,765.0,753.0,753.0,755.0,767.14286,763.38732,762.78362,759.69172,3.0919,7.9549,-4.86301,51.02941
2010-06-24,14.0,1855.0,1390390.0,760.0,745.0,751.0,753.0,764.64286,761.73568,760.97076,759.04789,1.92286,6.7485,-4.82563,50.68606
2010-06-25,14.0,1855.0,1390390.0,760.0,745.0,751.0,751.0,762.14286,760.30425,759.43679,758.45175,0.98504,5.5958,-4.61076,50.68606
2010-06-26,14.0,1855.0,1390390.0,760.0,745.0,751.0,751.0,759.64286,759.06369,758.13882,757.89977,0.23905,4.52445,-4.2854,50.68606
