Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,4.0,2031.0,785610.0,392.0,385.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,4.0,2031.0,785610.0,392.0,385.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,4.0,2031.0,785610.0,392.0,385.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,4.0,2031.0,785610.0,392.0,385.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,4.0,2031.0,785610.0,392.0,385.0,392.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,3.0,136.0,53082.0,393.0,385.0,385.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,12.0,4536.0,385.0,378.0,378.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,12.0,4536.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,12.0,4536.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,12.0,4536.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,7.0,281.0,99239.0,378.0,350.0,350.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,7.0,281.0,99239.0,371.0,350.0,350.0,350.0,0.0,0.0,379.75,0.0,0.0,0.0,0.0,0.0
2010-04-27,9.0,514.0,173398.0,350.0,331.0,331.0,350.0,0.0,0.0,372.25,0.0,0.0,0.0,0.0,0.0
2010-04-28,4.0,463.0,152529.0,332.0,326.0,332.0,331.0,372.85714,372.85714,366.05769,0.0,0.0,0.0,0.0,1.88696
2010-04-29,17.0,1373.0,490543.0,365.0,326.0,364.0,332.0,370.85714,371.67619,365.74112,0.0,0.0,0.0,0.0,39.95596
2010-04-30,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,368.85714,370.6527,365.47326,0.0,0.0,0.0,0.0,39.95596
2010-05-01,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,366.85714,369.76567,365.2466,0.0,0.0,0.0,0.0,39.95596
2010-05-02,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,364.85714,368.99692,365.05482,0.0,0.0,0.0,0.0,39.95596
2010-05-03,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,362.85714,368.33066,364.89254,0.0,0.0,0.0,0.0,39.95596
2010-05-04,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,361.35714,367.75324,364.75523,0.0,0.0,0.0,0.0,39.95596
2010-05-05,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,360.35714,367.25281,364.63904,0.0,0.0,0.0,0.0,39.95596
2010-05-06,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,359.35714,366.8191,364.54072,0.0,0.0,0.0,0.0,39.95596
2010-05-07,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,358.35714,366.44322,364.45754,0.0,0.0,0.0,0.0,39.95596
2010-05-08,17.0,1373.0,490543.0,365.0,326.0,364.0,364.0,357.35714,366.11746,364.38715,0.0,0.0,0.0,0.0,39.95596
2010-05-09,4.0,129.0,45033.0,364.0,345.0,345.0,364.0,357.0,363.3018,361.40451,0.0,0.0,0.0,0.0,29.05322
2010-05-10,5.0,96.0,32908.0,347.0,335.0,347.0,345.0,356.78571,361.12822,359.18843,367.38462,-8.19619,-1.63924,-6.55695,31.13028
2010-05-11,12.0,721.0,269648.0,379.0,347.0,379.0,347.0,360.21429,363.51113,362.23636,368.24501,-6.00865,-2.51312,-3.49553,53.83575
2010-05-12,23.0,2030.0,771995.0,402.0,360.0,398.0,379.0,364.92857,368.10964,367.73846,370.44909,-2.71063,-2.55262,-0.158,61.70656
2010-05-13,11.0,973.0,403099.0,430.0,397.0,397.0,398.0,367.28571,371.96169,372.24024,372.41582,-0.17559,-2.07721,1.90163,61.13058
2010-05-14,11.0,973.0,403099.0,430.0,397.0,397.0,397.0,369.64286,375.30013,376.04943,374.23687,1.81256,-1.29926,3.11182,61.13058
