Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,9.0,693.0,1968110.0,2850.0,2825.0,2831.0,2831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,9.0,693.0,1968110.0,2850.0,2825.0,2831.0,2831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,9.0,693.0,1968110.0,2850.0,2825.0,2831.0,2831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,9.0,693.0,1968110.0,2850.0,2825.0,2831.0,2831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,16.0,587.0,1642908.0,2831.0,2790.0,2801.0,2831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,11.0,957.0,2664289.0,2801.0,2767.0,2767.0,2801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,35.0,2207.0,5852106.0,2767.0,2595.0,2595.0,2767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,12.0,776.0,1978618.0,2653.0,2523.0,2600.0,2595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21667
2010-04-23,12.0,776.0,1978618.0,2653.0,2523.0,2600.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21667
2010-04-24,12.0,776.0,1978618.0,2653.0,2523.0,2600.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21667
2010-04-25,18.0,1488.0,3845157.0,2600.0,2575.0,2591.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1188
2010-04-26,19.0,798.0,2034760.0,2599.0,2519.0,2519.0,2591.0,0.0,0.0,2699.75,0.0,0.0,0.0,0.0,1.5456
2010-04-27,23.0,1255.0,3106330.0,2520.0,2450.0,2450.0,2519.0,0.0,0.0,2661.32692,0.0,0.0,0.0,0.0,1.21488
2010-04-28,7.0,503.0,1216664.0,2460.0,2403.0,2445.0,2450.0,2663.71429,2663.71429,2628.04586,0.0,0.0,0.0,0.0,1.19542
2010-04-29,11.0,552.0,1423665.0,2650.0,2445.0,2650.0,2445.0,2650.78571,2661.88571,2631.42342,0.0,0.0,0.0,0.0,41.5237
2010-04-30,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2637.85714,2660.30095,2634.28135,0.0,0.0,0.0,0.0,41.5237
2010-05-01,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2624.92857,2658.92749,2636.69961,0.0,0.0,0.0,0.0,41.5237
2010-05-02,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2612.0,2657.73716,2638.74582,0.0,0.0,0.0,0.0,41.5237
2010-05-03,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2601.21429,2656.70554,2640.47723,0.0,0.0,0.0,0.0,41.5237
2010-05-04,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2592.85714,2655.81147,2641.94227,0.0,0.0,0.0,0.0,41.5237
2010-05-05,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2596.78571,2655.0366,2643.18192,0.0,0.0,0.0,0.0,41.5237
2010-05-06,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2600.35714,2654.36506,2644.23086,0.0,0.0,0.0,0.0,41.5237
2010-05-07,11.0,552.0,1423665.0,2650.0,2480.0,2650.0,2650.0,2603.92857,2653.78305,2645.11842,0.0,0.0,0.0,0.0,41.5237
